Country,Agency,Rating,Outlook,Date
Israel,Fitch,A-,Stable,2000-09-01
Israel,Fitch,A-,Negative,2001-05-01
Israel,Fitch,A-,Negative,2001-10-01
Israel,Fitch,A-,Negative,2002-10-01
Israel,Fitch,A-,Stable,2003-12-01
Israel,Fitch,A-,Stable,2005-02-01
Israel,Fitch,A-,Positive,2006-12-01
Israel,Fitch,A,Stable,2008-02-01
Israel,Fitch,A,Stable,2011-05-01
Israel,Fitch,A,Stable,2011-10-01
Israel,Fitch,A,Stable,2011-12-01
Israel,Fitch,A,Stable,2012-01-01
Israel,Fitch,A,Stable,2012-02-01
Israel,Fitch,A,Stable,2012-04-01
Israel,Fitch,A,Stable,2012-06-01
Israel,Fitch,A,Stable,2012-08-01
Israel,Fitch,A,Stable,2013-03-01
Israel,Fitch,A,Stable,2013-05-01
Israel,Fitch,A,Stable,2013-06-01
Israel,Fitch,A,Stable,2013-07-01
Israel,Fitch,A,Stable,2013-09-01
Israel,Fitch,A,Stable,2014-11-01
Israel,Fitch,A,Stable,2015-10-01
Israel,Fitch,A,Positive,2016-04-01
Israel,Fitch,A,Positive,2016-07-01
Israel,Fitch,A+,Stable,2016-11-01
Israel,Fitch,A+,Stable,2017-04-01
Israel,Fitch,A+,Stable,2017-11-01
Israel,Fitch,A+,Stable,2018-04-01
Israel,Fitch,A+,Stable,2019-03-01
Israel,Fitch,A+,Stable,2019-08-01
Israel,Fitch,A+,Stable,2021-01-01
Israel,Fitch,A+,Stable,2021-07-01
Israel,Fitch,A+,Stable,2022-02-01
Israel,Fitch,A+,Stable,2022-08-01
Israel,Fitch,A+,Stable,2023-03-01
Israel,Fitch,A+,Stable,2023-08-01
Israel,Fitch,A+,Negative watch,2023-10-01
Israel,Fitch,A+,Negative,2024-04-01
Israel,Fitch,A,Negative,2024-08-01
Israel,Fitch,A,Negative,2025-03-01
Israel,Fitch,A,Negative,2026-03-01
Israel,Moody's,A2,Stable,2001-02-01
Israel,Moody's,A2,Positive,2006-05-01
Israel,Moody's,A2,Under Review,2008-03-01
Israel,Moody's,A1,Stable,2008-04-01
Israel,Moody's,A1,Stable,2013-08-01
Israel,Moody's,A1,Stable,2016-08-01
Israel,Moody's,A1,Positive,2018-07-01
Israel,Moody's,A1,Stable,2020-04-01
Israel,Moody's,A1,Positive,2022-04-01
Israel,Moody's,A1,Stable,2023-04-01
Israel,Moody's,A1,Negative watch,2023-10-01
Israel,Moody's,A2,Negative,2024-02-01
Israel,Moody's,A2,Negative,2024-05-01
Israel,Moody's,Baa1,Negative,2024-09-01
Israel,Moody's,Baa1,Negative,2025-07-01
Israel,Moody's,Baa1,Stable,2026-02-01
Israel,S&P,BBB-,Negative,1989-06-01
Israel,S&P,BBB-,Positive,1991-10-01
Israel,S&P,BBB,Stable,1993-01-01
Israel,S&P,BBB+,Stable,1993-09-01
Israel,S&P,A-,Stable,1995-12-01
Israel,S&P,A-,Stable,1996-08-01
Israel,S&P,A-,Positive,2000-02-01
Israel,S&P,A-,Stable,2000-10-01
Israel,S&P,A-,Negative,2002-04-01
Israel,S&P,A-,Negative,2002-10-01
Israel,S&P,A-,Stable,2005-01-01
Israel,S&P,A-,Stable,2005-11-01
Israel,S&P,A-,Stable,2006-04-01
Israel,S&P,A-,Positive,2007-02-01
Israel,S&P,A,Positive,2007-11-01
Israel,S&P,A,Stable,2008-10-01
Israel,S&P,A+,Stable,2011-09-01
Israel,S&P,A+,Stable,2013-05-01
Israel,S&P,A+,Positive,2017-08-01
Israel,S&P,AA-,Stable,2018-08-01
Israel,S&P,NR,NR,2019-03-01
Israel,S&P,AA-,Developing,2019-06-01
Israel,S&P,AA-,Developing,2020-01-01
Israel,S&P,AA-,Developing,2020-01-01
Israel,S&P,AA-,Negative,2023-10-01
Israel,S&P,A,Negative,2024-10-01
Israel,S&P,A,Stable,2025-11-01
Israel,S&P,A,NR,2026-01-01
Chile,Fitch,A-,Stable,2000-09-01
Chile,Fitch,A-,Stable,2003-02-01
Chile,Fitch,A-,Positive,2004-02-01
Chile,Fitch,A,Stable,2005-03-01
Chile,Fitch,A,Positive,2007-05-01
Chile,Fitch,A,Stable,2008-11-01
Chile,Fitch,A+,Stable,2011-02-01
Chile,Fitch,A+,Stable,2011-09-01
Chile,Fitch,A+,Stable,2012-01-01
Chile,Fitch,A+,Stable,2013-01-01
Chile,Fitch,A+,Stable,2013-10-01
Chile,Fitch,A+,Stable,2014-10-01
Chile,Fitch,A+,Stable,2015-11-01
Chile,Fitch,A+,Stable,2016-05-01
Chile,Fitch,A+,Stable,2016-07-01
Chile,Fitch,A+,Negative,2016-12-01
Chile,Fitch,A,Stable,2017-08-01
Chile,Fitch,A,Stable,2018-08-01
Chile,Fitch,A,Stable,2019-02-01
Chile,Fitch,A,Stable,2019-08-01
Chile,Fitch,A,Negative,2020-03-01
Chile,Fitch,A-,Stable,2020-10-01
Chile,Fitch,A-,Stable,2021-10-01
Chile,Fitch,A-,Stable,2022-05-01
Chile,Fitch,A-,Stable,2023-07-01
Chile,Fitch,A-,Stable,2023-12-01
Chile,Fitch,A-,Stable,2024-07-01
Chile,Fitch,A-,Stable,2025-01-01
Chile,Fitch,A-,Stable,2025-09-01
Chile,Moody's,Baa1,Stable,2003-11-01
Chile,Moody's,Baa1,Positive,2005-02-01
Chile,Moody's,Baa1,Under Review,2006-03-01
Chile,Moody's,A2,Stable,2006-07-01
Chile,Moody's,A2,Under Review,2008-11-01
Chile,Moody's,A1,Positive,2009-03-01
Chile,Moody's,Aa3,Stable,2010-06-01
Chile,Moody's,Aa3,Stable,2013-10-01
Chile,Moody's,Aa3,Stable,2016-07-01
Chile,Moody's,Aa3,Negative,2017-08-01
Chile,Moody's,A1,Stable,2018-07-01
Chile,Moody's,A1,Negative,2020-08-01
Chile,Moody's,A2,Stable,2022-09-01
Chile,Moody's,A2,Stable,2024-06-01
Chile,S&P,BBB,Stable,1992-08-01
Chile,S&P,BBB,Stable,1992-11-01
Chile,S&P,BBB+,Stable,1993-12-01
Chile,S&P,A-,Stable,1995-07-01
Chile,S&P,A-,Positive,2002-04-01
Chile,S&P,A,Stable,2004-01-01
Chile,S&P,A,Stable,2005-11-01
Chile,S&P,A,Stable,2005-11-01
Chile,S&P,A,Positive,2006-12-01
Chile,S&P,A+,Stable,2007-12-01
Chile,S&P,A+,Positive,2010-12-01
Chile,S&P,AA-,Stable,2012-12-01
Chile,S&P,AA-,Stable,2015-08-01
Chile,S&P,AA-,Negative,2017-01-01
Chile,S&P,A+,Stable,2017-07-01
Chile,S&P,A+,Developing,2019-08-01
Chile,S&P,A+,Developing,2020-01-01
Chile,S&P,A+,Developing,2020-01-01
Chile,S&P,A+,Negative,2020-04-01
Chile,S&P,A+,Stable,2024-10-01
Chile,S&P,NR,NR,2025-03-01
Chile,S&P,A,NR,2025-06-01
Chile,S&P,A,NR,2026-01-01
Chile,S&P,A,NR,2026-01-01
Croatia,Fitch,BB+,Positive,2000-09-01
Croatia,Fitch,BBB-,Stable,2001-06-01
Croatia,Fitch,BBB-,Positive,2003-07-01
Croatia,Fitch,BBB-,Stable,2005-07-01
Croatia,Fitch,BBB-,Negative,2009-05-01
Croatia,Fitch,BBB-,Negative,2011-07-01
Croatia,Fitch,BBB-,Negative,2011-11-01
Croatia,Fitch,BBB-,Negative,2011-12-01
Croatia,Fitch,BBB-,Negative,2012-01-01
Croatia,Fitch,BBB-,Negative,2012-02-01
Croatia,Fitch,BBB-,Negative,2012-03-01
Croatia,Fitch,BBB-,Negative,2012-04-01
Croatia,Fitch,BBB-,Negative,2012-05-01
Croatia,Fitch,BBB-,Negative,2012-07-01
Croatia,Fitch,BBB-,Negative,2012-08-01
Croatia,Fitch,BBB-,Negative,2012-11-01
Croatia,Fitch,BBB-,Negative,2013-03-01
Croatia,Fitch,BBB-,Negative,2013-05-01
Croatia,Fitch,BBB-,Negative,2013-06-01
Croatia,Fitch,BBB-,Negative,2013-07-01
Croatia,Fitch,BB+,Stable,2013-09-01
Croatia,Fitch,BB+,Stable,2013-10-01
Croatia,Fitch,BB+,Stable,2013-11-01
Croatia,Fitch,BB+,Stable,2013-12-01
Croatia,Fitch,BB+,Stable,2014-01-01
Croatia,Fitch,BB+,Negative,2014-02-01
Croatia,Fitch,BB+,Negative,2014-03-01
Croatia,Fitch,BB+,Negative,2014-04-01
Croatia,Fitch,BB+,Negative,2014-05-01
Croatia,Fitch,BB+,Negative,2014-06-01
Croatia,Fitch,BB+,Negative,2014-07-01
Croatia,Fitch,BB,Stable,2014-08-01
Croatia,Fitch,BB,Stable,2014-09-01
Croatia,Fitch,BB,Negative,2016-01-01
Croatia,Fitch,BB,Negative,2016-07-01
Croatia,Fitch,BB,Stable,2017-01-01
Croatia,Fitch,BB,Stable,2017-07-01
Croatia,Fitch,BB+,Stable,2018-01-01
Croatia,Fitch,BB+,Positive,2018-07-01
Croatia,Fitch,BB+,Positive,2018-12-01
Croatia,Fitch,BBB-,Positive,2019-06-01
Croatia,Fitch,BBB-,Positive,2019-12-01
Croatia,Fitch,BBB-,Stable,2020-04-01
Croatia,Fitch,BBB-,Stable,2020-04-01
Croatia,Fitch,BBB-,Stable,2020-06-01
Croatia,Fitch,BBB-,Stable,2020-12-01
Croatia,Fitch,BBB-,Stable,2021-05-01
Croatia,Fitch,BBB,Positive,2021-11-01
Croatia,Fitch,BBB,Positive,2022-05-01
Croatia,Fitch,BBB+,Stable,2022-07-01
Croatia,Fitch,BBB+,Stable,2022-10-01
Croatia,Fitch,BBB+,Stable,2023-04-01
Croatia,Fitch,BBB+,Positive,2023-10-01
Croatia,Fitch,BBB+,Positive,2024-04-01
Croatia,Fitch,A-,Stable,2024-09-01
Croatia,Fitch,A-,Stable,2025-03-01
Croatia,Fitch,A-,Stable,2026-03-01
Croatia,Moody's,Baa3,Stable,1997-01-01
Croatia,Moody's,Baa3,Stable,2003-11-01
Croatia,Moody's,Baa3,Positive,2007-07-01
Croatia,Moody's,Baa3,Stable,2008-11-01
Croatia,Moody's,Baa3,Negative,2012-05-01
Croatia,Moody's,Ba1,Stable,2013-02-01
Croatia,Moody's,Ba1,Negative,2014-03-01
Croatia,Moody's,Ba2,Negative,2016-03-01
Croatia,Moody's,Ba2,Stable,2017-03-01
Croatia,Moody's,Ba2,Positive,2019-04-01
Croatia,Moody's,Ba1,Stable,2020-11-01
Croatia,Moody's,Ba1,Under Review,2022-06-01
Croatia,Moody's,Baa2,Stable,2022-07-01
Croatia,Moody's,Baa2,Positive,2023-11-01
Croatia,Moody's,A3,Stable,2024-11-01
Croatia,S&P,BBB-,Stable,1997-01-01
Croatia,S&P,BBB-,Stable,1998-06-01
Croatia,S&P,BBB-,Negative,1999-06-01
Croatia,S&P,BBB-,Stable,2001-02-01
Croatia,S&P,BBB-,Positive,2004-06-01
Croatia,S&P,BBB,Stable,2004-12-01
Croatia,S&P,BBB,Stable,2005-11-01
Croatia,S&P,BBB,Stable,2006-04-01
Croatia,S&P,BBB,Negative,2008-10-01
Croatia,S&P,BBB,Negative,2009-03-01
Croatia,S&P,BBB-,Negative,2010-12-01
Croatia,S&P,BB+,Stable,2012-12-01
Croatia,S&P,BB+,Negative,2013-08-01
Croatia,S&P,BB,Stable,2014-01-01
Croatia,S&P,BB,Negative,2015-07-01
Croatia,S&P,BB,Stable,2016-12-01
Croatia,S&P,BB,Positive,2017-09-01
Croatia,S&P,BB+,Stable,2018-03-01
Croatia,S&P,BB+,Positive,2018-09-01
Croatia,S&P,BBB-,Stable,2019-03-01
Croatia,S&P,BBB-,Developing,2019-06-01
Croatia,S&P,NR,NR,2019-11-01
Croatia,S&P,BBB+,Positive,2023-09-01
Croatia,S&P,A-,NR,2026-02-01
Croatia,S&P,A,Stable,2026-03-01
Poland,Fitch,BB+,Positive,1996-04-01
Poland,Fitch,BBB+,Stable,2000-09-01
Poland,Fitch,BBB+,Positive,2003-11-01
Poland,Fitch,BBB+,Stable,2004-05-01
Poland,Fitch,BBB+,Positive,2005-03-01
Poland,Fitch,A-,Stable,2007-01-01
Poland,Fitch,A-,Stable,2011-04-01
Poland,Fitch,A-,Stable,2011-10-01
Poland,Fitch,A-,Stable,2012-01-01
Poland,Fitch,A-,Stable,2012-02-01
Poland,Fitch,A-,Stable,2012-05-01
Poland,Fitch,A-,Stable,2012-06-01
Poland,Fitch,A-,Stable,2013-08-01
Poland,Fitch,A-,Stable,2013-10-01
Poland,Fitch,A-,Stable,2013-11-01
Poland,Fitch,A-,Stable,2014-01-01
Poland,Fitch,A-,Stable,2014-02-01
Poland,Fitch,A-,Stable,2014-06-01
Poland,Fitch,A-,Stable,2014-08-01
Poland,Fitch,A-,Stable,2014-09-01
Poland,Fitch,A-,Stable,2016-01-01
Poland,Fitch,A-,Stable,2016-07-01
Poland,Fitch,A-,Stable,2017-01-01
Poland,Fitch,A-,Stable,2017-07-01
Poland,Fitch,A-,Stable,2017-12-01
Poland,Fitch,A-,Stable,2018-06-01
Poland,Fitch,A-,Stable,2019-03-01
Poland,Fitch,A-,Stable,2019-09-01
Poland,Fitch,A-,Stable,2020-03-01
Poland,Fitch,A-,Stable,2020-03-01
Poland,Fitch,A-,Stable,2020-09-01
Poland,Fitch,A-,Stable,2021-03-01
Poland,Fitch,A-,Stable,2021-08-01
Poland,Fitch,A-,Stable,2022-02-01
Poland,Fitch,A-,Stable,2022-07-01
Poland,Fitch,A-,Stable,2023-01-01
Poland,Fitch,A-,Stable,2023-06-01
Poland,Fitch,A-,Stable,2023-11-01
Poland,Fitch,A-,Stable,2024-05-01
Poland,Fitch,A-,Stable,2024-11-01
Poland,Fitch,A-,Stable,2025-03-01
Poland,Fitch,A-,Negative,2025-09-01
Poland,Fitch,A-,Negative,2026-02-01
Poland,Moody's,Baa3,Stable,1995-06-01
Poland,Moody's,Baa1,Stable,1999-09-01
Poland,Moody's,A2,Stable,2002-11-01
Poland,Moody's,A2,Stable,2015-05-01
Poland,Moody's,A2,Negative,2016-05-01
Poland,Moody's,A2,Stable,2017-05-01
Poland,Moody's,A2,Stable,2019-04-01
Poland,Moody's,NR,NR,2019-10-01
Poland,Moody's,A2,Stable,2021-04-01
Poland,Moody's,A2,Stable,2022-04-01
Poland,Moody's,A2,Stable,2024-03-01
Poland,Moody's,A2,Negative,2025-09-01
Poland,S&P,BB,Positive,1995-06-01
Poland,S&P,BBB-,Stable,1996-04-01
Poland,S&P,BBB-,Positive,1997-06-01
Poland,S&P,BBB,Positive,1999-06-01
Poland,S&P,BBB+,Stable,2000-05-01
Poland,S&P,BBB+,Positive,2001-04-01
Poland,S&P,BBB+,Stable,2001-08-01
Poland,S&P,BBB+,Stable,2002-07-01
Poland,S&P,BBB+,Negative,2003-06-01
Poland,S&P,BBB+,Negative,2003-11-01
Poland,S&P,BBB+,Stable,2004-10-01
Poland,S&P,BBB+,Positive,2005-03-01
Poland,S&P,BBB+,Positive,2005-11-01
Poland,S&P,BBB+,Stable,2006-04-01
Poland,S&P,A-,Stable,2007-03-01
Poland,S&P,A-,Positive,2008-02-01
Poland,S&P,A-,Stable,2008-10-01
Poland,S&P,A-,Positive,2015-02-01
Poland,S&P,BBB+,Negative,2016-01-01
Poland,S&P,BBB+,Stable,2016-12-01
