Country,Agency,Rating,Outlook,Date
Andorra,Fitch,BBB+,Stable,2019-08-01
Andorra,Fitch,BBB+,Stable,2020-02-01
Andorra,Fitch,BBB+,Stable,2020-02-01
Andorra,Fitch,BBB+,Stable,2020-07-01
Andorra,Fitch,BBB+,Positive,2022-01-01
Andorra,Fitch,A-,Stable,2022-07-01
Andorra,Fitch,A-,Stable,2022-12-01
Andorra,Fitch,A-,Stable,2023-04-01
Andorra,Fitch,A-,Stable,2023-10-01
Andorra,Fitch,A-,Stable,2024-04-01
Andorra,Fitch,A-,Stable,2024-10-01
Andorra,Fitch,A-,Stable,2025-04-01
Andorra,Fitch,A-,Stable,2026-03-01
Andorra,Moody's,Baa2,Stable,2022-02-01
Andorra,Moody's,Baa1,Stable,2024-01-01
Andorra,Moody's,Baa1,Stable,2024-01-01
Andorra,Moody's,Baa1,Positive,2026-01-01
Andorra,S&P,AA-,Stable,2003-05-01
Andorra,S&P,AA,Stable,2004-08-01
Andorra,S&P,AA,Stable,2005-11-01
Andorra,S&P,AA,Negative,2007-08-01
Andorra,S&P,AA-,Negative,2008-08-01
Andorra,S&P,A+,Stable,2009-05-01
Andorra,S&P,A,Negative,2010-06-01
Andorra,S&P,A-,Negative,2012-12-01
Andorra,S&P,BBB+,Stable,2014-10-01
Andorra,S&P,BBB,Negative watch,2015-03-01
Andorra,S&P,BBB-,Negative watch,2015-03-01
Andorra,S&P,BBB-,Negative,2015-06-01
Andorra,S&P,BBB-,Stable,2016-07-01
Andorra,S&P,BBB,Stable,2017-07-01
Andorra,S&P,BBB,Positive,2019-07-01
Andorra,S&P,BBB+,Stable,2021-07-01
Andorra,S&P,BBB,Positive,2022-01-01
Andorra,S&P,A-,Positive,2024-05-01
Andorra,S&P,A-,Stable,2025-05-01
Andorra,S&P,A-,Positive,2026-05-01
