Country,Agency,Rating,Outlook,Date
Angola,Fitch,B+,Positive,2010-05-01
Angola,Fitch,BB-,Stable,2011-05-01
Angola,Fitch,BB-,Stable,2014-04-01
Angola,Fitch,BB-,Stable,2014-10-01
Angola,Fitch,B+,Stable,2015-09-01
Angola,Fitch,B+,Negative,2016-03-01
Angola,Fitch,B+,Negative,2016-07-01
Angola,Fitch,B,Negative,2016-09-01
Angola,Fitch,B,Negative,2017-03-01
Angola,Fitch,B,Negative,2017-09-01
Angola,Fitch,B,Stable,2018-04-01
Angola,Fitch,B,Stable,2018-12-01
Angola,Fitch,B,Negative,2019-07-01
Angola,Fitch,B,Negative,2019-11-01
Angola,Fitch,B,Negative,2019-12-01
Angola,Fitch,B-,Stable,2020-03-01
Angola,Fitch,CCC,Developing,2020-09-01
Angola,Fitch,CCC,Developing,2021-09-01
Angola,Fitch,B-,Stable,2022-02-01
Angola,Fitch,B-,Positive,2022-07-01
Angola,Fitch,B-,Positive,2023-01-01
Angola,Fitch,B-,Stable,2023-06-01
Angola,Fitch,B-,Stable,2023-12-01
Angola,Fitch,B-,Stable,2024-06-01
Angola,Fitch,B-,Stable,2024-12-01
Angola,Fitch,B-,Stable,2025-05-01
Angola,Fitch,B-,Stable,2025-11-01
Angola,Fitch,B-,Stable,2026-05-01
Angola,Moody's,B1,Positive,2010-05-01
Angola,Moody's,B1,Positive watch,2011-02-01
Angola,Moody's,Ba3,Stable,2011-06-01
Angola,Moody's,Ba3,Positive,2012-08-01
Angola,Moody's,Ba2,Stable,2014-08-01
Angola,Moody's,Ba2,Negative,2015-03-01
Angola,Moody's,Ba2,Negative watch,2016-03-01
Angola,Moody's,Ba2,Negative,2016-04-01
Angola,Moody's,B1,Negative,2017-04-01
Angola,Moody's,B2,Stable,2017-10-01
Angola,Moody's,B3,Stable,2018-04-01
Angola,Moody's,B3,Under Review,2020-03-01
Angola,Moody's,B3,Under Review,2020-03-01
Angola,Moody's,Caa1,Negative,2020-09-01
Angola,Moody's,B3,Positive,2022-11-01
Angola,Moody's,B3,Positive,2023-10-01
Angola,Moody's,B3,Stable,2024-11-01
Angola,S&P,B+,Stable,2010-05-01
Angola,S&P,BB-,Stable,2011-07-01
Angola,S&P,B+,Stable,2015-02-01
Angola,S&P,B+,Negative,2015-08-01
Angola,S&P,B,Stable,2016-02-01
Angola,S&P,B,Negative,2016-08-01
Angola,S&P,B-,Stable,2017-08-01
Angola,S&P,B-,Negative,2019-02-01
Angola,S&P,B-,Developing,2019-11-01
Angola,S&P,B-,Developing,2019-11-01
Angola,S&P,CCC+,Stable,2020-03-01
Angola,S&P,CCC+,Stable,2020-03-01
Angola,S&P,B-,NR,2025-10-01
Angola,S&P,B-,NR,2026-03-01
