Country,Agency,Rating,Outlook,Date
Argentina,Fitch,BB,Negative,2000-09-01
Argentina,Fitch,B+,Negative,2001-03-01
Argentina,Fitch,B-,Negative,2001-07-01
Argentina,Fitch,CCC-,Negative,2001-10-01
Argentina,Fitch,C,Negative,2001-11-01
Argentina,Fitch,BB-,Stable,2006-05-01
Argentina,Fitch,BB-,Positive,2007-05-01
Argentina,Fitch,BB,Stable,2008-07-01
Argentina,Fitch,BB-,Stable,2009-08-01
Argentina,Fitch,B,Stable,2010-07-01
Argentina,Fitch,B,Stable,2011-07-01
Argentina,Fitch,BB-,Stable,2011-09-01
Argentina,Fitch,B,Stable,2012-05-01
Argentina,Fitch,B,Negative,2012-10-01
Argentina,Fitch,BB-,Stable,2013-09-01
Argentina,Fitch,BB-,Stable,2014-02-01
Argentina,Fitch,B,Stable,2016-05-01
Argentina,Fitch,B,Stable,2016-07-01
Argentina,Fitch,B,Stable,2016-10-01
Argentina,Fitch,B,Stable,2017-05-01
Argentina,Fitch,B,Positive,2017-11-01
Argentina,Fitch,B,Stable,2018-05-01
Argentina,Fitch,B,Negative,2019-05-01
Argentina,Fitch,RD,Developing,2019-08-01
Argentina,Fitch,CCC,Developing,2019-08-01
Argentina,Fitch,CC,Developing,2019-09-01
Argentina,Fitch,CC,Developing,2019-12-01
Argentina,Fitch,C,Developing,2020-04-01
Argentina,Fitch,RD,Developing,2020-05-01
Argentina,Fitch,CCC,Developing,2020-09-01
Argentina,Fitch,CCC,Developing,2021-03-01
Argentina,Fitch,CCC,Developing,2021-10-01
Argentina,Fitch,CCC-,NR,2022-10-01
Argentina,Fitch,CC,NR,2024-06-01
Argentina,Fitch,CCC,NR,2024-11-01
Argentina,Fitch,CCC+,NR,2025-05-01
Argentina,Moody's,Ba3,Negative,1999-02-01
Argentina,Moody's,Caa1,Stable,2003-11-01
Argentina,Moody's,B3,Positive,2007-01-01
Argentina,Moody's,B3,Stable,2008-08-01
Argentina,Moody's,B4,Negative,2012-09-01
Argentina,Moody's,B3,Negative,2013-03-01
Argentina,Moody's,Caa1,Stable,2014-03-01
Argentina,Moody's,Caa1,Negative,2014-07-01
Argentina,Moody's,Caa1,Positive,2015-11-01
Argentina,Moody's,B3,Stable,2016-04-01
Argentina,Moody's,B3,Positive,2017-03-01
Argentina,Moody's,B2,Negative,2019-07-01
Argentina,Moody's,Caa2,Under Review,2019-08-01
Argentina,Moody's,Ca-,Negative,2020-04-01
Argentina,Moody's,Ca-,Negative,2020-04-01
Argentina,Moody's,Ca,Negative,2020-04-01
Argentina,Moody's,Ca,Stable,2020-09-01
Argentina,Moody's,Ca,Stable,2022-09-01
Argentina,Moody's,Caa3,Positive,2025-01-01
Argentina,Moody's,Caa1,Stable,2025-07-01
Argentina,S&P,BB-,Stable,1993-08-01
Argentina,S&P,BB-,Positive,1994-02-01
Argentina,S&P,BB-,Positive,1994-08-01
Argentina,S&P,BB-,Positive,1994-09-01
Argentina,S&P,BB-,Stable,1995-03-01
Argentina,S&P,BB,Stable,1997-04-01
Argentina,S&P,BB,Negative,1999-07-01
Argentina,S&P,BB,Stable,2000-02-01
Argentina,S&P,BB,Negative watch,2000-09-01
Argentina,S&P,BB-,Stable,2000-11-01
Argentina,S&P,B+,Negative watch,2001-03-01
Argentina,S&P,BB-,Negative watch,2001-03-01
Argentina,S&P,B,Negative watch,2001-05-01
Argentina,S&P,B,Negative,2001-06-01
Argentina,S&P,B-,Negative,2001-07-01
Argentina,S&P,CC,Negative,2001-10-01
Argentina,S&P,CCC+,Negative,2001-10-01
Argentina,S&P,B-,Stable,2005-06-01
Argentina,S&P,B-,Stable,2005-11-01
Argentina,S&P,B-,Stable,2005-11-01
Argentina,S&P,B,Stable,2006-03-01
Argentina,S&P,B+,Stable,2006-10-01
Argentina,S&P,B+,Negative,2008-04-01
Argentina,S&P,B,Stable,2008-08-01
Argentina,S&P,B-,Stable,2008-10-01
Argentina,S&P,B-,Stable,2008-11-01
Argentina,S&P,B,Stable,2010-09-01
Argentina,S&P,B,Negative,2012-04-01
Argentina,S&P,B-,Negative,2012-10-01
Argentina,S&P,B-,Negative,2012-11-01
Argentina,S&P,CCC+,Negative,2013-09-01
Argentina,S&P,CCC-,Negative,2014-06-01
Argentina,S&P,CCC-,Negative watch,2014-07-01
Argentina,S&P,B-,Stable,2016-05-01
Argentina,S&P,B,Stable,2017-04-01
Argentina,S&P,B+,Stable,2017-10-01
Argentina,S&P,NR,NR,2019-03-01
Argentina,S&P,CCC-,Negative,2019-08-01
Argentina,S&P,B-,Negative,2019-08-01
Argentina,S&P,CC,Developing,2019-12-01
Argentina,S&P,CC,Negative,2019-12-01
Argentina,S&P,CCC-,Negative,2020-01-01
Argentina,S&P,NR,NR,2020-01-01
Argentina,S&P,CCC-,Negative,2020-01-01
Argentina,S&P,NR,NR,2020-01-01
Argentina,S&P,NR,NR,2020-02-01
Argentina,S&P,NR,NR,2020-02-01
Argentina,S&P,NR,NR,2020-02-01
Argentina,S&P,NR,NR,2020-02-01
Argentina,S&P,CCC+,Stable,2020-09-01
Argentina,S&P,CCC+,Stable,2025-12-01
