Country,Agency,Rating,Outlook,Date
Armenia,Fitch,BB-,Stable,2014-02-01
Armenia,Fitch,BB-,Stable,2014-08-01
Armenia,Fitch,B+,Stable,2016-01-01
Armenia,Fitch,B+,Stable,2016-07-01
Armenia,Fitch,B+,Stable,2017-01-01
Armenia,Fitch,B+,Stable,2017-06-01
Armenia,Fitch,B+,Stable,2017-06-01
Armenia,Fitch,B+,Positive,2017-12-01
Armenia,Fitch,B+,Positive,2018-06-01
Armenia,Fitch,B+,Positive,2018-12-01
Armenia,Fitch,B+,Positive,2019-05-01
Armenia,Fitch,B+,Positive,2019-09-01
Armenia,Fitch,BB-,Stable,2019-11-01
Armenia,Fitch,BB-,Negative,2020-04-01
Armenia,Fitch,BB-,Negative,2020-04-01
Armenia,Fitch,B+,Stable,2020-10-01
Armenia,Fitch,B+,Stable,2021-03-01
Armenia,Fitch,B+,Stable,2021-09-01
Armenia,Fitch,B+,Stable,2022-03-01
Armenia,Fitch,B+,Stable,2022-09-01
Armenia,Fitch,B+,Positive,2023-02-01
Armenia,Fitch,BB-,Stable,2023-07-01
Armenia,Fitch,BB-,Stable,2024-01-01
Armenia,Fitch,BB-,Stable,2024-07-01
Armenia,Fitch,BB-,Stable,2025-01-01
Armenia,Fitch,BB-,Stable,2025-07-01
Armenia,Fitch,BB-,Positive,2026-01-01
Armenia,Fitch,BB-,Positive,2026-07-01
Armenia,Moody's,Ba2,Negative,2011-11-01
Armenia,Moody's,Ba2,Stable,2013-08-01
Armenia,Moody's,Ba3,Negative,2015-01-01
Armenia,Moody's,B1,Stable,2016-03-01
Armenia,Moody's,B1,Positive,2018-03-01
Armenia,Moody's,B1,Stable,2019-01-01
Armenia,Moody's,Ba3,Stable,2019-08-01
Armenia,Moody's,Ba3,Stable,2019-09-01
Armenia,Moody's,Ba3,Stable,2021-08-01
Armenia,Moody's,Ba3,Negative,2022-03-01
Armenia,Moody's,Ba3,Stable,2023-06-01
Armenia,Moody's,Ba3,Stable,2025-03-01
Armenia,Moody's,Ba3,Stable,2025-06-01
Armenia,S&P,B+,Stable,2022-04-01
Armenia,S&P,BB-,Stable,2023-08-01
Armenia,S&P,BB-,NR,2025-03-01
Armenia,S&P,BB-,Positive,2026-02-01
