Country,Agency,Rating,Outlook,Date
Australia,Fitch,AA,Negative,1998-06-01
Australia,Fitch,AA,Stable,2000-09-01
Australia,Fitch,AA+,Stable,2003-02-01
Australia,Fitch,AA+,Stable,2011-09-01
Australia,Fitch,AA+,Stable,2011-10-01
Australia,Fitch,AAA,Stable,2011-11-01
Australia,Fitch,AAA,Stable,2012-03-01
Australia,Fitch,AAA,Stable,2012-05-01
Australia,Fitch,AAA,Stable,2012-06-01
Australia,Fitch,AAA,Stable,2012-08-01
Australia,Fitch,AAA,Stable,2013-02-01
Australia,Fitch,AAA,Stable,2013-03-01
Australia,Fitch,AAA,Stable,2013-06-01
Australia,Fitch,AAA,Stable,2013-08-01
Australia,Fitch,AAA,Stable,2013-09-01
Australia,Fitch,AAA,Stable,2013-11-01
Australia,Fitch,AAA,Stable,2013-12-01
Australia,Fitch,AAA,Stable,2014-03-01
Australia,Fitch,AAA,Stable,2014-04-01
Australia,Fitch,AAA,Stable,2014-07-01
Australia,Fitch,AAA,Stable,2014-10-01
Australia,Fitch,AAA,Stable,2015-03-01
Australia,Fitch,AAA,Stable,2016-03-01
Australia,Fitch,AAA,Stable,2016-07-01
Australia,Fitch,AAA,Stable,2016-09-01
Australia,Fitch,AAA,Stable,2017-05-01
Australia,Fitch,AAA,Stable,2018-05-01
Australia,Fitch,AA+,Positive,2019-01-01
Australia,Fitch,AAA,Stable,2019-04-01
Australia,Fitch,AAA,Stable,2019-10-01
Australia,Fitch,AAA,Positive,2021-02-01
Australia,Fitch,AAA,Stable,2021-10-01
Australia,Fitch,AAA,Stable,2023-05-01
Australia,Fitch,AAA,Stable,2023-11-01
Australia,Fitch,AAA,Stable,2024-11-01
Australia,Fitch,AAA,Stable,2025-10-01
Australia,Moody's,A,Stable,1962-01-01
Australia,Moody's,Aaa,Stable,1974-10-01
Australia,Moody's,Aa1,Stable,1986-09-01
Australia,Moody's,Aa2,Stable,1989-01-01
Australia,Moody's,Aaa,Stable,2018-06-01
Australia,Moody's,AAA,Stable,2020-06-01
Australia,Moody's,Aaa,Stable,2022-06-01
Australia,Moody's,Aaa,Stable,2024-10-01
Australia,S&P,AA+,Negative,1989-06-01
Australia,S&P,AA,Negative,1989-10-01
Australia,S&P,AA,Negative,1992-07-01
Australia,S&P,AA,Stable,1993-09-01
Australia,S&P,AA,Positive,1996-08-01
Australia,S&P,AA+,Stable,1999-05-01
Australia,S&P,AAA,Stable,2003-02-01
Australia,S&P,AAA,Stable,2005-11-01
Australia,S&P,AAA,Negative,2016-07-01
Australia,S&P,AAA,Stable,2018-09-01
Australia,S&P,AAA,Negative,2020-04-01
Australia,S&P,AAA,Negative,2020-04-01
Australia,S&P,AAA,Stable,2021-06-01
