Country,Agency,Rating,Outlook,Date
Austria,Fitch,AAA,Stable,2000-09-01
Austria,Fitch,AAA,Stable,2011-07-01
Austria,Fitch,AAA,Stable,2011-10-01
Austria,Fitch,AAA,Stable,2011-11-01
Austria,Fitch,AAA,Stable,2012-01-01
Austria,Fitch,AAA,Stable,2012-02-01
Austria,Fitch,AAA,Stable,2012-04-01
Austria,Fitch,AAA,Stable,2012-05-01
Austria,Fitch,AAA,Stable,2012-07-01
Austria,Fitch,AAA,Stable,2012-08-01
Austria,Fitch,AAA,Stable,2012-11-01
Austria,Fitch,AAA,Stable,2013-04-01
Austria,Fitch,AAA,Stable,2013-07-01
Austria,Fitch,AAA,Stable,2013-09-01
Austria,Fitch,AAA,Stable,2013-10-01
Austria,Fitch,AAA,Stable,2014-01-01
Austria,Fitch,AAA,Stable,2014-02-01
Austria,Fitch,AAA,Stable,2014-05-01
Austria,Fitch,AAA,Stable,2014-07-01
Austria,Fitch,AAA,Stable,2014-08-01
Austria,Fitch,AA+,Stable,2016-02-01
Austria,Fitch,AA+,Stable,2016-07-01
Austria,Fitch,AA+,Stable,2016-08-01
Austria,Fitch,AA+,Stable,2017-02-01
Austria,Fitch,AA+,Stable,2017-07-01
Austria,Fitch,AA+,Stable,2018-01-01
Austria,Fitch,AA+,Positive,2018-07-01
Austria,Fitch,AA+,Positive,2019-05-01
Austria,Fitch,AA+,Positive,2019-11-01
Austria,Fitch,AA+,Stable,2020-05-01
Austria,Fitch,AA+,Stable,2020-11-01
Austria,Fitch,AA+,Stable,2021-05-01
Austria,Fitch,AA+,Stable,2021-10-01
Austria,Fitch,AA+,Stable,2022-04-01
Austria,Fitch,AA+,Negative,2023-03-01
Austria,Fitch,AA+,Stable,2023-08-01
Austria,Fitch,AA+,Stable,2024-02-01
Austria,Fitch,AA+,Stable,2024-07-01
Austria,Fitch,AA+,Negative,2025-01-01
Austria,Fitch,AA,Stable,2025-06-01
Austria,Fitch,AA,Stable,2025-12-01
Austria,Moody's,Aaa,Stable,1977-06-01
Austria,Moody's,Aaa,Stable,1998-05-01
Austria,Moody's,Aaa,Stable,2003-11-01
Austria,Moody's,Aaa,Negative,2012-02-01
Austria,Moody's,Aaa,Stable,2014-02-01
Austria,Moody's,Aaa,Negative,2015-10-01
Austria,Moody's,Aa1,Stable,2016-06-01
Austria,Moody's,Aa1,Stable,2018-05-01
Austria,Moody's,Aa1,Stable,2020-11-01
Austria,Moody's,Aa1,Stable,2023-02-01
Austria,Moody's,Aa1,Stable,2025-02-01
Austria,Moody's,Aa1,Negative,2025-08-01
Austria,S&P,AAA,Stable,1989-06-01
Austria,S&P,AAA,Stable,1992-07-01
Austria,S&P,AAA,Stable,2005-11-01
Austria,S&P,AAA,Negative watch,2011-12-01
Austria,S&P,AA+,Negative,2012-01-01
Austria,S&P,AA+,Stable,2013-01-01
Austria,S&P,AA+,Positive,2022-02-01
Austria,S&P,AA+,Stable,2022-08-01
Austria,S&P,AA+,NR,2025-05-01
Austria,S&P,AA+,NR,2025-05-01
Austria,S&P,AA+,NR,2025-06-01
Austria,S&P,AA+,NR,2025-07-01
Austria,S&P,AA+,NR,2025-07-01
Austria,S&P,AA+,NR,2025-10-01
Austria,S&P,AA+,NR,2026-02-01
Austria,S&P,AA+,NR,2026-03-01
Austria,S&P,AA+,NR,2026-05-01
