Country,Agency,Rating,Outlook,Date
Azerbaijan,Fitch,B+,Positive,2000-09-01
Azerbaijan,Fitch,BB-,Stable,2001-07-01
Azerbaijan,Fitch,BB-,Positive,2002-07-01
Azerbaijan,Fitch,BB,Stable,2004-11-01
Azerbaijan,Fitch,BB+,Stable,2007-02-01
Azerbaijan,Fitch,BBB-,Stable,2010-05-01
Azerbaijan,Fitch,BBB-,Positive,2011-05-01
Azerbaijan,Fitch,BBB-,Stable,2012-05-01
Azerbaijan,Fitch,BBB-,Stable,2013-04-01
Azerbaijan,Fitch,BBB-,Stable,2013-10-01
Azerbaijan,Fitch,BBB-,Stable,2014-03-01
Azerbaijan,Fitch,BBB-,Stable,2014-03-01
Azerbaijan,Fitch,BBB-,Stable,2014-09-01
Azerbaijan,Fitch,BB+,Negative,2016-02-01
Azerbaijan,Fitch,BB+,Negative,2016-07-01
Azerbaijan,Fitch,BB+,Negative,2016-08-01
Azerbaijan,Fitch,BB+,Negative,2017-02-01
Azerbaijan,Fitch,BB+,Negative,2017-08-01
Azerbaijan,Fitch,BB+,Negative,2017-08-01
Azerbaijan,Fitch,BB+,Stable,2018-02-01
Azerbaijan,Fitch,BB+,Stable,2018-07-01
Azerbaijan,Fitch,BB+,Stable,2019-01-01
Azerbaijan,Fitch,BB+,Stable,2019-07-01
Azerbaijan,Fitch,BB+,Stable,2020-01-01
Azerbaijan,Fitch,BB+,Stable,2020-01-01
Azerbaijan,Fitch,BB+,Negative,2020-04-01
Azerbaijan,Fitch,BB+,Negative,2020-04-01
Azerbaijan,Fitch,BB+,Negative,2020-07-01
Azerbaijan,Fitch,BB+,Negative,2020-11-01
Azerbaijan,Fitch,BB+,Stable,2021-05-01
Azerbaijan,Fitch,BB+,Stable,2021-11-01
Azerbaijan,Fitch,BB+,Stable,2022-04-01
Azerbaijan,Fitch,BB+,Positive,2022-10-01
Azerbaijan,Fitch,BB+,Positive,2023-04-01
Azerbaijan,Fitch,BB+,Positive,2023-09-01
Azerbaijan,Fitch,BB+,Positive,2024-02-01
Azerbaijan,Fitch,BBB-,Stable,2024-07-01
Azerbaijan,Fitch,BBB-,Stable,2025-01-01
Azerbaijan,Moody's,Ba1,Positive,2008-07-01
Azerbaijan,Moody's,Ba1,Stable,2009-06-01
Azerbaijan,Moody's,Ba1,Positive,2011-03-01
Azerbaijan,Moody's,Baa3,Stable,2012-04-01
Azerbaijan,Moody's,Baa3,Stable,2015-12-01
Azerbaijan,Moody's,Ba1,Under Review,2016-02-01
Azerbaijan,Moody's,Ba1,Negative,2016-04-01
Azerbaijan,Moody's,Ba1,Under Review,2017-05-01
Azerbaijan,Moody's,Ba2,Stable,2017-08-01
Azerbaijan,Moody's,Ba2,Stable,2019-01-01
Azerbaijan,Moody's,Ba2,Stable,2019-04-01
Azerbaijan,Moody's,Ba2,Positive,2021-04-01
Azerbaijan,Moody's,Ba1,Stable,2022-08-01
Azerbaijan,Moody's,Ba1,Positive,2024-07-01
Azerbaijan,Moody's,Baa3,Positive,2025-07-01
Azerbaijan,S&P,BB+,Stable,2008-12-01
Azerbaijan,S&P,BB+,Positive,2009-12-01
Azerbaijan,S&P,BBB-,Stable,2011-12-01
Azerbaijan,S&P,BBB-,Negative,2015-01-01
Azerbaijan,S&P,BB+,Stable,2016-01-01
Azerbaijan,S&P,BB+,Negative,2016-07-01
Azerbaijan,S&P,BB+,Stable,2018-01-01
Azerbaijan,S&P,BB+,Negative,2020-10-01
Azerbaijan,S&P,BBB-,Stable,2025-06-01
Azerbaijan,S&P,BB+,Positive,2025-12-01
