Country,Agency,Rating,Outlook,Date
Bahamas,Fitch,BB-,Stable,2025-04-01
Bahamas,Fitch,BB-,Stable,2025-04-01
Bahamas,Fitch,BB-,Stable,2025-06-01
Bahamas,Fitch,BB-,Stable,2026-04-01
Bahamas,Moody's,A3,Positive,2001-09-01
Bahamas,Moody's,A3,Stable,2003-11-01
Bahamas,Moody's,A3,Negative,2011-08-01
Bahamas,Moody's,Baa2,Stable,2014-09-01
Bahamas,Moody's,Baa2,Under Review,2016-07-01
Bahamas,Moody's,Baa3,Stable,2016-08-01
Bahamas,Moody's,Baa3,Under Review,2017-07-01
Bahamas,Moody's,Baa3,Negative,2017-08-01
Bahamas,Moody's,Baa3,Negative,2018-11-01
Bahamas,Moody's,Baa3,Stable,2019-02-01
Bahamas,Moody's,Baa3,Under Review,2020-04-01
Bahamas,Moody's,Baa3,Under Review,2020-04-01
Bahamas,Moody's,Ba2,Negative,2020-06-01
Bahamas,Moody's,Ba3,Negative,2021-09-01
Bahamas,Moody's,B1,Stable,2022-10-01
Bahamas,Moody's,B1,Positive,2025-04-01
Bahamas,Moody's,B1,Positive,2025-04-01
Bahamas,Moody's,A3,Negative,2025-04-01
Bahamas,Moody's,Ba3,Stable,2026-05-01
Bahamas,S&P,A-,Stable,2003-12-01
Bahamas,S&P,A-,Stable,2005-11-01
Bahamas,S&P,A-,Stable,2006-04-01
Bahamas,S&P,A-,Positive,2007-08-01
Bahamas,S&P,A-,Stable,2008-01-01
Bahamas,S&P,A-,Negative,2008-11-01
Bahamas,S&P,BBB+,Stable,2009-12-01
Bahamas,S&P,BBB,Stable,2011-10-01
Bahamas,S&P,BBB,Stable,2012-07-01
Bahamas,S&P,BBB,Negative,2012-09-01
Bahamas,S&P,BBB,Negative watch,2015-07-01
Bahamas,S&P,BBB-,Negative,2015-08-01
Bahamas,S&P,BB+,Stable,2016-12-01
Bahamas,S&P,BB+,Negative,2020-03-01
Bahamas,S&P,BB,Negative,2020-04-01
Bahamas,S&P,B+,Stable,2021-11-01
Bahamas,S&P,B+,NR,2025-06-01
Bahamas,S&P,B+,NR,2025-07-01
Bahamas,S&P,BB-,Stable,2025-09-01
