Country,Agency,Rating,Outlook,Date
Bahrain,Fitch,BBB-,Stable,2000-09-01
Bahrain,Fitch,BBB,Stable,2001-11-01
Bahrain,Fitch,BBB,Positive,2002-12-01
Bahrain,Fitch,A-,Stable,2003-01-01
Bahrain,Fitch,A-,Positive,2006-08-01
Bahrain,Fitch,A,Stable,2007-08-01
Bahrain,Fitch,A,Negative,2011-02-01
Bahrain,Fitch,BBB,Negative,2011-03-01
Bahrain,Fitch,BBB,Stable,2011-08-01
Bahrain,Fitch,BBB,Stable,2011-11-01
Bahrain,Fitch,BBB,Stable,2011-12-01
Bahrain,Fitch,BBB,Stable,2012-01-01
Bahrain,Fitch,BBB,Stable,2012-02-01
Bahrain,Fitch,BBB,Stable,2012-04-01
Bahrain,Fitch,BBB,Stable,2012-05-01
Bahrain,Fitch,BBB,Stable,2012-07-01
Bahrain,Fitch,BBB,Stable,2012-08-01
Bahrain,Fitch,BBB,Stable,2013-03-01
Bahrain,Fitch,BBB,Stable,2013-05-01
Bahrain,Fitch,BBB,Stable,2013-06-01
Bahrain,Fitch,BBB,Stable,2013-07-01
Bahrain,Fitch,BBB,Stable,2013-08-01
Bahrain,Fitch,BBB,Stable,2013-09-01
Bahrain,Fitch,BBB,Stable,2013-10-01
Bahrain,Fitch,BBB,Stable,2013-11-01
Bahrain,Fitch,BBB,Stable,2013-12-01
Bahrain,Fitch,BBB,Stable,2014-01-01
Bahrain,Fitch,BBB,Stable,2014-02-01
Bahrain,Fitch,BBB,Stable,2014-03-01
Bahrain,Fitch,BBB,Stable,2014-04-01
Bahrain,Fitch,BBB,Stable,2014-05-01
Bahrain,Fitch,BBB,Stable,2014-06-01
Bahrain,Fitch,BBB,Stable,2014-07-01
Bahrain,Fitch,BBB,Stable,2014-08-01
Bahrain,Fitch,BBB,Stable,2014-09-01
Bahrain,Fitch,BBB-,Negative,2015-12-01
Bahrain,Fitch,BB+,Stable,2016-06-01
Bahrain,Fitch,BB+,Stable,2016-07-01
Bahrain,Fitch,BB+,Stable,2017-02-01
Bahrain,Fitch,BB+,Negative,2017-06-01
Bahrain,Fitch,BB+,Negative,2017-06-01
Bahrain,Fitch,BB-,Stable,2018-03-01
Bahrain,Fitch,BB-,Stable,2019-02-01
Bahrain,Fitch,BB-,Stable,2019-09-01
Bahrain,Fitch,BB-,Stable,2019-11-01
Bahrain,Fitch,B+,Stable,2020-08-01
Bahrain,Fitch,B+,Stable,2021-04-01
Bahrain,Fitch,B+,Stable,2022-04-01
Bahrain,Fitch,B+,Stable,2022-12-01
Bahrain,Fitch,B+,Stable,2023-07-01
Bahrain,Fitch,B+,Stable,2024-03-01
Bahrain,Fitch,B+,Negative,2025-02-01
Bahrain,Fitch,B,Stable,2026-02-01
Bahrain,Moody's,Baa3,Stable,2003-11-01
Bahrain,Moody's,Baa1,Under Review,2006-09-01
Bahrain,Moody's,A3,Positive,2006-10-01
Bahrain,Moody's,A2,Negative,2009-01-01
Bahrain,Moody's,A3,Stable,2010-08-01
Bahrain,Moody's,A3,Under Review,2011-02-01
Bahrain,Moody's,Baa1,Negative,2011-05-01
Bahrain,Moody's,Baa1,Under Review,2013-06-01
Bahrain,Moody's,Baa2,Negative,2013-09-01
Bahrain,Moody's,Baa3,Negative,2015-04-01
Bahrain,Moody's,Ba1,Under Review,2016-03-01
Bahrain,Moody's,Ba2,Negative,2016-05-01
Bahrain,Moody's,B1,Negative,2017-07-01
Bahrain,Moody's,B2,Negative,2018-08-01
Bahrain,Moody's,B2,Stable,2018-12-01
Bahrain,Moody's,B2,Stable,2019-01-01
Bahrain,Moody's,B2,Stable,2019-09-01
Bahrain,Moody's,B2,Negative,2021-04-01
Bahrain,Moody's,B2,Stable,2022-04-01
Bahrain,Moody's,B2,Stable,2024-05-01
Bahrain,S&P,A-,Stable,2002-07-01
Bahrain,S&P,A-,Positive,2003-12-01
Bahrain,S&P,A-,Positive,2005-11-01
Bahrain,S&P,A,Stable,2006-04-01
Bahrain,S&P,A,Stable,2006-04-01
Bahrain,S&P,A-,Negative watch,2011-02-01
Bahrain,S&P,BBB,Negative watch,2011-03-01
Bahrain,S&P,BBB,Negative,2011-07-01
Bahrain,S&P,BBB,Negative,2012-07-01
Bahrain,S&P,BBB,Stable,2013-01-01
Bahrain,S&P,BBB,Stable,2013-12-01
Bahrain,S&P,BBB,Negative,2014-12-01
Bahrain,S&P,BBB-,Negative,2015-02-01
Bahrain,S&P,BB,Stable,2016-02-01
Bahrain,S&P,BB-,Stable,2016-12-01
Bahrain,S&P,BB-,Negative,2017-06-01
Bahrain,S&P,B+,Stable,2017-12-01
Bahrain,S&P,B+,Developing,2019-09-01
Bahrain,S&P,B+,Positive,2019-11-01
Bahrain,S&P,B+,Stable,2020-03-01
Bahrain,S&P,B+,Stable,2020-03-01
Bahrain,S&P,B+,Stable,2021-11-01
Bahrain,S&P,B+,Stable,2023-11-01
Bahrain,S&P,B+,Negative,2025-04-01
Bahrain,S&P,B+,NR,2025-08-01
Bahrain,S&P,B+,NR,2025-10-01
Bahrain,S&P,B,Stable,2025-11-01
Bahrain,S&P,B,NR,2026-03-01
