Country,Agency,Rating,Outlook,Date
Bangladesh,Fitch,BB-,Stable,2014-08-01
Bangladesh,Fitch,BB-,Stable,2015-08-01
Bangladesh,Fitch,BB-,Stable,2016-04-01
Bangladesh,Fitch,BB-,Stable,2016-07-01
Bangladesh,Fitch,BB-,Stable,2017-01-01
Bangladesh,Fitch,BB-,Stable,2018-01-01
Bangladesh,Fitch,BB-,Stable,2018-12-01
Bangladesh,Fitch,BB-,Stable,2019-11-01
Bangladesh,Fitch,BB-,Stable,2020-11-01
Bangladesh,Fitch,BB-,Stable,2021-11-01
Bangladesh,Fitch,BB-,Stable,2022-09-01
Bangladesh,Fitch,BB-,Negative,2023-09-01
Bangladesh,Fitch,B+,Stable,2024-05-01
Bangladesh,Fitch,B+,Stable,2025-05-01
Bangladesh,Fitch,B+,Negative,2026-05-01
Bangladesh,Fitch,B+,Negative,2026-05-01
Bangladesh,Moody's,Ba3,Stable,2010-04-01
Bangladesh,Moody's,Ba3,Stable,2014-04-01
Bangladesh,Moody's,Ba3,Stable,2017-04-01
Bangladesh,Moody's,Ba3,Stable,2018-10-01
Bangladesh,Moody's,Ba3,Stable,2020-03-01
Bangladesh,Moody's,Ba3,Stable,2022-03-01
Bangladesh,Moody's,Ba3,Under Review,2022-12-01
Bangladesh,Moody's,B1,Stable,2023-05-01
Bangladesh,Moody's,B2,Negative,2024-11-01
Bangladesh,S&P,BB-,Stable,2010-04-01
