Country,Agency,Rating,Outlook,Date
Barbados,Fitch,B,Stable,2022-10-01
Barbados,Fitch,B,Positive,2023-10-01
Barbados,Fitch,B+,Stable,2024-10-01
Barbados,Fitch,B+,Stable,2025-06-01
Barbados,Fitch,B+,Positive,2025-10-01
Barbados,Moody's,Baa2,Stable,2003-11-01
Barbados,Moody's,Baa2,Under Review,2009-05-01
Barbados,Moody's,Baa3,Stable,2009-10-01
Barbados,Moody's,Baa3,Negative,2011-06-01
Barbados,Moody's,Ba3,Negative,2013-12-01
Barbados,Moody's,B3,Negative,2014-06-01
Barbados,Moody's,Caa1,Stable,2016-04-01
Barbados,Moody's,Caa3,Stable,2017-03-01
Barbados,Moody's,Caa3,Stable,2019-07-01
Barbados,Moody's,Caa1,Stable,2021-07-01
Barbados,Moody's,B3,Stable,2023-08-01
Barbados,Moody's,B2,Stable,2025-04-01
Barbados,Moody's,B2,Stable,2025-06-01
Barbados,Moody's,C,Stable,2026-04-01
Barbados,S&P,A-,Stable,1999-12-01
Barbados,S&P,A-,Negative,2003-08-01
Barbados,S&P,BBB+,Stable,2004-08-01
Barbados,S&P,BBB+,Negative,2005-07-01
Barbados,S&P,BBB+,Stable,2005-11-01
Barbados,S&P,BBB+,Negative,2006-04-01
Barbados,S&P,BBB+,Stable,2006-07-01
Barbados,S&P,BBB+,Negative,2009-04-01
Barbados,S&P,BBB,Stable,2009-06-01
Barbados,S&P,BBB,Negative,2009-11-01
Barbados,S&P,BBB-,Stable,2010-10-01
Barbados,S&P,BBB-,Negative,2011-11-01
Barbados,S&P,BB+,Stable,2012-07-01
Barbados,S&P,BB+,Negative,2013-07-01
Barbados,S&P,BB-,Negative,2013-11-01
Barbados,S&P,B,Negative,2014-12-01
Barbados,S&P,B-,Negative,2016-09-01
Barbados,S&P,CCC+,Negative,2017-03-01
Barbados,S&P,CCC+,Negative,2017-09-01
Barbados,S&P,B-,Stable,2019-12-01
Barbados,S&P,B-,Positive,2023-10-01
Barbados,S&P,B,Positive,2024-11-01
Barbados,S&P,B+,Stable,2025-10-01
