Country,Agency,Rating,Outlook,Date
Belgium,Fitch,AA-,Stable,2000-09-01
Belgium,Fitch,AA,Stable,2002-06-01
Belgium,Fitch,AA+,Stable,2006-05-01
Belgium,Fitch,AA+,Negative,2011-05-01
Belgium,Fitch,AA+,Negative,2011-10-01
Belgium,Fitch,AA+,Negative,2011-12-01
Belgium,Fitch,AA,Negative,2012-01-01
Belgium,Fitch,AA,Negative,2012-02-01
Belgium,Fitch,AA,Negative,2012-04-01
Belgium,Fitch,AA,Negative,2012-07-01
Belgium,Fitch,AA,Stable,2013-03-01
Belgium,Fitch,AA,Stable,2013-11-01
Belgium,Fitch,AA,Stable,2013-12-01
Belgium,Fitch,AA,Stable,2014-01-01
Belgium,Fitch,AA,Stable,2014-02-01
Belgium,Fitch,AA,Stable,2014-03-01
Belgium,Fitch,AA,Stable,2014-04-01
Belgium,Fitch,AA,Stable,2014-05-01
Belgium,Fitch,AA,Stable,2014-06-01
Belgium,Fitch,AA,Stable,2014-07-01
Belgium,Fitch,AA,Stable,2014-08-01
Belgium,Fitch,AA,Negative,2014-11-01
Belgium,Fitch,AA,Negative,2016-01-01
Belgium,Fitch,AA,Negative,2016-07-01
Belgium,Fitch,AA-,Stable,2016-12-01
Belgium,Fitch,AA-,Stable,2017-07-01
Belgium,Fitch,AA-,Stable,2017-12-01
Belgium,Fitch,AA-,Stable,2018-06-01
Belgium,Fitch,AA-,Stable,2018-12-01
Belgium,Fitch,AA-,Stable,2019-04-01
Belgium,Fitch,AA-,Stable,2019-10-01
Belgium,Fitch,AA-,Negative,2020-04-01
Belgium,Fitch,AA-,Negative,2020-10-01
Belgium,Fitch,AA-,Negative,2021-03-01
Belgium,Fitch,AA-,Stable,2021-09-01
Belgium,Fitch,AA-,Stable,2022-03-01
Belgium,Fitch,AA-,Stable,2022-09-01
Belgium,Fitch,AA-,Negative,2023-09-01
Belgium,Fitch,AA-,Negative,2024-02-01
Belgium,Fitch,AA-,Stable,2024-08-01
Belgium,Fitch,AA-,Negative,2024-08-01
Belgium,Fitch,AA-,Negative,2025-02-01
Belgium,Fitch,A+,Stable,2025-06-01
Belgium,Moody's,Aa1,Stable,2003-11-01
Belgium,Moody's,Aa1,Positive,2006-03-01
Belgium,Moody's,Aa1,Stable,2009-01-01
Belgium,Moody's,Aa3,Negative,2011-12-01
Belgium,Moody's,Aa3,Stable,2014-03-01
Belgium,Moody's,Aa3,Stable,2017-03-01
Belgium,Moody's,Aa3,Stable,2019-10-01
Belgium,Moody's,Aa3,Stable,2021-11-01
Belgium,Moody's,Aa3,Stable,2023-04-01
Belgium,Moody's,Aa3,Negative,2024-10-01
Belgium,S&P,AA+,Positive,1989-06-01
Belgium,S&P,AA+,Stable,1992-07-01
Belgium,S&P,AA+,Stable,1992-11-01
Belgium,S&P,AA+,Stable,1995-08-01
Belgium,S&P,AA+,Stable,1998-05-01
Belgium,S&P,AA+,Stable,2005-11-01
Belgium,S&P,AA+,Negative,2010-12-01
Belgium,S&P,AA,Negative,2011-11-01
Belgium,S&P,AA,Negative watch,2011-12-01
Belgium,S&P,AA,Negative,2012-01-01
Belgium,S&P,AA,Stable,2014-02-01
Belgium,S&P,AA,Negative,2025-04-01
