Country,Agency,Rating,Outlook,Date
Benin,Fitch,B,Stable,2004-09-01
Benin,Fitch,B,Stable,2011-05-01
Benin,Fitch,B,Positive,2019-03-01
Benin,Fitch,B,Positive,2019-12-01
Benin,Fitch,B,Stable,2020-04-01
Benin,Fitch,B,Stable,2020-04-01
Benin,Fitch,B,Positive,2021-02-01
Benin,Fitch,B+,Stable,2021-10-01
Benin,Fitch,B+,Stable,2022-04-01
Benin,Fitch,B+,Stable,2022-10-01
Benin,Fitch,B+,Stable,2023-03-01
Benin,Fitch,B+,Stable,2023-09-01
Benin,Fitch,B+,Stable,2024-03-01
Benin,Fitch,B+,Stable,2024-09-01
Benin,Fitch,B+,Stable,2025-02-01
Benin,Fitch,B+,Stable,2025-07-01
Benin,Fitch,B+,Positive,2026-01-01
Benin,Fitch,B+,Positive,2026-06-01
Benin,Moody's,B2,Positive,2019-06-01
Benin,Moody's,B1,Stable,2021-03-01
Benin,Moody's,B1,Stable,2023-09-01
Benin,Moody's,B1,Positive,2025-02-01
Benin,S&P,B+,Stable,2003-12-01
Benin,S&P,B+,Stable,2005-11-01
Benin,S&P,B,Negative,2006-09-01
Benin,S&P,B,Stable,2007-04-01
Benin,S&P,B,Positive,2007-12-01
Benin,S&P,B,Stable,2010-12-01
Benin,S&P,B,Negative,2012-12-01
Benin,S&P,NR,NR,2013-11-01
Benin,S&P,B+,NR,2019-04-01
Benin,S&P,B+,Positive,2023-10-01
Benin,S&P,BB-,Positive,2024-10-01
Benin,S&P,BB-,Stable,2025-12-01
