Country,Agency,Rating,Outlook,Date
Bolivia,Fitch,B-,Stable,2004-03-01
Bolivia,Fitch,B-,Negative,2005-06-01
Bolivia,Fitch,B-,Stable,2007-07-01
Bolivia,Fitch,B,Stable,2009-09-01
Bolivia,Fitch,B+,Stable,2010-10-01
Bolivia,Fitch,B+,Stable,2011-10-01
Bolivia,Fitch,BB-,Stable,2012-10-01
Bolivia,Fitch,BB-,Stable,2013-08-01
Bolivia,Fitch,BB-,Stable,2013-09-01
Bolivia,Fitch,BB,Stable,2015-07-01
Bolivia,Fitch,BB-,Stable,2016-07-01
Bolivia,Fitch,BB-,Stable,2017-07-01
Bolivia,Fitch,BB-,Stable,2018-07-01
Bolivia,Fitch,BB-,Negative,2019-06-01
Bolivia,Fitch,B+,Negative,2019-11-01
Bolivia,Fitch,B,Stable,2020-09-01
Bolivia,Fitch,B,Stable,2021-09-01
Bolivia,Fitch,B,Stable,2022-09-01
Bolivia,Fitch,B-,Negative,2023-03-01
Bolivia,Fitch,CCC,NR,2024-02-01
Bolivia,Fitch,CCC,NR,2025-01-01
Bolivia,Fitch,CCC,NR,2026-01-01
Bolivia,Moody's,B3,Stable,2003-07-01
Bolivia,Moody's,B2,Under Review,2010-06-01
Bolivia,Moody's,B1,Positive,2010-12-01
Bolivia,Moody's,Ba3,Stable,2012-06-01
Bolivia,Moody's,Ba3,Stable,2015-10-01
Bolivia,Moody's,Ba3,Negative,2016-06-01
Bolivia,Moody's,Ba3,Stable,2017-08-01
Bolivia,Moody's,Ba3,Under Review,2019-12-01
Bolivia,Moody's,B1,Negative,2020-03-01
Bolivia,Moody's,B2,Stable,2020-09-01
Bolivia,Moody's,B2,Negative,2021-10-01
Bolivia,Moody's,Caa1,Under Review,2023-03-01
Bolivia,Moody's,Caa1,Negative,2023-06-01
Bolivia,Moody's,Caa3,Stable,2024-04-01
Bolivia,Moody's,Caa3,Stable,2024-10-01
Bolivia,Moody's,Ca,Stable,2025-04-01
Bolivia,Moody's,Caa3,Positive,2026-03-01
Bolivia,S&P,BB-,Stable,1998-07-01
Bolivia,S&P,B+,Stable,2000-10-01
Bolivia,S&P,B+,Negative,2002-12-01
Bolivia,S&P,B,Negative,2003-02-01
Bolivia,S&P,B,Stable,2003-08-01
Bolivia,S&P,B-,Negative,2003-10-01
Bolivia,S&P,B-,Stable,2004-08-01
Bolivia,S&P,B-,Negative,2005-06-01
Bolivia,S&P,B-,Stable,2005-11-01
Bolivia,S&P,B-,Negative,2006-04-01
Bolivia,S&P,B-,Stable,2007-11-01
Bolivia,S&P,B,Positive,2010-05-01
Bolivia,S&P,B+,Stable,2011-05-01
Bolivia,S&P,B+,Positive,2011-08-01
Bolivia,S&P,BB-,Stable,2012-05-01
Bolivia,S&P,BB,Stable,2014-05-01
Bolivia,S&P,BB,Negative,2017-05-01
Bolivia,S&P,CCC-,Negative,2017-07-01
Bolivia,S&P,BB-,Stable,2018-05-01
Bolivia,S&P,BB-,Negative,2019-12-01
Bolivia,S&P,B+,Stable,2020-04-01
Bolivia,S&P,B+,Negative,2021-03-01
Bolivia,S&P,CCC-,Negative,2025-06-01
Bolivia,S&P,CCC+,Stable,2026-03-01
