Country,Agency,Rating,Outlook,Date
Brazil,Fitch,BB-,Stable,2000-09-01
Brazil,Fitch,BB-,Negative,2001-07-01
Brazil,Fitch,B+,Negative,2002-06-01
Brazil,Fitch,B+,Negative,2002-08-01
Brazil,Fitch,B,Negative,2002-10-01
Brazil,Fitch,B,Stable,2003-03-01
Brazil,Fitch,B,Positive,2003-06-01
Brazil,Fitch,B+,Stable,2003-11-01
Brazil,Fitch,BB-,Stable,2004-09-01
Brazil,Fitch,BB-,Positive,2005-10-01
Brazil,Fitch,BB,Stable,2006-06-01
Brazil,Fitch,BB,Positive,2007-02-01
Brazil,Fitch,BB+,Stable,2007-05-01
Brazil,Fitch,BBB-,Stable,2008-05-01
Brazil,Fitch,BBB-,Positive,2010-06-01
Brazil,Fitch,BBB,Stable,2011-04-01
Brazil,Fitch,BBB,Stable,2011-10-01
Brazil,Fitch,BBB,Stable,2012-01-01
Brazil,Fitch,BBB,Stable,2012-04-01
Brazil,Fitch,BBB,Stable,2012-07-01
Brazil,Fitch,BBB,Stable,2012-09-01
Brazil,Fitch,BBB,Stable,2013-04-01
Brazil,Fitch,BBB,Stable,2013-07-01
Brazil,Fitch,BBB,Stable,2013-10-01
Brazil,Fitch,BBB,Stable,2013-11-01
Brazil,Fitch,BBB,Stable,2014-01-01
Brazil,Fitch,BBB,Stable,2014-04-01
Brazil,Fitch,BBB,Stable,2014-07-01
Brazil,Fitch,BBB,Stable,2014-08-01
Brazil,Fitch,BB+,Negative,2015-12-01
Brazil,Fitch,BB,Negative,2016-05-01
Brazil,Fitch,BB,Negative,2016-07-01
Brazil,Fitch,BB,Negative,2016-11-01
Brazil,Fitch,BB,Negative,2017-05-01
Brazil,Fitch,BB,Negative,2017-11-01
Brazil,Fitch,BB-,Stable,2018-02-01
Brazil,Fitch,BB-,Stable,2018-08-01
Brazil,Fitch,BB-,Stable,2019-05-01
Brazil,Fitch,BB-,Stable,2019-11-01
Brazil,Fitch,BB-,Negative,2020-05-01
Brazil,Fitch,BB-,Negative,2020-11-01
Brazil,Fitch,BB-,Negative,2021-06-01
Brazil,Fitch,BB-,Negative,2021-12-01
Brazil,Fitch,BB-,Stable,2022-07-01
Brazil,Fitch,BB-,Stable,2022-12-01
Brazil,Fitch,BB,Stable,2023-07-01
Brazil,Fitch,BB,Stable,2023-12-01
Brazil,Fitch,BB,Stable,2024-07-01
Brazil,Fitch,BB,Stable,2025-11-01
Brazil,Moody's,B2,Stable,1998-09-01
Brazil,Moody's,B2,Positive,1999-06-01
Brazil,Moody's,B2,Stable,2003-11-01
Brazil,Moody's,B1,Positive,2005-01-01
Brazil,Moody's,Ba2,Stable,2006-08-01
Brazil,Moody's,Ba3,Under Review,2006-08-01
Brazil,Moody's,Ba2,Under Review,2007-05-01
Brazil,Moody's,Ba1,Under Review,2007-07-01
Brazil,Moody's,Ba1,Stable,2007-08-01
Brazil,Moody's,Baa3,Positive,2009-09-01
Brazil,Moody's,Baa2,Stable,2013-10-01
Brazil,Moody's,Baa2,Negative,2014-09-01
Brazil,Moody's,Baa3,Stable,2015-08-01
Brazil,Moody's,Baa3,Under Review,2015-12-01
Brazil,Moody's,Ba2,Negative,2016-02-01
Brazil,Moody's,Ba2,Stable,2017-03-01
Brazil,Moody's,Ba2,Negative,2017-05-01
Brazil,Moody's,Ba2,Negative,2018-04-01
Brazil,Moody's,NR,NR,2019-10-01
Brazil,Moody's,Ba2,Stable,2020-05-01
Brazil,Moody's,Ba2,Stable,2022-04-01
Brazil,Moody's,Ba2,Positive,2024-05-01
Brazil,Moody's,Ba1,Positive,2024-10-01
Brazil,Moody's,Ba1,Stable,2025-05-01
Brazil,S&P,B,Positive,1994-11-01
Brazil,S&P,B+,Stable,1995-07-01
Brazil,S&P,B+,Positive,1995-12-01
Brazil,S&P,B+,Positive,1996-06-01
Brazil,S&P,BB-,Stable,1997-04-01
Brazil,S&P,BB-,Negative,1998-09-01
Brazil,S&P,B+,Negative,1999-01-01
Brazil,S&P,B+,Stable,1999-11-01
Brazil,S&P,B+,Positive,2000-02-01
Brazil,S&P,BB-,Stable,2001-01-01
Brazil,S&P,BB-,Negative,2001-08-01
Brazil,S&P,B+,Negative,2002-07-01
Brazil,S&P,B+,Stable,2003-04-01
Brazil,S&P,B+,Positive,2003-12-01
Brazil,S&P,BB-,Stable,2004-09-01
Brazil,S&P,BB-,Positive,2005-11-01
Brazil,S&P,BB-,Stable,2005-11-01
Brazil,S&P,BB-,Stable,2005-11-01
Brazil,S&P,BB,Stable,2006-02-01
Brazil,S&P,BB,Positive,2006-11-01
Brazil,S&P,BB+,Positive,2007-05-01
Brazil,S&P,BBB-,Stable,2008-04-01
Brazil,S&P,BBB-,Positive,2011-05-01
Brazil,S&P,BBB-,Positive,2011-08-01
Brazil,S&P,BBB,Stable,2011-11-01
Brazil,S&P,BBB,Stable,2012-07-01
Brazil,S&P,BBB,Negative,2013-06-01
Brazil,S&P,BBB-,Stable,2014-03-01
Brazil,S&P,BBB-,Negative,2015-07-01
Brazil,S&P,BB+,Negative,2015-09-01
Brazil,S&P,BB,Negative,2016-02-01
Brazil,S&P,BB,Negative,2017-08-01
Brazil,S&P,BB-,Stable,2018-01-01
Brazil,S&P,BB-,Developing,2019-04-01
Brazil,S&P,BB-,Developing,2019-11-01
Brazil,S&P,BB-,Positive,2019-12-01
Brazil,S&P,BB,NR,2025-06-01
Brazil,S&P,BB,Stable,2025-06-01
Brazil,S&P,BB,NR,2025-09-01
Brazil,S&P,BB,NR,2025-11-01
Brazil,S&P,BB,NR,2026-02-01
