Country,Agency,Rating,Outlook,Date
Bulgaria,Fitch,B+,Positive,2000-09-01
Bulgaria,Fitch,BB-,Stable,2002-01-01
Bulgaria,Fitch,BB,Positive,2002-10-01
Bulgaria,Fitch,BB+,Positive,2003-07-01
Bulgaria,Fitch,BBB-,Stable,2004-08-01
Bulgaria,Fitch,BBB,Stable,2005-08-01
Bulgaria,Fitch,BBB,Negative,2008-01-01
Bulgaria,Fitch,BBB,Negative,2008-11-01
Bulgaria,Fitch,BBB-,Negative,2009-04-01
Bulgaria,Fitch,BBB-,Positive,2011-05-01
Bulgaria,Fitch,BBB-,Stable,2011-12-01
Bulgaria,Fitch,BBB-,Stable,2012-01-01
Bulgaria,Fitch,BBB-,Stable,2012-02-01
Bulgaria,Fitch,BBB-,Stable,2012-05-01
Bulgaria,Fitch,BBB-,Stable,2012-07-01
Bulgaria,Fitch,BBB-,Stable,2013-03-01
Bulgaria,Fitch,BBB-,Stable,2013-07-01
Bulgaria,Fitch,BBB-,Stable,2014-01-01
Bulgaria,Fitch,BBB-,Stable,2014-02-01
Bulgaria,Fitch,BBB-,Stable,2014-03-01
Bulgaria,Fitch,BBB-,Stable,2014-06-01
Bulgaria,Fitch,BBB-,Stable,2014-07-01
Bulgaria,Fitch,BBB-,Stable,2015-12-01
Bulgaria,Fitch,BBB-,Stable,2016-06-01
Bulgaria,Fitch,BBB-,Stable,2016-07-01
Bulgaria,Fitch,BBB-,Stable,2016-12-01
Bulgaria,Fitch,BBB-,Positive,2017-06-01
Bulgaria,Fitch,BBB,Stable,2017-12-01
Bulgaria,Fitch,BBB,Stable,2018-06-01
Bulgaria,Fitch,BBB,Positive,2019-03-01
Bulgaria,Fitch,BBB,Positive,2019-08-01
Bulgaria,Fitch,BBB,Positive,2020-02-01
Bulgaria,Fitch,BBB,Stable,2020-04-01
Bulgaria,Fitch,BBB,Stable,2020-08-01
Bulgaria,Fitch,BBB,Positive,2021-02-01
Bulgaria,Fitch,BBB,Positive,2021-07-01
Bulgaria,Fitch,BBB,Positive,2022-01-01
Bulgaria,Fitch,BBB,Positive,2022-06-01
Bulgaria,Fitch,BBB,Positive,2023-03-01
Bulgaria,Fitch,BBB,Positive,2023-05-01
Bulgaria,Fitch,BBB,Positive,2023-10-01
Bulgaria,Fitch,BBB,Positive,2024-04-01
Bulgaria,Fitch,BBB,Positive,2024-10-01
Bulgaria,Fitch,BBB,Positive,2025-04-01
Bulgaria,Fitch,BBB+,Stable,2025-07-01
Bulgaria,Fitch,BBB+,Stable,2026-03-01
Bulgaria,Moody's,B3,Stable,1996-09-01
Bulgaria,Moody's,B2,Stable,1997-12-01
Bulgaria,Moody's,B2,Stable,2000-07-01
Bulgaria,Moody's,B1,Stable,2001-12-01
Bulgaria,Moody's,B1,Positive,2002-12-01
Bulgaria,Moody's,Ba2,Stable,2003-06-01
Bulgaria,Moody's,Ba2,Positive watch,2004-08-01
Bulgaria,Moody's,Ba1,Positive,2004-11-01
Bulgaria,Moody's,Ba1,Under Review,2005-12-01
Bulgaria,Moody's,Baa3,Stable,2006-03-01
Bulgaria,Moody's,Baa3,Positive,2007-02-01
Bulgaria,Moody's,Baa3,Stable,2008-09-01
Bulgaria,Moody's,Baa3,Positive,2010-01-01
Bulgaria,Moody's,Baa3,Positive watch,2011-04-01
Bulgaria,Moody's,Baa2,Stable,2011-07-01
Bulgaria,Moody's,Baa2,Stable,2015-06-01
Bulgaria,Moody's,Baa2,Stable,2017-05-01
Bulgaria,Moody's,Baa2,Positive,2019-08-01
Bulgaria,Moody's,Baa1,Stable,2020-10-01
Bulgaria,Moody's,Baa1,Stable,2023-02-01
Bulgaria,Moody's,Baa1,Stable,2025-01-01
Bulgaria,S&P,B,Positive,1998-11-01
Bulgaria,S&P,B+,Positive,2000-05-01
Bulgaria,S&P,BB-,Stable,2001-11-01
Bulgaria,S&P,BB,Positive,2002-10-01
Bulgaria,S&P,BB+,Stable,2003-05-01
Bulgaria,S&P,BBB-,Stable,2004-06-01
Bulgaria,S&P,BBB-,Positive,2005-02-01
Bulgaria,S&P,BBB,Positive,2005-10-01
Bulgaria,S&P,BBB,Positive,2005-11-01
Bulgaria,S&P,BBB+,Stable,2006-10-01
Bulgaria,S&P,BBB+,Negative watch,2008-10-01
Bulgaria,S&P,BBB,Negative,2008-10-01
Bulgaria,S&P,BBB,Stable,2009-12-01
Bulgaria,S&P,BBB,Stable,2012-08-01
Bulgaria,S&P,BBB,Negative,2013-12-01
Bulgaria,S&P,BBB-,Stable,2014-06-01
Bulgaria,S&P,BB+,Stable,2014-12-01
Bulgaria,S&P,BB+,Positive,2017-06-01
Bulgaria,S&P,BBB-,Stable,2017-12-01
Bulgaria,S&P,BBB-,Positive,2018-06-01
Bulgaria,S&P,NR,NR,2019-03-01
Bulgaria,S&P,BBB,Positive,2019-11-01
Bulgaria,S&P,BBB,Stable,2020-05-01
Bulgaria,S&P,BBB,Positive,2023-11-01
