Country,Agency,Rating,Outlook,Date
Cameroon,Fitch,B,Stable,2003-09-01
Cameroon,Fitch,B,Negative,2004-07-01
Cameroon,Fitch,B-,Stable,2005-02-01
Cameroon,Fitch,B-,Positive,2005-11-01
Cameroon,Fitch,B-,Positive,2005-12-01
Cameroon,Fitch,B,Stable,2006-06-01
Cameroon,Fitch,B,Stable,2007-03-01
Cameroon,Fitch,B,Stable,2011-06-01
Cameroon,Fitch,B,Stable,2012-05-01
Cameroon,Fitch,B,Stable,2013-05-01
Cameroon,Fitch,B,Stable,2013-12-01
Cameroon,Fitch,B,Stable,2014-06-01
Cameroon,Fitch,B,Stable,2015-11-01
Cameroon,Fitch,B,Stable,2016-05-01
Cameroon,Fitch,B,Stable,2016-07-01
Cameroon,Fitch,B,Stable,2016-11-01
Cameroon,Fitch,B,Stable,2017-05-01
Cameroon,Fitch,B,Stable,2017-11-01
Cameroon,Fitch,B,Stable,2018-05-01
Cameroon,Fitch,B,Stable,2019-06-01
Cameroon,Fitch,B,Stable,2019-11-01
Cameroon,Fitch,B,Negative,2020-04-01
Cameroon,Fitch,B,Stable,2021-04-01
Cameroon,Fitch,B,Stable,2021-12-01
Cameroon,Fitch,B,Stable,2022-06-01
Cameroon,Fitch,B,Stable,2023-05-01
Cameroon,Fitch,B,Negative,2023-11-01
Cameroon,Fitch,B,Negative,2024-05-01
Cameroon,Fitch,B,Negative,2024-11-01
Cameroon,Fitch,B,Negative,2025-05-01
Cameroon,Fitch,B,Negative,2025-11-01
Cameroon,Fitch,B,Negative,2026-04-01
Cameroon,Moody's,B2,Stable,2016-08-01
Cameroon,Moody's,B2,Negative,2018-06-01
Cameroon,Moody's,B2,Stable,2019-06-01
Cameroon,Moody's,B2,Under Review,2020-05-01
Cameroon,Moody's,B2,Stable,2020-08-01
Cameroon,Moody's,Caa1,Stable,2023-07-01
Cameroon,Moody's,Caa1,Stable,2025-08-01
Cameroon,S&P,B,Stable,2003-11-01
Cameroon,S&P,CCC,Stable,2004-12-01
Cameroon,S&P,CCC,Stable,2005-11-01
Cameroon,S&P,B-,Stable,2006-05-01
Cameroon,S&P,B,Stable,2007-02-01
Cameroon,S&P,B,Negative,2019-04-01
Cameroon,S&P,B-,Stable,2020-04-01
Cameroon,S&P,B-,Stable,2020-04-01
Cameroon,S&P,CCC+,Stable,2023-08-01
Cameroon,S&P,B-,NR,2026-01-01
