Country,Agency,Rating,Outlook,Date
Canada,Fitch,AA,Stable,2000-09-01
Canada,Fitch,AA+,Stable,2001-04-01
Canada,Fitch,AAA,Stable,2004-08-01
Canada,Fitch,AAA,Stable,2011-09-01
Canada,Fitch,AAA,Stable,2012-02-01
Canada,Fitch,AAA,Stable,2013-01-01
Canada,Fitch,AAA,Stable,2013-07-01
Canada,Fitch,AAA,Stable,2013-08-01
Canada,Fitch,AAA,Stable,2013-10-01
Canada,Fitch,AAA,Stable,2013-11-01
Canada,Fitch,AAA,Stable,2013-12-01
Canada,Fitch,AAA,Stable,2014-01-01
Canada,Fitch,AAA,Stable,2014-02-01
Canada,Fitch,AAA,Stable,2014-05-01
Canada,Fitch,AAA,Stable,2014-06-01
Canada,Fitch,AAA,Stable,2014-08-01
Canada,Fitch,AAA,Stable,2014-09-01
Canada,Fitch,AAA,Stable,2015-08-01
Canada,Fitch,AAA,Stable,2016-07-01
Canada,Fitch,AAA,Stable,2016-08-01
Canada,Fitch,AAA,Stable,2017-07-01
Canada,Fitch,AAA,Stable,2018-07-01
Canada,Fitch,AAA,Stable,2019-07-01
Canada,Fitch,AA+,Stable,2020-06-01
Canada,Fitch,AA+,Stable,2021-06-01
Canada,Fitch,AA+,Stable,2022-06-01
Canada,Fitch,AA+,Stable,2023-06-01
Canada,Fitch,AA+,Stable,2023-12-01
Canada,Fitch,AA+,Stable,2024-07-01
Canada,Fitch,AA+,Stable,2025-07-01
Canada,Moody's,Aaa,Stable,2003-08-01
Canada,Moody's,Aaa,Stable,2016-11-01
Canada,Moody's,Aaa,Stable,2020-11-01
Canada,Moody's,Aaa,Stable,2022-11-01
Canada,Moody's,Aaa,Stable,2024-05-01
Canada,Moody's,Aaa,Stable,2024-10-01
Canada,Moody's,Aaa,Stable,2025-10-01
Canada,S&P,AAA,Stable,1989-06-01
Canada,S&P,AA+,Stable,1992-10-01
Canada,S&P,AA+,Negative,1995-03-01
Canada,S&P,AA+,Stable,1997-02-01
Canada,S&P,AAA,Stable,2002-07-01
Canada,S&P,AAA,Stable,2005-11-01
Canada,S&P,NR,NR,2019-02-01
Canada,S&P,AAA,Developing,2019-04-01
Canada,S&P,NR,NR,2019-07-01
Canada,S&P,NR,NR,2019-08-01
Canada,S&P,NR,NR,2019-09-01
Canada,S&P,NR,NR,2019-12-01
Canada,S&P,NR,NR,2020-01-01
Canada,S&P,AAA,Developing,2020-01-01
Canada,S&P,NR,NR,2020-01-01
Canada,S&P,AAA,NR,2025-03-01
