Country,Agency,Rating,Outlook,Date
Chile,Fitch,A-,Stable,2000-09-01
Chile,Fitch,A-,Stable,2003-02-01
Chile,Fitch,A-,Positive,2004-02-01
Chile,Fitch,A,Stable,2005-03-01
Chile,Fitch,A,Positive,2007-05-01
Chile,Fitch,A,Stable,2008-11-01
Chile,Fitch,A+,Stable,2011-02-01
Chile,Fitch,A+,Stable,2011-09-01
Chile,Fitch,A+,Stable,2012-01-01
Chile,Fitch,A+,Stable,2013-01-01
Chile,Fitch,A+,Stable,2013-10-01
Chile,Fitch,A+,Stable,2014-10-01
Chile,Fitch,A+,Stable,2015-11-01
Chile,Fitch,A+,Stable,2016-05-01
Chile,Fitch,A+,Stable,2016-07-01
Chile,Fitch,A+,Negative,2016-12-01
Chile,Fitch,A,Stable,2017-08-01
Chile,Fitch,A,Stable,2018-08-01
Chile,Fitch,A,Stable,2019-02-01
Chile,Fitch,A,Stable,2019-08-01
Chile,Fitch,A,Negative,2020-03-01
Chile,Fitch,A-,Stable,2020-10-01
Chile,Fitch,A-,Stable,2021-10-01
Chile,Fitch,A-,Stable,2022-05-01
Chile,Fitch,A-,Stable,2023-07-01
Chile,Fitch,A-,Stable,2023-12-01
Chile,Fitch,A-,Stable,2024-07-01
Chile,Fitch,A-,Stable,2025-01-01
Chile,Fitch,A-,Stable,2025-09-01
Chile,Moody's,Baa1,Stable,2003-11-01
Chile,Moody's,Baa1,Positive,2005-02-01
Chile,Moody's,Baa1,Under Review,2006-03-01
Chile,Moody's,A2,Stable,2006-07-01
Chile,Moody's,A2,Under Review,2008-11-01
Chile,Moody's,A1,Positive,2009-03-01
Chile,Moody's,Aa3,Stable,2010-06-01
Chile,Moody's,Aa3,Stable,2013-10-01
Chile,Moody's,Aa3,Stable,2016-07-01
Chile,Moody's,Aa3,Negative,2017-08-01
Chile,Moody's,A1,Stable,2018-07-01
Chile,Moody's,A1,Negative,2020-08-01
Chile,Moody's,A2,Stable,2022-09-01
Chile,Moody's,A2,Stable,2024-06-01
Chile,S&P,BBB,Stable,1992-08-01
Chile,S&P,BBB,Stable,1992-11-01
Chile,S&P,BBB+,Stable,1993-12-01
Chile,S&P,A-,Stable,1995-07-01
Chile,S&P,A-,Positive,2002-04-01
Chile,S&P,A,Stable,2004-01-01
Chile,S&P,A,Stable,2005-11-01
Chile,S&P,A,Stable,2005-11-01
Chile,S&P,A,Positive,2006-12-01
Chile,S&P,A+,Stable,2007-12-01
Chile,S&P,A+,Positive,2010-12-01
Chile,S&P,AA-,Stable,2012-12-01
Chile,S&P,AA-,Stable,2015-08-01
Chile,S&P,AA-,Negative,2017-01-01
Chile,S&P,A+,Stable,2017-07-01
Chile,S&P,A+,Developing,2019-08-01
Chile,S&P,A+,Developing,2020-01-01
Chile,S&P,A+,Developing,2020-01-01
Chile,S&P,A+,Negative,2020-04-01
Chile,S&P,A+,Stable,2024-10-01
Chile,S&P,NR,NR,2025-03-01
Chile,S&P,A,NR,2025-06-01
Chile,S&P,A,NR,2026-01-01
Chile,S&P,A,NR,2026-01-01
