Country,Agency,Rating,Outlook,Date
China,Fitch,A-,Stable,2000-09-01
China,Fitch,A-,Stable,2001-12-01
China,Fitch,A-,Positive,2003-10-01
China,Fitch,A,Stable,2005-10-01
China,Fitch,A,Positive,2006-09-01
China,Fitch,A+,Stable,2007-11-01
China,Fitch,A+,Stable,2011-04-01
China,Fitch,A+,Stable,2011-08-01
China,Fitch,A+,Stable,2011-10-01
China,Fitch,A+,Stable,2012-04-01
China,Fitch,A+,Stable,2012-07-01
China,Fitch,A+,Stable,2012-08-01
China,Fitch,A+,Stable,2013-04-01
China,Fitch,A+,Stable,2013-06-01
China,Fitch,A+,Stable,2013-10-01
China,Fitch,A+,Stable,2014-01-01
China,Fitch,A+,Stable,2014-02-01
China,Fitch,A+,Stable,2014-03-01
China,Fitch,A+,Stable,2014-04-01
China,Fitch,A+,Stable,2014-05-01
China,Fitch,A+,Stable,2014-08-01
China,Fitch,A+,Stable,2014-09-01
China,Fitch,A+,Stable,2015-11-01
China,Fitch,A+,Stable,2016-07-01
China,Fitch,A+,Stable,2016-11-01
China,Fitch,A+,Stable,2017-07-01
China,Fitch,A+,Stable,2018-03-01
China,Fitch,A+,Stable,2018-12-01
China,Fitch,A+,Stable,2019-11-01
China,Fitch,A+,Stable,2020-07-01
China,Fitch,A+,Stable,2020-07-01
China,Fitch,A+,Stable,2020-10-01
China,Fitch,A+,Stable,2021-06-01
China,Fitch,A+,Stable,2022-06-01
China,Fitch,A+,Stable,2023-09-01
China,Fitch,A+,Negative,2024-04-01
China,Fitch,A,Stable,2025-04-01
China,Fitch,A,Stable,2026-06-01
China,Moody's,A3,Negative,1998-02-01
China,Moody's,A3,Stable,2001-08-01
China,Moody's,A2,Stable,2003-11-01
China,Moody's,A2,Positive,2006-07-01
China,Moody's,A2,Under Review,2007-05-01
China,Moody's,A1,Stable,2007-07-01
China,Moody's,A1,Positive,2009-11-01
China,Moody's,A1,Under Review,2010-10-01
China,Moody's,Aa3,Positive,2010-11-01
China,Moody's,Aa3,Stable,2013-04-01
China,Moody's,Aa3,Negative,2016-03-01
China,Moody's,A1,Stable,2017-05-01
China,Moody's,A1,Stable,2019-07-01
China,Moody's,A1,Stable,2020-09-01
China,Moody's,A1,Stable,2020-10-01
China,Moody's,A1,Stable,2022-08-01
China,Moody's,A1,Negative,2023-12-01
China,Moody's,A1,Negative,2025-05-01
China,Moody's,A1,Stable,2026-04-01
China,S&P,BBB,Stable,1992-02-01
China,S&P,BBB,Positive,1993-07-01
China,S&P,BBB+,Stable,1997-05-01
China,S&P,BBB+,Negative,1998-07-01
China,S&P,BBB,Stable,1999-07-01
China,S&P,BBB,Positive,2003-04-01
China,S&P,BBB+,Positive,2004-02-01
China,S&P,A-,Positive,2005-07-01
China,S&P,A-,Positive,2005-11-01
China,S&P,A-,Positive,2005-11-01
China,S&P,A,Stable,2006-07-01
China,S&P,A,Positive,2007-07-01
China,S&P,A+,Stable,2008-07-01
China,S&P,AA-,Stable,2010-12-01
China,S&P,AA-,Negative,2016-03-01
China,S&P,A+,Stable,2017-09-01
China,S&P,A+,Developing,2019-11-01
China,S&P,A+,NR,2025-11-01
