Country,Agency,Rating,Outlook,Date
Colombia,Fitch,BB+,Stable,2000-09-01
Colombia,Fitch,BB+,Negative,2000-10-01
Colombia,Fitch,BB,Stable,2002-01-01
Colombia,Fitch,BB,Negative,2002-08-01
Colombia,Fitch,BB,Stable,2004-05-01
Colombia,Fitch,BB,Positive,2006-06-01
Colombia,Fitch,BB+,Stable,2007-06-01
Colombia,Fitch,BB+,Positive,2010-10-01
Colombia,Fitch,BBB-,Stable,2011-06-01
Colombia,Fitch,BBB-,Stable,2011-07-01
Colombia,Fitch,BBB-,Stable,2012-06-01
Colombia,Fitch,BBB,Stable,2013-12-01
Colombia,Fitch,BBB,Stable,2014-01-01
Colombia,Fitch,BBB,Stable,2014-08-01
Colombia,Fitch,BBB,Stable,2014-11-01
Colombia,Fitch,BBB,Stable,2015-12-01
Colombia,Fitch,BBB,Negative,2016-07-01
Colombia,Fitch,BBB,Stable,2017-03-01
Colombia,Fitch,BBB,Stable,2017-10-01
Colombia,Fitch,BBB,Stable,2017-10-01
Colombia,Fitch,BBB,Stable,2018-05-01
Colombia,Fitch,BBB,Negative,2019-05-01
Colombia,Fitch,BBB,Negative,2019-11-01
Colombia,Fitch,BBB-,Negative,2020-03-01
Colombia,Fitch,BBB-,Negative,2020-03-01
Colombia,Fitch,BBB-,Negative,2020-11-01
Colombia,Fitch,BB+,Stable,2021-07-01
Colombia,Fitch,BB+,Stable,2021-12-01
Colombia,Fitch,BB+,Stable,2022-06-01
Colombia,Fitch,BB+,Stable,2022-12-01
Colombia,Fitch,BB+,Stable,2023-06-01
Colombia,Fitch,BB+,Stable,2023-12-01
Colombia,Fitch,BB+,Stable,2024-07-01
Colombia,Fitch,BB+,Stable,2024-11-01
Colombia,Fitch,BB+,Negative,2025-03-01
Colombia,Fitch,BB,Stable,2025-12-01
Colombia,Moody's,Baa3,Negative,1998-12-01
Colombia,Moody's,Ba2,Negative,2002-03-01
Colombia,Moody's,Ba2,Under Review,2006-03-01
Colombia,Moody's,Ba2,Stable,2006-06-01
Colombia,Moody's,Ba2,Positive,2007-06-01
Colombia,Moody's,Ba1,Stable,2008-06-01
Colombia,Moody's,Ba1,Positive,2010-09-01
Colombia,Moody's,Baa3,Stable,2011-05-01
Colombia,Moody's,Baa3,Positive,2013-07-01
Colombia,Moody's,Baa2,Stable,2014-07-01
Colombia,Moody's,Baa2,Stable,2016-05-01
Colombia,Moody's,Baa2,Negative,2018-02-01
Colombia,Moody's,Baa2,Stable,2019-05-01
Colombia,Moody's,Baa2,Negative,2020-12-01
Colombia,Moody's,Baa2,Stable,2021-10-01
Colombia,Moody's,Baa2,Stable,2023-06-01
Colombia,Moody's,Baa2,Negative,2024-06-01
Colombia,Moody's,Baa3,Stable,2025-06-01
Colombia,S&P,BBB-,Stable,1993-06-01
Colombia,S&P,BBB-,Positive,1994-09-01
Colombia,S&P,BBB-,Positive,1995-08-01
Colombia,S&P,BBB-,Stable,1997-10-01
Colombia,S&P,BBB-,Stable,1998-05-01
Colombia,S&P,BBB-,Negative,1999-06-01
Colombia,S&P,BB+,Stable,1999-09-01
Colombia,S&P,BB+,Negative,2000-04-01
Colombia,S&P,BB,Negative,2000-05-01
Colombia,S&P,BB,Stable,2003-07-01
Colombia,S&P,BB,Stable,2005-11-01
Colombia,S&P,BB,Stable,2005-11-01
Colombia,S&P,BB,Positive,2006-02-01
Colombia,S&P,BB+,Stable,2007-03-01
Colombia,S&P,BB+,Positive,2010-07-01
Colombia,S&P,BBB-,Stable,2011-03-01
Colombia,S&P,BBB-,Positive,2012-08-01
Colombia,S&P,BBB,Stable,2013-04-01
Colombia,S&P,BBB,Negative,2016-02-01
Colombia,S&P,BBB-,Stable,2017-12-01
Colombia,S&P,NR,NR,2019-03-01
Colombia,S&P,BBB-,Developing,2020-01-01
Colombia,S&P,BBB-,Developing,2020-01-01
Colombia,S&P,NR,NR,2020-02-01
Colombia,S&P,NR,NR,2020-02-01
Colombia,S&P,BBB-,Negative,2020-03-01
Colombia,S&P,BBB-,Negative,2020-03-01
Colombia,S&P,BB+,Negative,2024-01-01
Colombia,S&P,BB+,NR,2025-04-01
Colombia,S&P,BB,NR,2025-06-01
Colombia,S&P,BB,NR,2025-12-01
Colombia,S&P,BB,NR,2026-01-01
Colombia,S&P,BB,NR,2026-02-01
