Country,Agency,Rating,Outlook,Date
Costa Rica,Fitch,B+,Negative,2019-10-01
Costa Rica,Fitch,B+,Negative,2019-11-01
Costa Rica,Fitch,B,Negative,2020-05-01
Costa Rica,Fitch,B,Negative,2021-03-01
Costa Rica,Fitch,BB-,Stable,2023-03-01
Costa Rica,Fitch,BB,Stable,2024-02-01
Costa Rica,Fitch,BB,Positive,2025-02-01
Costa Rica,Fitch,BB,Positive,2025-11-01
Costa Rica,Fitch,BB,Positive,2025-12-01
Costa Rica,Moody's,Ba1,Positive,2000-03-01
Costa Rica,Moody's,Ba1,Negative,2003-04-01
Costa Rica,Moody's,Ba1,Stable,2006-06-01
Costa Rica,Moody's,Ba1,Positive,2008-08-01
Costa Rica,Moody's,Baa3,Stable,2010-09-01
Costa Rica,Moody's,Baa3,Negative,2013-09-01
Costa Rica,Moody's,Ba1,Stable,2014-09-01
Costa Rica,Moody's,Ba1,Negative,2016-02-01
Costa Rica,Moody's,Ba2,Negative,2017-02-01
Costa Rica,Moody's,B1,Negative,2018-12-01
Costa Rica,Moody's,B2,Stable,2020-02-01
Costa Rica,Moody's,B2,Stable,2020-02-01
Costa Rica,Moody's,B2,Negative,2020-06-01
Costa Rica,Moody's,B2,Stable,2021-12-01
Costa Rica,Moody's,B1,Positive,2023-11-01
Costa Rica,Moody's,Ba3,Positive,2024-09-01
Costa Rica,S&P,BB,Stable,1997-07-01
Costa Rica,S&P,BB,Positive,2000-07-01
Costa Rica,S&P,BB,Stable,2002-01-01
Costa Rica,S&P,BB,Negative,2003-04-01
Costa Rica,S&P,BB,Stable,2005-06-01
Costa Rica,S&P,BB,Stable,2005-11-01
Costa Rica,S&P,BB,Stable,2005-11-01
Costa Rica,S&P,BB,Positive,2008-07-01
Costa Rica,S&P,BB,Stable,2008-10-01
Costa Rica,S&P,BB,Stable,2012-02-01
Costa Rica,S&P,BB-,Negative,2016-02-01
Costa Rica,S&P,B+,Developing,2019-11-01
Costa Rica,S&P,B,Negative,2020-06-01
Costa Rica,S&P,B,Stable,2022-03-01
Costa Rica,S&P,B+,Stable,2023-02-01
Costa Rica,S&P,BB-,Stable,2023-10-01
Costa Rica,S&P,BB,Stable,2025-10-01
