Country,Agency,Rating,Outlook,Date
Croatia,Fitch,BB+,Positive,2000-09-01
Croatia,Fitch,BBB-,Stable,2001-06-01
Croatia,Fitch,BBB-,Positive,2003-07-01
Croatia,Fitch,BBB-,Stable,2005-07-01
Croatia,Fitch,BBB-,Negative,2009-05-01
Croatia,Fitch,BBB-,Negative,2011-07-01
Croatia,Fitch,BBB-,Negative,2011-11-01
Croatia,Fitch,BBB-,Negative,2011-12-01
Croatia,Fitch,BBB-,Negative,2012-01-01
Croatia,Fitch,BBB-,Negative,2012-02-01
Croatia,Fitch,BBB-,Negative,2012-03-01
Croatia,Fitch,BBB-,Negative,2012-04-01
Croatia,Fitch,BBB-,Negative,2012-05-01
Croatia,Fitch,BBB-,Negative,2012-07-01
Croatia,Fitch,BBB-,Negative,2012-08-01
Croatia,Fitch,BBB-,Negative,2012-11-01
Croatia,Fitch,BBB-,Negative,2013-03-01
Croatia,Fitch,BBB-,Negative,2013-05-01
Croatia,Fitch,BBB-,Negative,2013-06-01
Croatia,Fitch,BBB-,Negative,2013-07-01
Croatia,Fitch,BB+,Stable,2013-09-01
Croatia,Fitch,BB+,Stable,2013-10-01
Croatia,Fitch,BB+,Stable,2013-11-01
Croatia,Fitch,BB+,Stable,2013-12-01
Croatia,Fitch,BB+,Stable,2014-01-01
Croatia,Fitch,BB+,Negative,2014-02-01
Croatia,Fitch,BB+,Negative,2014-03-01
Croatia,Fitch,BB+,Negative,2014-04-01
Croatia,Fitch,BB+,Negative,2014-05-01
Croatia,Fitch,BB+,Negative,2014-06-01
Croatia,Fitch,BB+,Negative,2014-07-01
Croatia,Fitch,BB,Stable,2014-08-01
Croatia,Fitch,BB,Stable,2014-09-01
Croatia,Fitch,BB,Negative,2016-01-01
Croatia,Fitch,BB,Negative,2016-07-01
Croatia,Fitch,BB,Stable,2017-01-01
Croatia,Fitch,BB,Stable,2017-07-01
Croatia,Fitch,BB+,Stable,2018-01-01
Croatia,Fitch,BB+,Positive,2018-07-01
Croatia,Fitch,BB+,Positive,2018-12-01
Croatia,Fitch,BBB-,Positive,2019-06-01
Croatia,Fitch,BBB-,Positive,2019-12-01
Croatia,Fitch,BBB-,Stable,2020-04-01
Croatia,Fitch,BBB-,Stable,2020-04-01
Croatia,Fitch,BBB-,Stable,2020-06-01
Croatia,Fitch,BBB-,Stable,2020-12-01
Croatia,Fitch,BBB-,Stable,2021-05-01
Croatia,Fitch,BBB,Positive,2021-11-01
Croatia,Fitch,BBB,Positive,2022-05-01
Croatia,Fitch,BBB+,Stable,2022-07-01
Croatia,Fitch,BBB+,Stable,2022-10-01
Croatia,Fitch,BBB+,Stable,2023-04-01
Croatia,Fitch,BBB+,Positive,2023-10-01
Croatia,Fitch,BBB+,Positive,2024-04-01
Croatia,Fitch,A-,Stable,2024-09-01
Croatia,Fitch,A-,Stable,2025-03-01
Croatia,Fitch,A-,Stable,2026-03-01
Croatia,Moody's,Baa3,Stable,1997-01-01
Croatia,Moody's,Baa3,Stable,2003-11-01
Croatia,Moody's,Baa3,Positive,2007-07-01
Croatia,Moody's,Baa3,Stable,2008-11-01
Croatia,Moody's,Baa3,Negative,2012-05-01
Croatia,Moody's,Ba1,Stable,2013-02-01
Croatia,Moody's,Ba1,Negative,2014-03-01
Croatia,Moody's,Ba2,Negative,2016-03-01
Croatia,Moody's,Ba2,Stable,2017-03-01
Croatia,Moody's,Ba2,Positive,2019-04-01
Croatia,Moody's,Ba1,Stable,2020-11-01
Croatia,Moody's,Ba1,Under Review,2022-06-01
Croatia,Moody's,Baa2,Stable,2022-07-01
Croatia,Moody's,Baa2,Positive,2023-11-01
Croatia,Moody's,A3,Stable,2024-11-01
Croatia,S&P,BBB-,Stable,1997-01-01
Croatia,S&P,BBB-,Stable,1998-06-01
Croatia,S&P,BBB-,Negative,1999-06-01
Croatia,S&P,BBB-,Stable,2001-02-01
Croatia,S&P,BBB-,Positive,2004-06-01
Croatia,S&P,BBB,Stable,2004-12-01
Croatia,S&P,BBB,Stable,2005-11-01
Croatia,S&P,BBB,Stable,2006-04-01
Croatia,S&P,BBB,Negative,2008-10-01
Croatia,S&P,BBB,Negative,2009-03-01
Croatia,S&P,BBB-,Negative,2010-12-01
Croatia,S&P,BB+,Stable,2012-12-01
Croatia,S&P,BB+,Negative,2013-08-01
Croatia,S&P,BB,Stable,2014-01-01
Croatia,S&P,BB,Negative,2015-07-01
Croatia,S&P,BB,Stable,2016-12-01
Croatia,S&P,BB,Positive,2017-09-01
Croatia,S&P,BB+,Stable,2018-03-01
Croatia,S&P,BB+,Positive,2018-09-01
Croatia,S&P,BBB-,Stable,2019-03-01
Croatia,S&P,BBB-,Developing,2019-06-01
Croatia,S&P,NR,NR,2019-11-01
Croatia,S&P,BBB+,Positive,2023-09-01
Croatia,S&P,A-,NR,2026-02-01
Croatia,S&P,A,Stable,2026-03-01
