Country,Agency,Rating,Outlook,Date
Czechia,Fitch,BBB+,Stable,2000-09-01
Czechia,Fitch,BBB+,Stable,2001-03-01
Czechia,Fitch,A-,Stable,2003-06-01
Czechia,Fitch,A,Stable,2005-08-01
Czechia,Fitch,A+,Stable,2008-03-01
Czechia,Fitch,A+,Positive,2010-06-01
Czechia,Fitch,A+,Stable,2011-12-01
Czechia,Fitch,A+,Stable,2012-01-01
Czechia,Fitch,A+,Stable,2012-02-01
Czechia,Fitch,A+,Stable,2012-04-01
Czechia,Fitch,A+,Stable,2012-06-01
Czechia,Fitch,A+,Stable,2012-07-01
Czechia,Fitch,A+,Stable,2013-03-01
Czechia,Fitch,A+,Stable,2013-06-01
Czechia,Fitch,A+,Stable,2013-07-01
Czechia,Fitch,A+,Stable,2013-08-01
Czechia,Fitch,A+,Stable,2013-09-01
Czechia,Fitch,A+,Stable,2013-12-01
Czechia,Fitch,A+,Stable,2014-01-01
Czechia,Fitch,A+,Stable,2014-02-01
Czechia,Fitch,A+,Stable,2014-03-01
Czechia,Fitch,A+,Stable,2014-04-01
Czechia,Fitch,A+,Stable,2014-05-01
Czechia,Fitch,A+,Stable,2014-06-01
Czechia,Fitch,A+,Stable,2014-07-01
Czechia,Fitch,A+,Stable,2014-08-01
Czechia,Fitch,A+,Stable,2014-09-01
Czechia,Fitch,A+,Stable,2014-10-01
Czechia,Fitch,A+,Stable,2014-11-01
Czechia,Fitch,A+,Stable,2015-10-01
Czechia,Fitch,A+,Stable,2016-04-01
Czechia,Fitch,A+,Stable,2016-07-01
Czechia,Fitch,A+,Stable,2016-10-01
Czechia,Fitch,A+,Stable,2017-04-01
Czechia,Fitch,A+,Positive,2017-09-01
Czechia,Fitch,A+,Positive,2018-02-01
Czechia,Fitch,AA-,Stable,2018-08-01
Czechia,Fitch,AA-,Stable,2019-02-01
Czechia,Fitch,AA-,Stable,2019-07-01
Czechia,Fitch,AA-,Stable,2020-07-01
Czechia,Fitch,AA-,Stable,2021-01-01
Czechia,Fitch,AA-,Stable,2021-06-01
Czechia,Fitch,AA-,Stable,2021-12-01
Czechia,Fitch,AA-,Negative,2022-05-01
Czechia,Fitch,AA-,Negative,2022-10-01
Czechia,Fitch,AA-,Negative,2023-03-01
Czechia,Fitch,AA-,Negative,2023-03-01
Czechia,Fitch,AA-,Stable,2024-02-01
Czechia,Fitch,AA-,Stable,2024-08-01
Czechia,Fitch,AA-,Negative,2025-02-01
Czechia,Fitch,AA-,Stable,2025-08-01
Czechia,Fitch,AA-,Stable,2026-02-01
Czechia,Moody's,Baa2,Positive watch,1995-05-01
Czechia,Moody's,Baa1,Stable,1995-09-01
Czechia,Moody's,A1,Stable,2002-11-01
Czechia,Moody's,A1,Positive,2006-03-01
Czechia,Moody's,A1,Stable,2008-12-01
Czechia,Moody's,A1,Stable,2016-10-01
Czechia,Moody's,A1,Positive,2018-04-01
Czechia,Moody's,Aa3,Stable,2019-10-01
Czechia,Moody's,Aa3,Stable,2021-02-01
Czechia,Moody's,Aa3,Negative,2022-08-01
Czechia,Moody's,Aa3,Stable,2023-11-01
Czechia,Moody's,Aa3,Stable,2025-07-01
Czechia,S&P,BBB,Positive,1993-07-01
Czechia,S&P,BBB+,Positive,1994-07-01
Czechia,S&P,A,Stable,1995-11-01
Czechia,S&P,A,Stable,1998-06-01
Czechia,S&P,A-,Stable,1998-11-01
Czechia,S&P,A-,Stable,2002-11-01
Czechia,S&P,A-,Stable,2004-09-01
Czechia,S&P,A-,Stable,2005-11-01
Czechia,S&P,A-,Positive,2005-11-01
Czechia,S&P,A,Stable,2007-10-01
Czechia,S&P,A,Positive,2010-08-01
Czechia,S&P,AA-,Stable,2011-08-01
