Country,Agency,Rating,Outlook,Date
Denmark,Fitch,AA+,Positive,2000-09-01
Denmark,Fitch,AAA,Stable,2003-11-01
Denmark,Fitch,AAA,Stable,2011-08-01
Denmark,Fitch,AAA,Stable,2011-10-01
Denmark,Fitch,AAA,Stable,2011-12-01
Denmark,Fitch,AAA,Stable,2012-02-01
Denmark,Fitch,AAA,Stable,2012-04-01
Denmark,Fitch,AAA,Stable,2012-05-01
Denmark,Fitch,AAA,Stable,2013-02-01
Denmark,Fitch,AAA,Stable,2013-03-01
Denmark,Fitch,AAA,Stable,2013-05-01
Denmark,Fitch,AAA,Stable,2013-09-01
Denmark,Fitch,AAA,Stable,2014-02-01
Denmark,Fitch,AAA,Stable,2014-03-01
Denmark,Fitch,AAA,Stable,2014-05-01
Denmark,Fitch,AAA,Stable,2014-08-01
Denmark,Fitch,AAA,Stable,2018-01-01
Denmark,Fitch,AAA,Stable,2018-06-01
Denmark,Fitch,AAA,Stable,2019-03-01
Denmark,Fitch,AAA,Stable,2019-09-01
Denmark,Fitch,AAA,Stable,2020-03-01
Denmark,Fitch,AAA,Stable,2020-09-01
Denmark,Fitch,AAA,Stable,2021-02-01
Denmark,Fitch,AAA,Stable,2021-08-01
Denmark,Fitch,AAA,Stable,2022-08-01
Denmark,Fitch,AAA,Stable,2023-01-01
Denmark,Fitch,AAA,Stable,2023-05-01
Denmark,Fitch,AAA,Stable,2023-11-01
Denmark,Fitch,AAA,Stable,2024-05-01
Denmark,Fitch,AAA,Stable,2024-11-01
Denmark,Fitch,AAA,Stable,2025-10-01
Denmark,Fitch,AAA,Stable,2026-03-01
Denmark,Moody's,Aa1,Stable,1997-02-01
Denmark,Moody's,Aa1,Positive,1999-02-01
Denmark,Moody's,Aaa,Stable,1999-08-01
Denmark,Moody's,Aaa,Stable,2017-03-01
Denmark,Moody's,Aaa,Stable,2019-11-01
Denmark,Moody's,Aaa,Stable,2022-02-01
Denmark,Moody's,AAA,Stable,2022-02-01
Denmark,Moody's,Aaa,Stable,2024-02-01
Denmark,Moody's,Aaa,Stable,2026-01-01
Denmark,S&P,AA,Stable,1989-06-01
Denmark,S&P,AA,Positive,1990-05-01
Denmark,S&P,AA+,Stable,1991-10-01
Denmark,S&P,AA+,Stable,1992-07-01
Denmark,S&P,AA+,Positive,1998-05-01
Denmark,S&P,AAA,Stable,2001-02-01
Denmark,S&P,AAA,Stable,2005-11-01
