Country,Agency,Rating,Outlook,Date
Dominican Republic,Fitch,B+,Stable,2003-08-01
Dominican Republic,Fitch,B,Negative,2003-10-01
Dominican Republic,Fitch,B+,Negative,2003-10-01
Dominican Republic,Fitch,CCC+,Negative,2004-01-01
Dominican Republic,Fitch,C,Negative,2005-04-01
Dominican Republic,Fitch,B-,Stable,2005-07-01
Dominican Republic,Fitch,B,Stable,2006-05-01
Dominican Republic,Fitch,B,Positive,2006-09-01
Dominican Republic,Fitch,B,Stable,2008-09-01
Dominican Republic,Fitch,B,Positive,2011-01-01
Dominican Republic,Fitch,B,Stable,2013-04-01
Dominican Republic,Fitch,B,Stable,2013-10-01
Dominican Republic,Fitch,B,Stable,2013-11-01
Dominican Republic,Fitch,B,Stable,2014-04-01
Dominican Republic,Fitch,B,Stable,2014-07-01
Dominican Republic,Fitch,B+,Stable,2014-11-01
Dominican Republic,Fitch,B+,Positive,2015-12-01
Dominican Republic,Fitch,B+,Positive,2016-07-01
Dominican Republic,Fitch,BB-,Stable,2016-11-01
Dominican Republic,Fitch,BB-,Stable,2016-11-01
Dominican Republic,Fitch,BB-,Stable,2017-11-01
Dominican Republic,Fitch,BB-,Stable,2018-09-01
Dominican Republic,Fitch,BB-,Stable,2019-05-01
Dominican Republic,Fitch,BB-,Stable,2019-06-01
Dominican Republic,Fitch,BB-,Negative,2020-05-01
Dominican Republic,Fitch,BB-,Positive,2023-11-01
Dominican Republic,Fitch,BB-,Positive,2024-11-01
Dominican Republic,Fitch,BB-,Positive,2025-11-01
Dominican Republic,Moody's,B1,Negative,2003-11-01
Dominican Republic,Moody's,B3,Stable,2005-05-01
Dominican Republic,Moody's,B3,Under Review,2006-10-01
Dominican Republic,Moody's,B2,Stable,2007-05-01
Dominican Republic,Moody's,B1,Stable,2014-10-01
Dominican Republic,Moody's,B1,Positive,2016-06-01
Dominican Republic,Moody's,Ba3,Stable,2017-07-01
Dominican Republic,Moody's,Ba3,Stable,2019-02-01
Dominican Republic,Moody's,BB-,Negative,2021-03-01
Dominican Republic,Moody's,Ba3,Positive,2023-08-01
Dominican Republic,Moody's,Ba2,Stable,2025-08-01
Dominican Republic,S&P,B+,Positive,1997-02-01
Dominican Republic,S&P,B+,Stable,1997-11-01
Dominican Republic,S&P,B+,Negative watch,1998-10-01
Dominican Republic,S&P,B+,Stable,1999-04-01
Dominican Republic,S&P,B+,Positive,2001-06-01
Dominican Republic,S&P,BB-,Stable,2001-09-01
Dominican Republic,S&P,BB-,Negative watch,2003-05-01
Dominican Republic,S&P,B+,Negative,2003-06-01
Dominican Republic,S&P,B-,Negative,2003-10-01
Dominican Republic,S&P,CCC,Negative,2003-12-01
Dominican Republic,S&P,CC,Negative,2004-02-01
Dominican Republic,S&P,B,Stable,2005-06-01
Dominican Republic,S&P,B,Stable,2005-11-01
Dominican Republic,S&P,B,Stable,2006-04-01
Dominican Republic,S&P,B,Positive,2006-08-01
Dominican Republic,S&P,B+,Stable,2007-09-01
Dominican Republic,S&P,B+,Negative watch,2008-02-01
Dominican Republic,S&P,B+,Negative,2008-07-01
Dominican Republic,S&P,B,Stable,2008-12-01
Dominican Republic,S&P,B,Positive,2010-05-01
Dominican Republic,S&P,B+,Stable,2011-06-01
Dominican Republic,S&P,BB-,Stable,2015-05-01
Dominican Republic,S&P,BB-,Developing,2019-05-01
Dominican Republic,S&P,BB-,Developing,2020-01-01
Dominican Republic,S&P,BB-,Developing,2020-01-01
Dominican Republic,S&P,BB-,Negative,2020-04-01
Dominican Republic,S&P,BB,NR,2025-10-01
Dominican Republic,S&P,BB,NR,2026-02-01
