Country,Agency,Rating,Outlook,Date
Ecuador,Fitch,CCC+,Stable,2002-11-01
Ecuador,Fitch,CCC+,Positive,2003-03-01
Ecuador,Fitch,CCC+,Stable,2003-09-01
Ecuador,Fitch,B-,Stable,2004-10-01
Ecuador,Fitch,B-,Negative,2005-08-01
Ecuador,Fitch,CCC,Negative,2007-01-01
Ecuador,Fitch,CCC,Stable,2007-10-01
Ecuador,Fitch,CCC,Negative,2008-11-01
Ecuador,Fitch,CCC,Stable,2009-09-01
Ecuador,Fitch,B-,Stable,2010-11-01
Ecuador,Fitch,B-,Stable,2011-10-01
Ecuador,Fitch,B,Stable,2013-10-01
Ecuador,Fitch,B,Stable,2014-06-01
Ecuador,Fitch,B,Stable,2014-06-01
Ecuador,Fitch,B,Stable,2014-10-01
Ecuador,Fitch,B,Stable,2015-10-01
Ecuador,Fitch,B,Stable,2016-07-01
Ecuador,Fitch,B,Negative,2016-08-01
Ecuador,Fitch,B,Negative,2017-08-01
Ecuador,Fitch,B-,Stable,2018-08-01
Ecuador,Fitch,B-,Negative,2019-01-01
Ecuador,Fitch,B-,Stable,2019-08-01
Ecuador,Fitch,B-,Stable,2019-09-01
Ecuador,Fitch,CC,Developing,2020-03-01
Ecuador,Fitch,CC,Under Review,2020-03-01
Ecuador,Fitch,C,Under Review,2020-04-01
Ecuador,Fitch,RD,Developing,2020-04-01
Ecuador,Fitch,C,Under Review,2020-04-01
Ecuador,Fitch,B-,Stable,2020-09-01
Ecuador,Fitch,B-,Stable,2021-08-01
Ecuador,Fitch,B-,Stable,2022-08-01
Ecuador,Fitch,B-,Negative,2023-05-01
Ecuador,Fitch,CCC+,NR,2023-08-01
Ecuador,Fitch,CCC+,NR,2024-08-01
Ecuador,Fitch,CCC+,NR,2025-11-01
Ecuador,Fitch,CCC+,NR,2026-01-01
Ecuador,Fitch,CCC+,NR,2026-08-01
Ecuador,Moody's,Caa2,Stable,2003-11-01
Ecuador,Moody's,Caa1,Positive,2006-01-01
Ecuador,Moody's,Caa2,Negative,2007-01-01
Ecuador,Moody's,B3,Stable,2008-03-01
Ecuador,Moody's,Caa1,Under Review,2008-11-01
Ecuador,Moody's,Caa3,Stable,2009-09-01
Ecuador,Moody's,B3,Stable,2014-12-01
Ecuador,Moody's,B3,Stable,2016-11-01
Ecuador,Moody's,B3,Negative,2018-12-01
Ecuador,Moody's,Caa3,Negative,2020-04-01
Ecuador,Moody's,Caa3,Negative,2020-04-01
Ecuador,Moody's,Caa3,Stable,2021-02-01
Ecuador,Moody's,Caa3,Stable,2023-02-01
Ecuador,Moody's,Caa3,Stable,2025-06-01
Ecuador,Moody's,Caa1,Stable,2026-01-01
Ecuador,S&P,B-,Stable,2000-08-01
Ecuador,S&P,B-,Stable,2000-08-01
Ecuador,S&P,CCC+,Negative,2001-04-01
Ecuador,S&P,CCC+,Stable,2001-12-01
Ecuador,S&P,CCC+,Positive,2003-02-01
Ecuador,S&P,CCC+,Stable,2003-09-01
Ecuador,S&P,B-,Stable,2005-01-01
Ecuador,S&P,B-,Negative watch,2005-04-01
Ecuador,S&P,CCC+,Stable,2005-06-01
Ecuador,S&P,CCC+,Negative watch,2005-08-01
Ecuador,S&P,CCC+,Stable,2005-10-01
Ecuador,S&P,CCC+,Stable,2005-11-01
Ecuador,S&P,CCC+,Stable,2006-04-01
Ecuador,S&P,CCC,Negative,2007-01-01
Ecuador,S&P,B-,Stable,2007-11-01
Ecuador,S&P,CCC-,Negative watch,2008-11-01
Ecuador,S&P,CCC+,Stable,2009-06-01
Ecuador,S&P,B-,Stable,2010-08-01
Ecuador,S&P,B-,Positive,2011-08-01
Ecuador,S&P,B,Stable,2012-06-01
Ecuador,S&P,B,Positive,2013-08-01
Ecuador,S&P,B+,Stable,2014-08-01
Ecuador,S&P,B,Stable,2015-08-01
Ecuador,S&P,B-,Stable,2017-06-01
Ecuador,S&P,CCC-,Negative,2020-03-01
Ecuador,S&P,CCC-,Negative,2020-03-01
Ecuador,S&P,B-,Stable,2025-08-01
Ecuador,S&P,B-,NR,2026-01-01
