Country,Agency,Rating,Outlook,Date
Egypt,Fitch,BBB-,Stable,2000-09-01
Egypt,Fitch,BBB-,Stable,2001-08-01
Egypt,Fitch,BBB-,Negative,2002-01-01
Egypt,Fitch,BB+,Stable,2002-08-01
Egypt,Fitch,BB+,Stable,2003-12-01
Egypt,Fitch,BB+,Stable,2004-12-01
Egypt,Fitch,BB+,Positive,2007-06-01
Egypt,Fitch,BB+,Stable,2008-08-01
Egypt,Fitch,BB+,Negative,2011-01-01
Egypt,Fitch,BB,Negative,2011-02-01
Egypt,Fitch,BB,Negative,2011-06-01
Egypt,Fitch,BB,Negative,2011-10-01
Egypt,Fitch,BB-,Negative,2011-12-01
Egypt,Fitch,BB-,Negative,2012-01-01
Egypt,Fitch,BB-,Negative,2012-02-01
Egypt,Fitch,BB-,Negative,2012-04-01
Egypt,Fitch,BB-,Negative,2012-05-01
Egypt,Fitch,B+,Negative,2012-07-01
Egypt,Fitch,B+,Negative,2012-08-01
Egypt,Fitch,B,Negative,2013-03-01
Egypt,Fitch,B,Negative,2013-05-01
Egypt,Fitch,B,Negative,2013-06-01
Egypt,Fitch,B-,Negative,2013-07-01
Egypt,Fitch,B-,Negative,2013-08-01
Egypt,Fitch,B-,Negative,2013-10-01
Egypt,Fitch,B-,Negative,2013-11-01
Egypt,Fitch,B-,Negative,2013-12-01
Egypt,Fitch,B-,Stable,2014-01-01
Egypt,Fitch,B-,Stable,2014-02-01
Egypt,Fitch,B-,Stable,2014-03-01
Egypt,Fitch,B-,Stable,2014-04-01
Egypt,Fitch,B-,Stable,2014-05-01
Egypt,Fitch,B-,Stable,2014-06-01
Egypt,Fitch,B-,Stable,2014-07-01
Egypt,Fitch,B-,Stable,2014-08-01
Egypt,Fitch,B-,Stable,2014-09-01
Egypt,Fitch,B,Stable,2015-12-01
Egypt,Fitch,B,Stable,2016-05-01
Egypt,Fitch,B,Stable,2016-07-01
Egypt,Fitch,B,Stable,2016-12-01
Egypt,Fitch,B,Stable,2017-06-01
Egypt,Fitch,B,Positive,2018-01-01
Egypt,Fitch,B,Positive,2018-08-01
Egypt,Fitch,B+,Stable,2019-03-01
Egypt,Fitch,B+,Stable,2019-11-01
Egypt,Fitch,B+,Stable,2020-07-01
Egypt,Fitch,B+,Stable,2021-03-01
Egypt,Fitch,B+,Stable,2021-10-01
Egypt,Fitch,B+,Negative,2022-11-01
Egypt,Fitch,B,Negative,2023-05-01
Egypt,Fitch,B-,Stable,2023-11-01
Egypt,Fitch,B-,Positive,2024-05-01
Egypt,Fitch,B,Stable,2024-11-01
Egypt,Fitch,B,Stable,2025-02-01
Egypt,Fitch,B,Stable,2025-04-01
Egypt,Fitch,B,Stable,2025-10-01
Egypt,Moody's,Ba2,Stable,1996-10-01
Egypt,Moody's,Ba2,Positive watch,1997-10-01
Egypt,Moody's,Ba1,Stable,1997-11-01
Egypt,Moody's,Ba1,Stable,2003-11-01
Egypt,Moody's,Ba1,Negative,2008-06-01
Egypt,Moody's,Ba1,Stable,2009-08-01
Egypt,Moody's,Ba2,Negative,2011-01-01
Egypt,Moody's,Ba3,Negative,2011-03-01
Egypt,Moody's,B1,Negative,2011-10-01
Egypt,Moody's,B2,Negative watch,2011-12-01
Egypt,Moody's,B2,Negative,2012-09-01
Egypt,Moody's,B2,Negative watch,2013-01-01
Egypt,Moody's,B3,Negative watch,2013-02-01
Egypt,Moody's,Caa1,Negative,2013-03-01
Egypt,Moody's,Caa1,Negative,2013-07-01
Egypt,Moody's,Caa1,Stable,2014-10-01
Egypt,Moody's,B3,Stable,2015-04-01
Egypt,Moody's,B3,Stable,2016-08-01
Egypt,Moody's,B3,Stable,2017-08-01
Egypt,Moody's,B3,Positive,2018-08-01
Egypt,Moody's,B3,Stable,2019-01-01
Egypt,Moody's,B2,Stable,2019-04-01
Egypt,Moody's,B2,Stable,2020-05-01
Egypt,Moody's,B2,Stable,2021-07-01
Egypt,Moody's,B2,Negative,2022-05-01
Egypt,Moody's,B3,Stable,2023-02-01
Egypt,Moody's,B3,Negative watch,2023-05-01
Egypt,Moody's,Caa1,Negative,2024-01-01
