Country,Agency,Rating,Outlook,Date
El Salvador,Fitch,BB+,Stable,2000-09-01
El Salvador,Fitch,BB+,Stable,2001-08-01
El Salvador,Fitch,BB+,Negative,2002-08-01
El Salvador,Fitch,BB+,Stable,2005-01-01
El Salvador,Fitch,BB+,Negative,2008-10-01
El Salvador,Fitch,BB,Negative,2009-06-01
El Salvador,Fitch,BB,Stable,2011-07-01
El Salvador,Fitch,BB,Negative,2012-07-01
El Salvador,Fitch,BB,Negative,2012-12-01
El Salvador,Fitch,BB-,Negative,2013-07-01
El Salvador,Fitch,BB-,Negative,2014-07-01
El Salvador,Fitch,BB-,Negative,2014-09-01
El Salvador,Fitch,B+,Stable,2015-07-01
El Salvador,Fitch,B+,Stable,2016-07-01
El Salvador,Fitch,B,Negative,2017-02-01
El Salvador,Fitch,B-,Stable,2017-10-01
El Salvador,Fitch,B-,Stable,2017-10-01
El Salvador,Fitch,B-,Stable,2018-06-01
El Salvador,Fitch,B-,Stable,2019-06-01
El Salvador,Fitch,B-,Stable,2019-07-01
El Salvador,Fitch,B-,Negative,2020-04-01
El Salvador,Fitch,B-,Negative,2020-05-01
El Salvador,Fitch,B-,Negative,2021-04-01
El Salvador,Fitch,CC,NR,2022-09-01
El Salvador,Fitch,CC,NR,2023-02-01
El Salvador,Fitch,CCC+,NR,2024-04-01
El Salvador,Fitch,B-,Stable,2025-01-01
El Salvador,Fitch,B-,Stable,2025-04-01
El Salvador,Fitch,B-,Stable,2025-11-01
El Salvador,Moody's,Ba1,Negative,2009-11-01
El Salvador,Moody's,Ba3,Stable,2012-11-01
El Salvador,Moody's,Ba3,Negative,2015-11-01
El Salvador,Moody's,B1,Negative,2016-06-01
El Salvador,Moody's,B3,Negative,2016-11-01
El Salvador,Moody's,Caa1,Stable,2017-07-01
El Salvador,Moody's,B3,Stable,2018-02-01
El Salvador,Moody's,B3,Stable,2019-07-01
El Salvador,Moody's,B3,Positive,2020-03-01
El Salvador,Moody's,B3,Negative,2021-02-01
El Salvador,Moody's,Caa1,Negative,2021-07-01
El Salvador,Moody's,Caa3,Negative,2022-05-01
El Salvador,Moody's,Caa3,Stable,2023-02-01
El Salvador,Moody's,Caa1,Stable,2023-10-01
El Salvador,Moody's,Caa1,Stable,2024-05-01
El Salvador,Moody's,B3,Stable,2024-11-01
El Salvador,Moody's,B3,Positive,2026-02-01
El Salvador,S&P,BB,Positive,1996-08-01
El Salvador,S&P,BB+,Stable,1999-04-01
El Salvador,S&P,BB+,Stable,2001-01-01
El Salvador,S&P,BB+,Stable,2005-11-01
El Salvador,S&P,BB+,Negative,2008-09-01
El Salvador,S&P,BB,Stable,2009-05-01
El Salvador,S&P,BB-,Stable,2011-01-01
El Salvador,S&P,BB-,Negative,2012-12-01
El Salvador,S&P,B+,Stable,2014-12-01
El Salvador,S&P,B,Negative watch,2016-10-01
El Salvador,S&P,B+,Negative watch,2016-10-01
El Salvador,S&P,B-,Negative,2016-12-01
El Salvador,S&P,CCC-,Negative watch,2017-04-01
El Salvador,S&P,SD,NM,2017-04-01
El Salvador,S&P,CC,Negative,2017-05-01
El Salvador,S&P,CCC+,Stable,2017-10-01
El Salvador,S&P,CCC+,Positive,2017-12-01
El Salvador,S&P,B-,Stable,2018-12-01
El Salvador,S&P,B-,Developing,2019-07-01
El Salvador,S&P,NR,NR,2019-12-01
