Country,Agency,Rating,Outlook,Date
Estonia,Fitch,BBB,Positive,2000-08-01
Estonia,Fitch,BBB+,Stable,2000-09-01
Estonia,Fitch,BBB+,Positive,2001-07-01
Estonia,Fitch,A-,Stable,2001-08-01
Estonia,Fitch,A-,Positive,2003-10-01
Estonia,Fitch,A,Positive,2004-07-01
Estonia,Fitch,A,Stable,2006-08-01
Estonia,Fitch,A,Negative,2008-01-01
Estonia,Fitch,A-,Negative,2008-10-01
Estonia,Fitch,BBB+,Negative,2009-04-01
Estonia,Fitch,BBB+,Stable,2010-02-01
Estonia,Fitch,BBB+,Positive,2010-03-01
Estonia,Fitch,A,Stable,2010-07-01
Estonia,Fitch,A+,Stable,2011-07-01
Estonia,Fitch,A+,Stable,2012-06-01
Estonia,Fitch,A+,Stable,2013-05-01
Estonia,Fitch,A+,Stable,2013-12-01
Estonia,Fitch,A+,Stable,2014-05-01
Estonia,Fitch,A+,Stable,2014-11-01
Estonia,Fitch,A+,Stable,2015-11-01
Estonia,Fitch,A+,Stable,2016-05-01
Estonia,Fitch,A+,Stable,2016-07-01
Estonia,Fitch,A+,Stable,2016-11-01
Estonia,Fitch,A+,Stable,2017-05-01
Estonia,Fitch,A+,Positive,2017-11-01
Estonia,Fitch,A+,Positive,2018-05-01
Estonia,Fitch,AA-,Stable,2019-04-01
Estonia,Fitch,AA-,Stable,2019-10-01
Estonia,Fitch,AA-,Stable,2020-03-01
Estonia,Fitch,AA-,Stable,2020-03-01
Estonia,Fitch,AA-,Stable,2020-09-01
Estonia,Fitch,AA-,Stable,2021-03-01
Estonia,Fitch,AA-,Stable,2021-09-01
Estonia,Fitch,AA-,Stable,2022-02-01
Estonia,Fitch,AA-,Negative,2022-08-01
Estonia,Fitch,AA-,Negative,2023-02-01
Estonia,Fitch,A+,Stable,2023-07-01
Estonia,Fitch,A+,Stable,2024-01-01
Estonia,Fitch,A+,Stable,2024-07-01
Estonia,Fitch,A+,Stable,2025-01-01
Estonia,Fitch,A+,Stable,2025-06-01
Estonia,Fitch,A+,Stable,2026-06-01
Estonia,Moody's,Baa1,Stable,1997-09-01
Estonia,Moody's,A1,Stable,2002-11-01
Estonia,Moody's,A1,Positive,2006-03-01
Estonia,Moody's,A1,Stable,2007-09-01
Estonia,Moody's,A1,Negative,2008-11-01
Estonia,Moody's,A1,Negative watch,2009-02-01
Estonia,Moody's,A1,Negative,2009-04-01
Estonia,Moody's,A1,Stable,2010-03-01
Estonia,Moody's,A1,Stable,2015-07-01
Estonia,Moody's,A1,Stable,2017-07-01
Estonia,Moody's,A1,Stable,2019-05-01
Estonia,Moody's,A1,Stable,2021-03-01
Estonia,Moody's,A1,Stable,2022-04-01
Estonia,Moody's,A1,Stable,2024-03-01
Estonia,Moody's,A1,Stable,2026-02-01
Estonia,S&P,BBB+,Stable,1997-12-01
Estonia,S&P,BBB+,Positive,2000-12-01
Estonia,S&P,A-,Stable,2001-11-01
Estonia,S&P,A-,Positive,2003-12-01
Estonia,S&P,A,Stable,2004-11-01
Estonia,S&P,A,Positive,2005-07-01
Estonia,S&P,A,Positive,2005-11-01
Estonia,S&P,A,Stable,2006-07-01
Estonia,S&P,A,Negative,2007-07-01
Estonia,S&P,A,Negative watch,2009-02-01
Estonia,S&P,A,Negative,2009-04-01
Estonia,S&P,A-,Negative,2009-08-01
Estonia,S&P,A-,Stable,2010-02-01
Estonia,S&P,A,Stable,2010-06-01
Estonia,S&P,A,Positive,2011-04-01
Estonia,S&P,AA-,Stable,2011-08-01
Estonia,S&P,AA-,Negative watch,2011-12-01
Estonia,S&P,AA-,Negative,2012-01-01
Estonia,S&P,AA-,Stable,2012-10-01
Estonia,S&P,AA-,Positive,2020-02-01
Estonia,S&P,AA-,Stable,2020-08-01
Estonia,S&P,AA-,Positive,2021-08-01
