Country,Agency,Rating,Outlook,Date
Finland,Fitch,AAA,Stable,2000-09-01
Finland,Fitch,AAA,Stable,2011-07-01
Finland,Fitch,AAA,Stable,2011-10-01
Finland,Fitch,AAA,Stable,2012-01-01
Finland,Fitch,AAA,Stable,2012-02-01
Finland,Fitch,AAA,Stable,2012-04-01
Finland,Fitch,AAA,Stable,2012-05-01
Finland,Fitch,AAA,Stable,2012-07-01
Finland,Fitch,AAA,Stable,2013-03-01
Finland,Fitch,AAA,Stable,2013-05-01
Finland,Fitch,AAA,Stable,2013-06-01
Finland,Fitch,AAA,Stable,2013-07-01
Finland,Fitch,AAA,Stable,2013-10-01
Finland,Fitch,AAA,Stable,2013-11-01
Finland,Fitch,AAA,Stable,2014-02-01
Finland,Fitch,AAA,Stable,2014-03-01
Finland,Fitch,AAA,Stable,2014-05-01
Finland,Fitch,AAA,Stable,2014-08-01
Finland,Fitch,AAA,Stable,2014-09-01
Finland,Fitch,AAA,Stable,2014-10-01
Finland,Fitch,AA+,Stable,2016-03-01
Finland,Fitch,AA+,Stable,2016-07-01
Finland,Fitch,AA+,Stable,2016-09-01
Finland,Fitch,AA+,Stable,2017-02-01
Finland,Fitch,AA+,Stable,2017-08-01
Finland,Fitch,AA+,Stable,2018-02-01
Finland,Fitch,AA+,Positive,2018-08-01
Finland,Fitch,AA+,Positive,2019-02-01
Finland,Fitch,AA+,Positive,2019-07-01
Finland,Fitch,AA+,Stable,2020-06-01
Finland,Fitch,AA+,Stable,2020-10-01
Finland,Fitch,AA+,Stable,2021-04-01
Finland,Fitch,AA+,Stable,2021-10-01
Finland,Fitch,AA+,Stable,2022-04-01
Finland,Fitch,AA+,Stable,2022-09-01
Finland,Fitch,AA+,Stable,2023-02-01
Finland,Fitch,AA+,Stable,2023-08-01
Finland,Fitch,AA+,Stable,2024-02-01
Finland,Fitch,AA+,Negative,2024-08-01
Finland,Fitch,AA+,Negative,2025-02-01
Finland,Fitch,AA,Stable,2025-07-01
Finland,Moody's,Aa1,Positive watch,1998-03-01
Finland,Moody's,Aaa,Stable,1998-05-01
Finland,Moody's,Aaa,Stable,2002-09-01
Finland,Moody's,Aaa,Negative,2015-06-01
Finland,Moody's,Aa1,Stable,2016-06-01
Finland,Moody's,Aa1,Stable,2018-04-01
Finland,Moody's,Aa1,Stable,2022-07-01
Finland,Moody's,Aa1,Stable,2024-12-01
Finland,S&P,AAA,Stable,1989-06-01
Finland,S&P,AAA,Negative,1990-12-01
Finland,S&P,AA+,Stable,1992-03-01
Finland,S&P,AA+,Negative,1992-09-01
Finland,S&P,AA-,Stable,1993-03-01
Finland,S&P,AA-,Positive,1995-08-01
Finland,S&P,AA,Stable,1996-12-01
Finland,S&P,AA,Positive,1998-05-01
Finland,S&P,AA+,Stable,1999-09-01
Finland,S&P,AA+,Positive,2000-10-01
Finland,S&P,AAA,Stable,2002-02-01
Finland,S&P,AAA,Stable,2005-11-01
Finland,S&P,AAA,Negative watch,2011-12-01
Finland,S&P,AAA,Negative,2012-01-01
Finland,S&P,AAA,Stable,2013-01-01
Finland,S&P,AAA,Negative,2014-04-01
Finland,S&P,AA+,Stable,2014-10-01
Finland,S&P,AA+,Negative,2015-09-01
Finland,S&P,AA+,Stable,2016-09-01
Finland,S&P,NR,NR,2019-03-01
Finland,S&P,NR,NR,2019-04-01
Finland,S&P,NR,NR,2019-09-01
Finland,S&P,NR,NR,2019-12-01
Finland,S&P,AA+,Stable,2020-01-01
Finland,S&P,AA+,NR,2026-01-01
Finland,S&P,AA+,NR,2026-02-01
Finland,S&P,AA+,Negative,2026-04-01
