Country,Agency,Rating,Outlook,Date
France,Fitch,AAA,Stable,2000-09-01
France,Fitch,AAA,Stable,2011-07-01
France,Fitch,AAA,Stable,2011-11-01
France,Fitch,AAA,Negative,2011-12-01
France,Fitch,AAA,Negative,2012-01-01
France,Fitch,AAA,Negative,2012-02-01
France,Fitch,AAA,Negative,2012-04-01
France,Fitch,AAA,Negative,2012-05-01
France,Fitch,AAA,Negative,2012-07-01
France,Fitch,AAA,Negative,2012-08-01
France,Fitch,AAA,Negative,2013-03-01
France,Fitch,AAA,Negative,2013-05-01
France,Fitch,AAA,Negative,2013-06-01
France,Fitch,AA+,Stable,2013-07-01
France,Fitch,AA+,Stable,2013-08-01
France,Fitch,AA+,Stable,2013-10-01
France,Fitch,AA+,Stable,2013-12-01
France,Fitch,AA+,Stable,2014-01-01
France,Fitch,AA+,Stable,2014-03-01
France,Fitch,AA+,Stable,2014-04-01
France,Fitch,AA+,Stable,2014-05-01
France,Fitch,AA+,Stable,2014-06-01
France,Fitch,AA+,Stable,2014-07-01
France,Fitch,AA+,Stable,2014-08-01
France,Fitch,AA+,Stable,2014-09-01
France,Fitch,AA+,Negative,2014-10-01
France,Fitch,AA,Stable,2015-12-01
France,Fitch,AA,Stable,2016-06-01
France,Fitch,AA,Stable,2016-07-01
France,Fitch,AA,Stable,2016-12-01
France,Fitch,AA,Stable,2017-03-01
France,Fitch,AA,Stable,2017-07-01
France,Fitch,AA,Stable,2018-01-01
France,Fitch,AA,Stable,2018-07-01
France,Fitch,AA,Stable,2019-01-01
France,Fitch,AA,Stable,2019-06-01
France,Fitch,AA,Stable,2019-12-01
France,Fitch,AA,Negative,2020-05-01
France,Fitch,AA,Negative,2020-11-01
France,Fitch,AA,Negative,2021-05-01
France,Fitch,AA,Negative,2021-11-01
France,Fitch,AA,Negative,2022-08-01
France,Fitch,AA,Negative,2022-11-01
France,Fitch,AA-,Stable,2023-04-01
France,Fitch,AA-,Stable,2023-10-01
France,Fitch,AA-,Stable,2024-04-01
France,Fitch,AA-,Negative,2024-10-01
France,Fitch,AA-,Negative,2025-03-01
France,Fitch,A+,Stable,2025-09-01
France,Fitch,A+,Stable,2026-03-01
France,Moody's,Aaa,Stable,1998-05-01
France,Moody's,Aaa,Negative,2012-02-01
France,Moody's,Aa1,Negative,2012-11-01
France,Moody's,Aa2,Stable,2015-09-01
France,Moody's,Aa2,Positive,2018-05-01
France,Moody's,Aa2,Stable,2020-02-01
France,Moody's,Aa2,Stable,2020-02-01
France,Moody's,Aa2,Stable,2022-12-01
France,Moody's,Aa2,Negative,2024-10-01
France,Moody's,Aa3,Stable,2024-12-01
France,Moody's,Aa3,Negative,2025-10-01
France,S&P,AAA,Stable,1989-06-01
France,S&P,AAA,Stable,1992-07-01
France,S&P,AAA,Stable,2005-11-01
France,S&P,AAA,Negative watch,2011-12-01
France,S&P,AA+,Negative,2012-01-01
France,S&P,AA,Stable,2013-11-01
France,S&P,AA,Negative,2014-10-01
France,S&P,AA,Stable,2016-10-01
France,S&P,AA-,Negative,2025-02-01
France,S&P,A+,Stable,2025-10-01
