Country,Agency,Rating,Outlook,Date
Gabon,Fitch,BB-,Stable,2007-10-01
Gabon,Fitch,BB-,Stable,2011-04-01
Gabon,Fitch,BB-,Stable,2013-03-01
Gabon,Fitch,BB-,Stable,2013-12-01
Gabon,Fitch,BB-,Stable,2014-06-01
Gabon,Fitch,B+,Stable,2015-11-01
Gabon,Fitch,B+,Negative,2016-05-01
Gabon,Fitch,B+,Negative,2016-07-01
Gabon,Fitch,B+,Negative,2016-10-01
Gabon,Fitch,B+,Negative,2017-04-01
Gabon,Fitch,B,Negative,2017-10-01
Gabon,Fitch,B,Negative,2018-04-01
Gabon,Fitch,B,Stable,2019-06-01
Gabon,Fitch,B,Stable,2019-12-01
Gabon,Fitch,CCC,Developing,2020-12-01
Gabon,Fitch,B-,Stable,2021-08-01
Gabon,Fitch,B-,Stable,2022-03-01
Gabon,Fitch,B-,Positive,2022-08-01
Gabon,Fitch,B-,Positive,2023-02-01
Gabon,Fitch,B-,Stable,2023-08-01
Gabon,Fitch,B-,Negative,2023-09-01
Gabon,Fitch,B-,Stable,2024-01-01
Gabon,Fitch,CCC+,NR,2024-07-01
Gabon,Fitch,CCC+,NR,2025-01-01
Gabon,Fitch,CCC,NR,2025-06-01
Gabon,Fitch,CCC-,NR,2025-12-01
Gabon,Fitch,CCC-,NR,2026-05-01
Gabon,Moody's,Ba3,Stable,2014-12-01
Gabon,Moody's,Ba3,Stable,2015-11-01
Gabon,Moody's,Ba3,Negative watch,2016-03-01
Gabon,Moody's,B1,Negative,2016-04-01
Gabon,Moody's,B3,Negative,2017-07-01
Gabon,Moody's,Caa1,Stable,2018-06-01
Gabon,Moody's,Caa1,Positive,2019-06-01
Gabon,Moody's,Caa1,Stable,2020-12-01
Gabon,Moody's,Caa1,Stable,2022-12-01
Gabon,Moody's,Caa1,Negative,2023-09-01
Gabon,Moody's,Caa2,Stable,2024-06-01
Gabon,Moody's,Caa2,Negative,2026-06-01
Gabon,S&P,BB-,Stable,2007-11-01
Gabon,S&P,BB-,Negative,2012-09-01
Gabon,S&P,BB-,Stable,2013-09-01
Gabon,S&P,B+,Stable,2015-02-01
Gabon,S&P,B+,Negative,2015-07-01
Gabon,S&P,B,Stable,2016-01-01
