Country,Agency,Rating,Outlook,Date
Georgia,Fitch,BB-,Stable,2007-07-01
Georgia,Fitch,B+,Negative,2008-08-01
Georgia,Fitch,B+,Negative,2009-04-01
Georgia,Fitch,B+,Stable,2009-08-01
Georgia,Fitch,B+,Positive,2011-03-01
Georgia,Fitch,BB-,Stable,2011-12-01
Georgia,Fitch,BB-,Stable,2012-01-01
Georgia,Fitch,BB-,Stable,2012-02-01
Georgia,Fitch,BB-,Stable,2012-06-01
Georgia,Fitch,BB-,Stable,2012-08-01
Georgia,Fitch,BB-,Stable,2013-03-01
Georgia,Fitch,BB-,Stable,2013-08-01
Georgia,Fitch,BB-,Stable,2013-11-01
Georgia,Fitch,BB-,Stable,2013-12-01
Georgia,Fitch,BB-,Stable,2014-01-01
Georgia,Fitch,BB-,Stable,2014-02-01
Georgia,Fitch,BB-,Stable,2014-03-01
Georgia,Fitch,BB-,Stable,2014-04-01
Georgia,Fitch,BB-,Stable,2014-05-01
Georgia,Fitch,BB-,Stable,2014-06-01
Georgia,Fitch,BB-,Stable,2014-07-01
Georgia,Fitch,BB-,Stable,2014-08-01
Georgia,Fitch,BB-,Stable,2014-09-01
Georgia,Fitch,BB-,Stable,2015-10-01
Georgia,Fitch,BB-,Stable,2016-04-01
Georgia,Fitch,BB-,Stable,2016-07-01
Georgia,Fitch,BB-,Stable,2016-09-01
Georgia,Fitch,BB-,Stable,2017-03-01
Georgia,Fitch,BB-,Stable,2017-09-01
Georgia,Fitch,BB-,Stable,2017-09-01
Georgia,Fitch,BB-,Positive,2018-03-01
Georgia,Fitch,BB-,Positive,2018-08-01
Georgia,Fitch,BB,Stable,2019-02-01
Georgia,Fitch,BB,Stable,2019-08-01
Georgia,Fitch,BB,Stable,2020-01-01
Georgia,Fitch,BB,Stable,2020-01-01
Georgia,Fitch,BB,Negative,2020-04-01
Georgia,Fitch,BB,Negative,2020-08-01
Georgia,Fitch,BB,Negative,2021-02-01
Georgia,Fitch,BB,Stable,2021-08-01
Georgia,Fitch,BB,Stable,2022-02-01
Georgia,Fitch,BB,Stable,2022-07-01
Georgia,Fitch,BB,Positive,2023-02-01
Georgia,Fitch,BB,Positive,2023-07-01
Georgia,Fitch,BB,Positive,2024-01-01
Georgia,Fitch,BB,Stable,2024-07-01
Georgia,Fitch,BB,Negative,2024-12-01
Georgia,Fitch,BB,Negative,2025-05-01
Georgia,Fitch,BB,Stable,2025-11-01
Georgia,Moody's,Ba3,Stable,2010-10-01
Georgia,Moody's,Ba3,Positive,2014-08-01
Georgia,Moody's,Ba3,Stable,2016-03-01
Georgia,Moody's,Ba2,Stable,2017-09-01
Georgia,Moody's,Ba2,Stable,2019-01-01
Georgia,Moody's,Ba2,Stable,2019-09-01
Georgia,Moody's,BB,Stable,2019-10-01
Georgia,Moody's,Ba2,Stable,2021-09-01
Georgia,Moody's,Ba2,Negative,2022-04-01
Georgia,Moody's,Ba2,Stable,2024-03-01
Georgia,Moody's,Ba2,Negative,2025-03-01
Georgia,Moody's,Ba2,Negative,2025-03-01
Georgia,Moody's,Ba2,Negative,2026-01-01
Georgia,S&P,B+,Positive,2005-12-01
Georgia,S&P,B+,Positive,2006-04-01
Georgia,S&P,B+,Stable,2006-11-01
Georgia,S&P,B+,Positive,2007-10-01
Georgia,S&P,B+,Stable,2008-05-01
Georgia,S&P,B,Negative watch,2008-08-01
Georgia,S&P,B,Stable,2008-09-01
Georgia,S&P,B+,Stable,2010-04-01
Georgia,S&P,B+,Positive,2011-03-01
Georgia,S&P,BB-,Stable,2011-11-01
Georgia,S&P,BB-,Stable,2016-05-01
Georgia,S&P,BB-,Positive,2019-04-01
Georgia,S&P,BB,Negative,2021-02-01
Georgia,S&P,BB,NR,2026-01-01
