Country,Agency,Rating,Outlook,Date
Germany,Fitch,AAA,Stable,2000-09-01
Germany,Fitch,AAA,Stable,2011-09-01
Germany,Fitch,AAA,Stable,2011-11-01
Germany,Fitch,AAA,Stable,2011-12-01
Germany,Fitch,AAA,Stable,2012-01-01
Germany,Fitch,AAA,Stable,2012-02-01
Germany,Fitch,AAA,Stable,2012-05-01
Germany,Fitch,AAA,Stable,2012-07-01
Germany,Fitch,AAA,Stable,2012-08-01
Germany,Fitch,AAA,Stable,2013-02-01
Germany,Fitch,AAA,Stable,2013-05-01
Germany,Fitch,AAA,Stable,2013-06-01
Germany,Fitch,AAA,Stable,2013-07-01
Germany,Fitch,AAA,Stable,2013-09-01
Germany,Fitch,AAA,Stable,2013-10-01
Germany,Fitch,AAA,Stable,2013-11-01
Germany,Fitch,AAA,Stable,2014-01-01
Germany,Fitch,AAA,Stable,2014-02-01
Germany,Fitch,AAA,Stable,2014-03-01
Germany,Fitch,AAA,Stable,2014-04-01
Germany,Fitch,AAA,Stable,2014-05-01
Germany,Fitch,AAA,Stable,2014-06-01
Germany,Fitch,AAA,Stable,2014-07-01
Germany,Fitch,AAA,Stable,2014-08-01
Germany,Fitch,AAA,Stable,2014-09-01
Germany,Fitch,AAA,Stable,2014-10-01
Germany,Fitch,AAA,Stable,2016-01-01
Germany,Fitch,AAA,Stable,2016-04-01
Germany,Fitch,AAA,Stable,2016-07-01
Germany,Fitch,AAA,Stable,2016-09-01
Germany,Fitch,AAA,Stable,2017-03-01
Germany,Fitch,AAA,Stable,2017-09-01
Germany,Fitch,AAA,Stable,2018-02-01
Germany,Fitch,AAA,Stable,2018-08-01
Germany,Fitch,AAA,Stable,2019-01-01
Germany,Fitch,AAA,Stable,2019-07-01
Germany,Fitch,AAA,Stable,2020-01-01
Germany,Fitch,AAA,Stable,2020-01-01
Germany,Fitch,AAA,Stable,2020-06-01
Germany,Fitch,AAA,Stable,2020-11-01
Germany,Fitch,AAA,Stable,2021-11-01
Germany,Fitch,AAA,Stable,2022-10-01
Germany,Fitch,AAA,Stable,2023-04-01
Germany,Fitch,AAA,Stable,2023-09-01
Germany,Fitch,AAA,Stable,2024-03-01
Germany,Fitch,AAA,Stable,2024-09-01
Germany,Fitch,AAA,Stable,2025-02-01
Germany,Fitch,AAA,Stable,2025-07-01
Germany,Fitch,AAA,Stable,2026-05-01
Germany,Moody's,Aaa,Stable,1986-02-01
Germany,Moody's,Aaa,Negative,2012-07-01
Germany,Moody's,Aaa,Stable,2014-02-01
Germany,Moody's,Aaa,Stable,2017-02-01
Germany,Moody's,Aaa,Stable,2019-01-01
Germany,Moody's,Aaa,Stable,2021-01-01
Germany,Moody's,Aaa,Stable,2023-02-01
Germany,Moody's,Aaa,Stable,2025-05-01
Germany,S&P,AAA,Stable,1989-06-01
Germany,S&P,AAA,Stable,1992-07-01
Germany,S&P,AAA,Stable,2005-11-01
Germany,S&P,AAA,Negative watch,2011-12-01
Germany,S&P,AAA,Stable,2012-01-01
