Country,Agency,Rating,Outlook,Date
Ghana,Fitch,B,Positive,2003-12-01
Ghana,Fitch,B+,Stable,2005-03-01
Ghana,Fitch,B+,Positive,2006-02-01
Ghana,Fitch,B+,Stable,2008-02-01
Ghana,Fitch,B+,Negative,2009-03-01
Ghana,Fitch,B+,Stable,2010-09-01
Ghana,Fitch,B+,Stable,2011-09-01
Ghana,Fitch,B+,Stable,2012-07-01
Ghana,Fitch,B+,Stable,2012-08-01
Ghana,Fitch,B+,Negative,2013-03-01
Ghana,Fitch,B+,Negative,2013-05-01
Ghana,Fitch,B+,Negative,2013-06-01
Ghana,Fitch,B+,Negative,2013-07-01
Ghana,Fitch,B+,Negative,2013-08-01
Ghana,Fitch,B,Stable,2013-10-01
Ghana,Fitch,B,Stable,2013-11-01
Ghana,Fitch,B,Stable,2013-12-01
Ghana,Fitch,B,Stable,2014-01-01
Ghana,Fitch,B,Stable,2014-02-01
Ghana,Fitch,B,Negative,2014-03-01
Ghana,Fitch,B,Negative,2014-04-01
Ghana,Fitch,B,Negative,2014-05-01
Ghana,Fitch,B,Negative,2014-06-01
Ghana,Fitch,B,Negative,2014-07-01
Ghana,Fitch,B,Negative,2014-08-01
Ghana,Fitch,B,Negative,2014-09-01
Ghana,Fitch,B,Negative,2015-09-01
Ghana,Fitch,B,Negative,2016-03-01
Ghana,Fitch,B,Negative,2016-07-01
Ghana,Fitch,B,Negative,2016-09-01
Ghana,Fitch,B,Stable,2017-05-01
Ghana,Fitch,B,Stable,2017-09-01
Ghana,Fitch,B,Stable,2018-08-01
Ghana,Fitch,B,Stable,2019-03-01
Ghana,Fitch,B,Stable,2019-05-01
Ghana,Fitch,B,Stable,2019-10-01
Ghana,Fitch,B,Developing,2020-02-01
Ghana,Fitch,B,Developing,2020-02-01
Ghana,Fitch,B,Stable,2020-04-01
Ghana,Fitch,B,Stable,2020-10-01
Ghana,Fitch,B,Negative,2021-06-01
Ghana,Fitch,B-,Negative,2022-01-01
Ghana,Fitch,CC,NR,2022-09-01
Ghana,Fitch,B-,Stable,2025-06-01
Ghana,Fitch,B-,Stable,2026-02-01
Ghana,Fitch,B,Positive,2026-05-01
Ghana,Moody's,B1,Stable,2012-12-01
Ghana,Moody's,B1,Negative,2013-12-01
Ghana,Moody's,B2,Negative,2014-06-01
Ghana,Moody's,B3,Negative,2015-03-01
Ghana,Moody's,B3,Stable,2016-09-01
Ghana,Moody's,B3,Stable,2018-02-01
Ghana,Moody's,B3,Stable,2020-01-01
Ghana,Moody's,B3,Stable,2020-01-01
Ghana,Moody's,B3,Negative,2020-04-01
Ghana,Moody's,B3,Negative,2021-09-01
Ghana,Moody's,Caa1,Stable,2022-02-01
Ghana,Moody's,Caa2,Under Review,2022-10-01
Ghana,Moody's,Ca,Stable,2022-12-01
Ghana,Moody's,Caa2,Positive,2024-10-01
Ghana,Moody's,Caa1,Stable,2025-10-01
Ghana,Moody's,Caa1,Positive,2026-04-01
Ghana,S&P,B+,Stable,2003-09-01
Ghana,S&P,B+,Stable,2005-11-01
Ghana,S&P,B+,Stable,2006-04-01
Ghana,S&P,B+,Negative,2009-03-01
Ghana,S&P,B,Stable,2010-08-01
Ghana,S&P,B,Negative,2013-12-01
Ghana,S&P,B-,Stable,2014-10-01
Ghana,S&P,B-,Positive,2017-10-01
Ghana,S&P,B,Stable,2018-09-01
Ghana,S&P,B,Developing,2019-03-01
Ghana,S&P,B,Developing,2020-01-01
Ghana,S&P,B,Developing,2020-01-01
Ghana,S&P,B,Developing,2020-02-01
Ghana,S&P,NR,NR,2020-02-01
Ghana,S&P,B,Negative,2020-04-01
Ghana,S&P,B-,Stable,2020-09-01
Ghana,S&P,CCC+,Negative,2022-08-01
Ghana,S&P,CCC,NR,2022-08-01
Ghana,S&P,CCC+,Stable,2025-05-01
Ghana,S&P,B-,Stable,2025-11-01
