Country,Agency,Rating,Outlook,Date
Greece,Fitch,BBB,Positive,1999-08-01
Greece,Fitch,BBB+,Positive,2000-03-01
Greece,Fitch,A-,Stable,2000-09-01
Greece,Fitch,A,Stable,2001-06-01
Greece,Fitch,A,Positive,2002-10-01
Greece,Fitch,A+,Stable,2003-10-01
Greece,Fitch,A+,Negative,2004-09-01
Greece,Fitch,A,Stable,2004-12-01
Greece,Fitch,A,Positive,2007-03-01
Greece,Fitch,A,Stable,2008-10-01
Greece,Fitch,A,Negative,2009-05-01
Greece,Fitch,A-,Negative,2009-10-01
Greece,Fitch,BBB+,Negative,2009-12-01
Greece,Fitch,BBB-,Negative,2010-04-01
Greece,Fitch,BBB-,Negative,2010-12-01
Greece,Fitch,BB+,Negative,2011-01-01
Greece,Fitch,B+,Negative,2011-05-01
Greece,Fitch,B-,Stable,2012-03-01
Greece,Fitch,B-,Stable,2013-05-01
Greece,Fitch,B-,Stable,2013-06-01
Greece,Fitch,B-,Stable,2013-07-01
Greece,Fitch,B-,Stable,2013-08-01
Greece,Fitch,B-,Stable,2013-10-01
Greece,Fitch,B-,Stable,2013-11-01
Greece,Fitch,B-,Stable,2013-12-01
Greece,Fitch,B-,Stable,2014-01-01
Greece,Fitch,B-,Stable,2014-02-01
Greece,Fitch,B-,Stable,2014-03-01
Greece,Fitch,B-,Stable,2014-04-01
Greece,Fitch,B,Stable,2014-05-01
Greece,Fitch,B,Stable,2014-06-01
Greece,Fitch,B,Stable,2014-07-01
Greece,Fitch,B,Stable,2014-08-01
Greece,Fitch,B,Stable,2014-09-01
Greece,Fitch,B,Stable,2014-10-01
Greece,Fitch,B,Stable,2014-11-01
Greece,Fitch,B-,Positive,2017-08-01
Greece,Fitch,B,Positive,2018-02-01
Greece,Fitch,BB-,Stable,2018-08-01
Greece,Fitch,BB-,Stable,2019-02-01
Greece,Fitch,BB-,Stable,2019-08-01
Greece,Fitch,BB,Stable,2020-07-01
Greece,Fitch,BB,Stable,2021-01-01
Greece,Fitch,BB,Stable,2021-07-01
Greece,Fitch,BB,Positive,2022-01-01
Greece,Fitch,BB,Positive,2022-07-01
Greece,Fitch,BB,Positive,2022-10-01
Greece,Fitch,BB+,Stable,2023-01-01
Greece,Fitch,BB+,Stable,2023-06-01
Greece,Fitch,BBB-,Stable,2023-12-01
Greece,Fitch,BBB-,Stable,2024-11-01
Greece,Fitch,BBB-,Positive,2025-05-01
Greece,Fitch,BBB,Stable,2025-11-01
Greece,Moody's,Baa1,Stable,1990-07-01
Greece,Moody's,Baa3,Positive watch,1996-11-01
Greece,Moody's,Baa1,Negative watch,1998-02-01
Greece,Moody's,A1,Negative watch,2009-10-01
Greece,Moody's,A2,Negative,2009-12-01
Greece,Moody's,A3,Negative watch,2010-04-01
Greece,Moody's,Ba1,Stable,2010-06-01
Greece,Moody's,Ba1,Negative watch,2010-12-01
Greece,Moody's,B1,Negative,2011-03-01
Greece,Moody's,B1,Negative watch,2011-05-01
Greece,Moody's,Caa1,Negative,2011-06-01
Greece,Moody's,Ca,Negative,2011-07-01
Greece,Moody's,Caa3,Stable,2013-11-01
Greece,Moody's,Caa1,Stable,2014-08-01
Greece,Moody's,Caa1,Negative watch,2015-02-01
Greece,Moody's,Caa2,Negative,2015-04-01
Greece,Moody's,Caa3,Negative watch,2015-07-01
Greece,Moody's,Caa3,Stable,2015-09-01
Greece,Moody's,Caa2,Positive,2017-06-01
Greece,Moody's,B3,Positive,2018-02-01
Greece,Moody's,B1,Stable,2019-03-01
Greece,Moody's,Ba3,Stable,2022-09-01
Greece,Moody's,Ba3,Positive,2023-03-01
Greece,Moody's,Ba1,Stable,2023-09-01
Greece,Moody's,Ba1,Positive,2024-09-01
Greece,Moody's,Baa3,Stable,2025-03-01
Greece,S&P,BBB,Stable,1989-06-01
Greece,S&P,BBB,Negative,1990-03-01
Greece,S&P,BBB-,Stable,1990-07-01
Greece,S&P,BBB-,Positive,1993-01-01
Greece,S&P,BBB-,Stable,1994-03-01
Greece,S&P,BBB-,Positive,1997-03-01
Greece,S&P,BBB,Positive,1998-11-01
Greece,S&P,A-,Positive,1999-11-01
Greece,S&P,A,Positive,2001-03-01
Greece,S&P,A+,Stable,2003-10-01
Greece,S&P,A+,Negative,2004-09-01
Greece,S&P,A,Stable,2004-11-01
Greece,S&P,A,Stable,2005-11-01
Greece,S&P,A,Negative watch,2009-01-01
Greece,S&P,A-,Stable,2009-01-01
Greece,S&P,A-,Negative watch,2009-12-01
Greece,S&P,BBB+,Negative watch,2009-12-01
Greece,S&P,BBB+,Negative,2010-03-01
Greece,S&P,BB+,Negative,2010-04-01
Greece,S&P,BB+,Negative watch,2010-12-01
Greece,S&P,BB-,Negative watch,2011-03-01
Greece,S&P,B,Negative watch,2011-05-01
Greece,S&P,CCC,Negative,2011-06-01
Greece,S&P,CC,Negative,2011-07-01
Greece,S&P,CCC,Stable,2012-05-01
Greece,S&P,CCC,Negative,2012-08-01
Greece,S&P,B-,Stable,2012-12-01
Greece,S&P,B,Stable,2014-09-01
Greece,S&P,B,Negative watch,2015-01-01
Greece,S&P,B-,Negative watch,2015-02-01
