Country,Agency,Rating,Outlook,Date
Guatemala,Fitch,BB+,Stable,2006-02-01
Guatemala,Fitch,BB+,Stable,2011-08-01
Guatemala,Fitch,BB+,Stable,2012-05-01
Guatemala,Fitch,BB+,Stable,2012-07-01
Guatemala,Fitch,BB+,Stable,2013-02-01
Guatemala,Fitch,BB+,Negative,2013-07-01
Guatemala,Fitch,BB,Stable,2014-06-01
Guatemala,Fitch,BB,Stable,2015-06-01
Guatemala,Fitch,BB,Stable,2016-04-01
Guatemala,Fitch,BB,Stable,2016-07-01
Guatemala,Fitch,BB,Stable,2017-04-01
Guatemala,Fitch,BB,Stable,2018-04-01
Guatemala,Fitch,BB,Negative,2019-04-01
Guatemala,Fitch,BB,Negative,2019-05-01
Guatemala,Fitch,BB-,Stable,2020-04-01
Guatemala,Fitch,BB-,Stable,2020-04-01
Guatemala,Fitch,BB-,Stable,2020-12-01
Guatemala,Fitch,BB-,Stable,2021-05-01
Guatemala,Fitch,BB,Stable,2023-02-01
Guatemala,Fitch,BB,Stable,2024-02-01
Guatemala,Fitch,BB,Positive,2025-01-01
Guatemala,Fitch,BB,Positive,2025-02-01
Guatemala,Fitch,BB,Positive,2025-07-01
Guatemala,Fitch,BB+,Stable,2025-10-01
Guatemala,Moody's,Ba2,Stable,2003-11-01
Guatemala,Moody's,Ba2,Positive,2006-07-01
Guatemala,Moody's,Ba2,Stable,2008-12-01
Guatemala,Moody's,Ba1,Stable,2013-07-01
Guatemala,Moody's,Ba1,Negative,2015-05-01
Guatemala,Moody's,Ba1,Stable,2016-06-01
Guatemala,Moody's,Ba1,Stable,2018-06-01
Guatemala,Moody's,Ba1,Stable,2020-06-01
Guatemala,Moody's,Ba1,Negative,2020-11-01
Guatemala,Moody's,Ba1,Stable,2022-06-01
Guatemala,Moody's,Ba1,Stable,2024-07-01
Guatemala,Moody's,Ba1,Stable,2026-04-01
Guatemala,S&P,BB,Stable,2001-10-01
Guatemala,S&P,BB,Negative,2002-11-01
Guatemala,S&P,BB-,Stable,2003-05-01
Guatemala,S&P,BB-,Stable,2005-11-01
Guatemala,S&P,BB-,Stable,2005-11-01
Guatemala,S&P,BB,Stable,2006-07-01
Guatemala,S&P,BB,Positive,2007-07-01
Guatemala,S&P,BB,Stable,2008-11-01
Guatemala,S&P,BB,Negative,2011-08-01
Guatemala,S&P,BB,Stable,2012-09-01
Guatemala,S&P,BB,Negative,2016-10-01
Guatemala,S&P,BB-,Developing,2019-05-01
Guatemala,S&P,BB-,Negative,2020-11-01
Guatemala,S&P,BB,Stable,2023-04-01
Guatemala,S&P,BB+,Stable,2025-05-01
