Country,Agency,Rating,Outlook,Date
Honduras,Fitch,B+,Stable,2015-12-01
Honduras,Fitch,B+,Stable,2016-07-01
Honduras,Fitch,B+,Stable,2016-08-01
Honduras,Fitch,B+,Stable,2017-08-01
Honduras,Fitch,B,Negative,2018-06-01
Honduras,Fitch,B-,Negative,2018-12-01
Honduras,Fitch,B-,Stable,2019-11-01
Honduras,Fitch,B-,Stable,2022-06-01
Honduras,Fitch,B-,Positive,2023-06-01
Honduras,Fitch,B,Stable,2024-06-01
Honduras,Moody's,B2,Stable,2003-07-01
Honduras,Moody's,B2,Negative,2013-02-01
Honduras,Moody's,B3,Stable,2014-02-01
Honduras,Moody's,B3,Positive,2015-05-01
Honduras,Moody's,B2,Positive,2016-05-01
Honduras,Moody's,B1,Stable,2017-09-01
Honduras,Moody's,B1,Stable,2019-06-01
Honduras,Moody's,B1,Stable,2021-07-01
Honduras,Moody's,B1,Stable,2023-10-01
Honduras,Moody's,B1,Stable,2025-07-01
Honduras,S&P,B+,Stable,2008-10-01
Honduras,S&P,B+,Negative watch,2009-06-01
Honduras,S&P,B,Stable,2009-09-01
Honduras,S&P,B,Positive,2011-06-01
Honduras,S&P,B+,Stable,2012-06-01
Honduras,S&P,B+,Negative,2013-02-01
Honduras,S&P,B,Stable,2013-08-01
Honduras,S&P,B+,Stable,2015-07-01
Honduras,S&P,B+,Positive,2016-07-01
Honduras,S&P,BB-,Stable,2017-07-01
Honduras,S&P,BB-,Stable,2023-10-01
