Country,Agency,Rating,Outlook,Date
Hong Kong,Fitch,A+,Stable,2000-09-01
Hong Kong,Fitch,AA-,Stable,2001-06-01
Hong Kong,Fitch,AA-,Negative,2003-04-01
Hong Kong,Fitch,AA-,Stable,2004-05-01
Hong Kong,Fitch,AA-,Positive,2006-07-01
Hong Kong,Fitch,AA,Stable,2007-07-01
Hong Kong,Fitch,AA+,Stable,2010-11-01
Hong Kong,Fitch,AA+,Stable,2011-10-01
Hong Kong,Fitch,AA+,Stable,2011-11-01
Hong Kong,Fitch,AA+,Stable,2011-12-01
Hong Kong,Fitch,AA+,Stable,2012-01-01
Hong Kong,Fitch,AA+,Stable,2012-02-01
Hong Kong,Fitch,AA+,Stable,2012-04-01
Hong Kong,Fitch,AA+,Stable,2012-05-01
Hong Kong,Fitch,AA+,Stable,2012-07-01
Hong Kong,Fitch,AA+,Stable,2012-08-01
Hong Kong,Fitch,AA+,Stable,2013-03-01
Hong Kong,Fitch,AA+,Stable,2013-05-01
Hong Kong,Fitch,AA+,Stable,2013-06-01
Hong Kong,Fitch,AA+,Stable,2013-07-01
Hong Kong,Fitch,AA+,Stable,2013-09-01
Hong Kong,Fitch,AA+,Stable,2013-10-01
Hong Kong,Fitch,AA+,Stable,2013-11-01
Hong Kong,Fitch,AA+,Stable,2013-12-01
Hong Kong,Fitch,AA+,Stable,2014-01-01
Hong Kong,Fitch,AA+,Stable,2014-03-01
Hong Kong,Fitch,AA+,Stable,2014-04-01
Hong Kong,Fitch,AA+,Stable,2014-05-01
Hong Kong,Fitch,AA+,Stable,2014-06-01
Hong Kong,Fitch,AA+,Stable,2014-07-01
Hong Kong,Fitch,AA+,Stable,2014-08-01
Hong Kong,Fitch,AA+,Stable,2014-09-01
Hong Kong,Fitch,AA+,Stable,2015-09-01
Hong Kong,Fitch,AA+,Stable,2016-07-01
Hong Kong,Fitch,AA+,Stable,2016-09-01
Hong Kong,Fitch,AA+,Stable,2017-09-01
Hong Kong,Fitch,AA+,Stable,2018-06-01
Hong Kong,Fitch,AA+,Stable,2019-05-01
Hong Kong,Fitch,AA+,Stable,2019-06-01
Hong Kong,Fitch,AA,Negative,2019-09-01
Hong Kong,Fitch,AA-,Stable,2020-04-01
Hong Kong,Fitch,AA-,Stable,2021-04-01
Hong Kong,Fitch,AA-,Stable,2022-04-01
Hong Kong,Fitch,AA-,Stable,2023-01-01
Hong Kong,Fitch,AA-,Stable,2023-03-01
Hong Kong,Fitch,AA-,Stable,2024-02-01
Hong Kong,Fitch,AA-,Stable,2024-04-01
Hong Kong,Fitch,AA-,Stable,2025-05-01
Hong Kong,Fitch,AA-,Stable,2025-06-01
Hong Kong,Fitch,AA-,Stable,2025-11-01
Hong Kong,Moody's,A2,Negative,1998-02-01
Hong Kong,Moody's,A2,Positive,2001-02-01
Hong Kong,Moody's,A1,Stable,2003-11-01
Hong Kong,Moody's,A1,Positive,2006-07-01
Hong Kong,Moody's,Aa3,Positive,2006-09-01
Hong Kong,Moody's,Aa3,Under Review,2007-05-01
Hong Kong,Moody's,Aa2,Stable,2007-07-01
Hong Kong,Moody's,Aa2,Positive,2009-11-01
Hong Kong,Moody's,Aa2,Under Review,2010-10-01
Hong Kong,Moody's,Aa1,Positive,2010-11-01
Hong Kong,Moody's,Aa1,Stable,2013-04-01
Hong Kong,Moody's,Aa1,Negative,2016-03-01
Hong Kong,Moody's,Aa2,Stable,2017-05-01
Hong Kong,Moody's,Aa2,Stable,2019-07-01
Hong Kong,Moody's,Aa2,Negative,2019-09-01
Hong Kong,Moody's,Aa3,Stable,2020-01-01
Hong Kong,Moody's,Aa3,Stable,2020-01-01
Hong Kong,Moody's,Aa3,Stable,2022-03-01
Hong Kong,Moody's,Aa3,Negative,2023-12-01
Hong Kong,Moody's,Aa3,Stable,2025-05-01
Hong Kong,Moody's,Aa3,Stable,2025-11-01
Hong Kong,S&P,A+,Negative,1989-06-01
Hong Kong,S&P,A,Stable,1990-02-01
Hong Kong,S&P,A,Negative,1990-02-01
Hong Kong,S&P,A,Stable,1992-07-01
Hong Kong,S&P,A,Negative watch,1992-12-01
Hong Kong,S&P,A,Negative,1993-09-01
Hong Kong,S&P,A,Positive,1995-02-01
Hong Kong,S&P,A+,Stable,1997-05-01
Hong Kong,S&P,A+,Negative watch,1998-06-01
Hong Kong,S&P,A,Negative,1998-08-01
Hong Kong,S&P,A,Stable,1999-12-01
Hong Kong,S&P,A+,Stable,2001-02-01
Hong Kong,S&P,A+,Stable,2002-10-01
Hong Kong,S&P,A+,Stable,2004-06-01
Hong Kong,S&P,A+,Positive,2005-05-01
Hong Kong,S&P,AA-,Stable,2005-07-01
Hong Kong,S&P,AA-,Stable,2005-11-01
Hong Kong,S&P,AA-,Stable,2005-11-01
Hong Kong,S&P,AA-,Positive,2006-04-01
Hong Kong,S&P,AA,Stable,2006-07-01
Hong Kong,S&P,AA,Positive,2007-07-01
Hong Kong,S&P,AA+,Stable,2008-07-01
Hong Kong,S&P,AAA,Stable,2010-12-01
Hong Kong,S&P,AAA,Negative,2016-03-01
Hong Kong,S&P,AA+,Stable,2017-09-01
Hong Kong,S&P,AA+,Developing,2019-05-01
Hong Kong,S&P,NR,NR,2019-12-01
Hong Kong,S&P,NR,NR,2020-02-01
Hong Kong,S&P,NR,NR,2020-02-01
Hong Kong,S&P,AA+,NR,2025-05-01
Hong Kong,S&P,AA+,NR,2025-06-01
Hong Kong,S&P,AA+,NR,2025-11-01
