Country,Agency,Rating,Outlook,Date
Hungary,Fitch,BBB-,Positive,1997-05-01
Hungary,Fitch,BBB+,Positive,2000-09-01
Hungary,Fitch,A-,Stable,2000-11-01
Hungary,Fitch,A-,Negative,2003-07-01
Hungary,Fitch,A-,Negative,2005-01-01
Hungary,Fitch,BBB+,Stable,2005-12-01
Hungary,Fitch,BBB+,Negative,2006-09-01
Hungary,Fitch,BBB+,Stable,2007-11-01
Hungary,Fitch,BBB+,Negative,2008-10-01
Hungary,Fitch,BBB,Stable,2008-11-01
Hungary,Fitch,BBB,Negative,2009-03-01
Hungary,Fitch,BBB-,Negative,2010-12-01
Hungary,Fitch,BBB-,Stable,2011-06-01
Hungary,Fitch,BBB-,Negative,2011-11-01
Hungary,Fitch,BB+,Negative,2012-01-01
Hungary,Fitch,BB+,Negative,2012-02-01
Hungary,Fitch,BB+,Negative,2012-04-01
Hungary,Fitch,BB+,Negative,2012-05-01
Hungary,Fitch,BB+,Negative,2012-07-01
Hungary,Fitch,BB+,Negative,2012-08-01
Hungary,Fitch,BB+,Stable,2013-02-01
Hungary,Fitch,BB+,Stable,2013-03-01
Hungary,Fitch,BB+,Stable,2013-05-01
Hungary,Fitch,BB+,Stable,2013-06-01
Hungary,Fitch,BB+,Stable,2013-07-01
Hungary,Fitch,BB+,Stable,2013-08-01
Hungary,Fitch,BB+,Stable,2013-09-01
Hungary,Fitch,BB+,Stable,2013-10-01
Hungary,Fitch,BB+,Stable,2013-11-01
Hungary,Fitch,BB+,Stable,2013-12-01
Hungary,Fitch,BB+,Stable,2014-01-01
Hungary,Fitch,BB+,Stable,2014-02-01
Hungary,Fitch,BB+,Stable,2014-03-01
Hungary,Fitch,BB+,Stable,2014-04-01
Hungary,Fitch,BB+,Stable,2014-05-01
Hungary,Fitch,BB+,Stable,2014-06-01
Hungary,Fitch,BB+,Stable,2014-07-01
Hungary,Fitch,BB+,Stable,2014-08-01
Hungary,Fitch,BB+,Stable,2014-09-01
Hungary,Fitch,BB+,Stable,2014-11-01
Hungary,Fitch,BB+,Positive,2015-11-01
Hungary,Fitch,BBB-,Stable,2016-05-01
Hungary,Fitch,BBB-,Stable,2016-07-01
Hungary,Fitch,BBB-,Stable,2016-11-01
Hungary,Fitch,BBB-,Stable,2017-05-01
Hungary,Fitch,BBB-,Positive,2017-11-01
Hungary,Fitch,BBB-,Positive,2018-03-01
Hungary,Fitch,BBB-,Positive,2018-08-01
Hungary,Fitch,BBB,Stable,2019-02-01
Hungary,Fitch,BBB,Stable,2019-08-01
Hungary,Fitch,BBB,Stable,2020-02-01
Hungary,Fitch,BBB,Stable,2020-02-01
Hungary,Fitch,BBB,Stable,2020-08-01
Hungary,Fitch,BBB,Stable,2021-02-01
Hungary,Fitch,BBB,Stable,2021-08-01
Hungary,Fitch,BBB,Stable,2022-01-01
Hungary,Fitch,BBB,Stable,2022-07-01
Hungary,Fitch,BBB,Negative,2023-01-01
Hungary,Fitch,BBB,Negative,2023-06-01
Hungary,Fitch,BBB,Negative,2023-12-01
Hungary,Fitch,BBB,Negative,2024-06-01
Hungary,Fitch,BBB,Stable,2024-12-01
Hungary,Fitch,BBB,Stable,2025-06-01
Hungary,Fitch,BBB,Negative,2025-12-01
Hungary,Fitch,BBB,Negative,2026-06-01
Hungary,Moody's,Baa2,Stable,1989-07-01
Hungary,Moody's,Ba1,Stable,1990-07-01
Hungary,Moody's,Ba1,Positive,1996-10-01
Hungary,Moody's,Baa3,Stable,1996-12-01
Hungary,Moody's,Baa3,Positive watch,1998-03-01
Hungary,Moody's,Baa2,Positive,1998-05-01
Hungary,Moody's,Baa1,Stable,1999-06-01
Hungary,Moody's,A3,Stable,2000-11-01
Hungary,Moody's,A1,Stable,2001-11-01
Hungary,Moody's,A1,Negative watch,2006-09-01
Hungary,Moody's,A2,Stable,2006-12-01
Hungary,Moody's,A3,Negative,2008-11-01
Hungary,Moody's,Baa1,Negative,2009-03-01
Hungary,Moody's,Baa1,Negative watch,2010-07-01
Hungary,Moody's,Baa3,Negative,2010-12-01
Hungary,Moody's,Ba1,Negative,2011-11-01
Hungary,Moody's,Ba1,Negative,2013-02-01
Hungary,Moody's,Ba1,Stable,2014-11-01
Hungary,Moody's,Ba1,Positive,2015-11-01
Hungary,Moody's,Baa3,Stable,2016-11-01
Hungary,Moody's,Ba3,Stable,2018-11-01
Hungary,Moody's,Baa3,Positive,2020-09-01
Hungary,Moody's,Baa2,Stable,2021-09-01
Hungary,Moody's,Baa2,Stable,2023-09-01
Hungary,Moody's,Baa2,Negative,2024-11-01
Hungary,Moody's,B1,Stable,2025-07-01
Hungary,Moody's,Baa2,Negative,2025-07-01
Hungary,S&P,BB+,Positive,1992-04-01
Hungary,S&P,BB+,Stable,1994-04-01
Hungary,S&P,BB+,Negative,1995-02-01
Hungary,S&P,BB+,Negative,1995-04-01
Hungary,S&P,BB+,Stable,1996-02-01
Hungary,S&P,BBB-,Stable,1996-10-01
Hungary,S&P,BBB-,Stable,1997-07-01
Hungary,S&P,BBB-,Positive,1998-01-01
Hungary,S&P,BBB,Positive,1998-12-01
Hungary,S&P,BBB+,Positive,2000-02-01
Hungary,S&P,A-,Stable,2000-12-01
Hungary,S&P,A-,Stable,2002-11-01
Hungary,S&P,A-,Stable,2005-05-01
Hungary,S&P,A-,Stable,2005-11-01
Hungary,S&P,A-,Negative,2006-01-01
Hungary,S&P,BBB+,Negative,2006-06-01
Hungary,S&P,BBB+,Stable,2006-12-01
Hungary,S&P,BBB+,Negative,2008-03-01
Hungary,S&P,BBB+,Negative watch,2008-10-01
Hungary,S&P,BBB,Negative,2008-11-01
Hungary,S&P,BBB-,Negative,2009-03-01
Hungary,S&P,BBB-,Stable,2009-10-01
Hungary,S&P,BBB-,Negative,2010-07-01
Hungary,S&P,BBB-,Negative watch,2011-11-01
Hungary,S&P,BB+,Negative,2011-12-01
Hungary,S&P,BB,Stable,2012-11-01
Hungary,S&P,BB,Negative,2013-03-01
Hungary,S&P,BB,Stable,2014-03-01
Hungary,S&P,BB+,Stable,2015-03-01
Hungary,S&P,BBB-,Stable,2016-09-01
Hungary,S&P,BBB-,Positive,2017-08-01
Hungary,S&P,NR,NR,2019-03-01
Hungary,S&P,NR,NR,2019-04-01
Hungary,S&P,NR,NR,2020-01-01
Hungary,S&P,NR,NR,2020-01-01
Hungary,S&P,NR,NR,2020-02-01
Hungary,S&P,NR,NR,2020-02-01
Hungary,S&P,BBB,Stable,2020-04-01
Hungary,S&P,BBB-,Negative,2025-04-01
Hungary,S&P,BBB-,NR,2025-06-01
Hungary,S&P,BBB-,NR,2026-01-01
Hungary,S&P,BBB-,NR,2026-01-01
