Country,Agency,Rating,Outlook,Date
Iceland,Fitch,AA-,Stable,2000-09-01
Iceland,Fitch,AA-,Negative,2002-02-01
Iceland,Fitch,AA-,Stable,2003-03-01
Iceland,Fitch,AA-,Negative,2006-02-01
Iceland,Fitch,A+,Stable,2007-03-01
Iceland,Fitch,A+,Negative,2008-04-01
Iceland,Fitch,A-,Negative,2008-09-01
Iceland,Fitch,BBB-,Negative,2008-10-01
Iceland,Fitch,BBB-,Negative,2009-12-01
Iceland,Fitch,BB+,Negative,2010-01-01
Iceland,Fitch,BB+,Stable,2011-05-01
Iceland,Fitch,BBB-,Stable,2012-02-01
Iceland,Fitch,BBB-,Stable,2012-05-01
Iceland,Fitch,BBB-,Stable,2012-06-01
Iceland,Fitch,BBB-,Stable,2012-07-01
Iceland,Fitch,BBB,Stable,2013-02-01
Iceland,Fitch,BBB,Stable,2013-03-01
Iceland,Fitch,BBB,Stable,2013-05-01
Iceland,Fitch,BBB,Stable,2013-06-01
Iceland,Fitch,BBB,Stable,2013-07-01
Iceland,Fitch,BBB,Stable,2013-10-01
Iceland,Fitch,BBB,Stable,2014-01-01
Iceland,Fitch,BBB,Stable,2014-02-01
Iceland,Fitch,BBB,Stable,2014-03-01
Iceland,Fitch,BBB,Stable,2014-04-01
Iceland,Fitch,BBB,Stable,2014-05-01
Iceland,Fitch,BBB,Stable,2014-07-01
Iceland,Fitch,BBB,Stable,2014-08-01
Iceland,Fitch,BBB,Stable,2014-09-01
Iceland,Fitch,BBB+,Stable,2016-01-01
Iceland,Fitch,BBB+,Stable,2016-07-01
Iceland,Fitch,BBB+,Positive,2017-01-01
Iceland,Fitch,A-,Positive,2017-07-01
Iceland,Fitch,A,Stable,2017-12-01
Iceland,Fitch,A,Stable,2018-06-01
Iceland,Fitch,A,Stable,2018-12-01
Iceland,Fitch,A,Stable,2019-11-01
Iceland,Fitch,A,Negative,2020-05-01
Iceland,Fitch,A,Negative,2020-10-01
Iceland,Fitch,A,Negative,2021-03-01
Iceland,Fitch,A,Negative,2021-03-01
Iceland,Fitch,A,Negative,2021-09-01
Iceland,Fitch,A,Stable,2022-03-01
Iceland,Fitch,A,Stable,2022-09-01
Iceland,Fitch,A,Stable,2023-03-01
Iceland,Fitch,A,Stable,2023-09-01
Iceland,Fitch,A,Stable,2024-03-01
Iceland,Fitch,A,Stable,2024-08-01
Iceland,Fitch,A,Stable,2025-02-01
Iceland,Fitch,A,Positive,2025-08-01
Iceland,Fitch,A+,Stable,2026-02-01
Iceland,Moody's,A2,Stable,1989-05-01
Iceland,Moody's,A2,Positive watch,1996-04-01
Iceland,Moody's,A1,Stable,1996-06-01
Iceland,Moody's,A1,Positive watch,1997-06-01
Iceland,Moody's,Aa3,Stable,1997-07-01
Iceland,Moody's,Aaa,Stable,2002-10-01
Iceland,Moody's,Aaa,Negative,2008-03-01
Iceland,Moody's,Aa1,Stable,2008-05-01
Iceland,Moody's,Aa1,Negative watch,2008-09-01
Iceland,Moody's,A1,Negative watch,2008-10-01
Iceland,Moody's,Baa1,Negative,2008-12-01
Iceland,Moody's,Baa3,Stable,2009-11-01
Iceland,Moody's,Baa3,Stable,2013-02-01
Iceland,Moody's,Baa2,Stable,2015-06-01
Iceland,Moody's,Baa2,Positive watch,2016-06-01
Iceland,Moody's,A3,Stable,2016-09-01
Iceland,Moody's,A3,Positive,2018-07-01
Iceland,Moody's,A2,Stable,2019-11-01
Iceland,Moody's,A2,Stable,2021-08-01
Iceland,Moody's,A2,Positive,2023-07-01
Iceland,Moody's,A1,Stable,2024-09-01
Iceland,S&P,A,Stable,1989-06-01
Iceland,S&P,A+,Stable,1996-03-01
Iceland,S&P,A+,Positive,1998-05-01
Iceland,S&P,A+,Positive,1998-05-01
Iceland,S&P,A+,Stable,2001-03-01
Iceland,S&P,A+,Negative,2001-10-01
Iceland,S&P,A+,Stable,2002-11-01
Iceland,S&P,A+,Positive,2003-12-01
Iceland,S&P,AA-,Stable,2005-02-01
Iceland,S&P,AA-,Stable,2005-11-01
Iceland,S&P,AA-,Stable,2006-04-01
Iceland,S&P,AA-,Negative,2006-06-01
Iceland,S&P,A+,Stable,2006-12-01
Iceland,S&P,A+,Negative,2007-11-01
Iceland,S&P,A+,Negative watch,2008-04-01
Iceland,S&P,A,Negative,2008-04-01
Iceland,S&P,A-,Negative watch,2008-09-01
Iceland,S&P,BBB,Negative,2008-10-01
Iceland,S&P,BBB-,Negative,2008-11-01
Iceland,S&P,BBB-,Stable,2009-12-01
Iceland,S&P,BBB-,Negative watch,2010-01-01
Iceland,S&P,BBB-,Negative,2010-03-01
Iceland,S&P,BBB-,Negative watch,2011-04-01
Iceland,S&P,BBB-,Negative,2011-05-01
Iceland,S&P,BBB-,Stable,2011-11-01
Iceland,S&P,BBB-,Negative,2013-07-01
Iceland,S&P,BBB-,Stable,2014-01-01
Iceland,S&P,BBB-,Positive,2014-07-01
Iceland,S&P,BBB,Stable,2015-07-01
Iceland,S&P,BBB+,Stable,2016-01-01
Iceland,S&P,A-,Stable,2017-01-01
Iceland,S&P,A,Stable,2017-03-01
Iceland,S&P,A+,Stable,2023-11-01
Iceland,S&P,NR,NR,2025-03-01
Iceland,S&P,A+,NR,2025-05-01
Iceland,S&P,A+,NR,2026-02-01
Iceland,S&P,A+,Positive,2026-03-01
