Country,Agency,Rating,Outlook,Date
India,Fitch,BB+,Stable,2000-09-01
India,Fitch,BB+,Negative,2001-05-01
India,Fitch,BB,Stable,2001-11-01
India,Fitch,BB+,Stable,2004-01-01
India,Fitch,BBB-,Stable,2006-08-01
India,Fitch,BBB-,Stable,2008-07-01
India,Fitch,BBB-,Stable,2010-06-01
India,Fitch,BBB-,Stable,2011-06-01
India,Fitch,BBB-,Stable,2011-12-01
India,Fitch,BBB-,Negative,2012-07-01
India,Fitch,BBB-,Negative,2012-10-01
India,Fitch,BBB-,Stable,2013-06-01
India,Fitch,BBB-,Stable,2013-08-01
India,Fitch,BBB-,Stable,2013-12-01
India,Fitch,BBB-,Stable,2014-01-01
India,Fitch,BBB-,Stable,2014-03-01
India,Fitch,BBB-,Stable,2014-04-01
India,Fitch,BBB-,Stable,2014-05-01
India,Fitch,BBB-,Stable,2014-06-01
India,Fitch,BBB-,Stable,2014-08-01
India,Fitch,BBB-,Stable,2015-12-01
India,Fitch,BBB-,Stable,2016-07-01
India,Fitch,BBB-,Stable,2017-05-01
India,Fitch,BBB-,Stable,2018-04-01
India,Fitch,BBB-,Stable,2019-04-01
India,Fitch,BBB-,Stable,2019-12-01
India,Fitch,BBB-,Negative,2020-06-01
India,Fitch,BBB-,Negative,2021-04-01
India,Fitch,BBB-,Negative,2021-11-01
India,Fitch,BBB-,Stable,2022-06-01
India,Fitch,BBB-,Stable,2022-12-01
India,Fitch,BBB-,Stable,2023-05-01
India,Fitch,BBB-,Stable,2024-01-01
India,Fitch,BBB-,Stable,2024-08-01
India,Fitch,BBB-,Stable,2025-08-01
India,Moody's,Ba1,Under Review,2003-11-01
India,Moody's,Baa3,Stable,2004-01-01
India,Moody's,Baa3,Stable,2006-05-01
India,Moody's,Baa3,Stable,2009-12-01
India,Moody's,Baa3,Stable,2011-12-01
India,Moody's,Baa3,Positive,2015-04-01
India,Moody's,Baa3,Positive,2016-11-01
India,Moody's,Baa2,Stable,2017-11-01
India,Moody's,Baa2,Negative,2019-11-01
India,Moody's,Baa3,Negative,2020-06-01
India,Moody's,Baa3,Stable,2021-10-01
India,Moody's,Baa3,Stable,2023-08-01
India,Moody's,Baa3,Stable,2025-09-01
India,S&P,BBB,Stable,1990-09-01
India,S&P,BBB-,Negative watch,1991-03-01
India,S&P,BB+,Stable,1991-09-01
India,S&P,BB+,Positive,1996-10-01
India,S&P,BB+,Stable,1997-10-01
India,S&P,BB+,Negative,1998-05-01
India,S&P,BB,Stable,1998-10-01
India,S&P,BB,Positive,2000-03-01
India,S&P,BB,Stable,2000-10-01
India,S&P,BB,Negative,2001-08-01
India,S&P,BB,Negative,2002-09-01
India,S&P,BB,Stable,2003-12-01
India,S&P,BB,Positive,2004-08-01
India,S&P,BB+,Stable,2005-02-01
India,S&P,BB+,Stable,2005-11-01
India,S&P,BB+,Stable,2005-11-01
India,S&P,BB+,Positive,2006-04-01
India,S&P,BBB-,Stable,2007-01-01
India,S&P,BBB-,Negative,2009-02-01
India,S&P,BBB-,Stable,2010-03-01
India,S&P,BBB-,Negative,2012-04-01
India,S&P,BBB-,Stable,2014-09-01
India,S&P,BBB-,Positive,2024-05-01
India,S&P,BBB,Stable,2025-08-01
India,S&P,BBB,Stable,2025-08-01
