Country,Agency,Rating,Outlook,Date
Iraq,Fitch,B-,Negative,2016-03-01
Iraq,Fitch,B-,Negative,2016-07-01
Iraq,Fitch,B-,Negative,2016-09-01
Iraq,Fitch,B-,Stable,2017-03-01
Iraq,Fitch,B-,Stable,2017-12-01
Iraq,Fitch,B-,Stable,2018-07-01
Iraq,Fitch,B-,Stable,2019-07-01
Iraq,Fitch,B-,Stable,2021-03-01
Iraq,Fitch,B-,Stable,2022-01-01
Iraq,Fitch,B-,Stable,2022-12-01
Iraq,Fitch,B-,Stable,2024-11-01
Iraq,Fitch,B-,Stable,2025-11-01
Iraq,Moody's,Caa1,Stable,2017-08-01
Iraq,Moody's,Caa1,Stable,2019-01-01
Iraq,Moody's,Caa1,Stable,2019-07-01
Iraq,Moody's,Caa1,Stable,2021-07-01
Iraq,Moody's,Caa1,Stable,2023-11-01
Iraq,Moody's,Caa1,Stable,2025-11-01
Iraq,S&P,B-,Stable,2015-09-01
Iraq,S&P,B-,Negative watch,2026-03-01
