Country,Agency,Rating,Outlook,Date
Ireland,Fitch,AAA,Stable,2000-09-01
Ireland,Fitch,AAA,Negative,2009-03-01
Ireland,Fitch,AA+,Negative,2009-04-01
Ireland,Fitch,AA-,Stable,2009-11-01
Ireland,Fitch,A+,Negative,2010-10-01
Ireland,Fitch,BBB+,Stable,2010-12-01
Ireland,Fitch,BBB+,Negative,2011-04-01
Ireland,Fitch,BBB+,Negative,2011-12-01
Ireland,Fitch,BBB+,Negative,2012-01-01
Ireland,Fitch,BBB+,Negative,2012-07-01
Ireland,Fitch,BBB+,Stable,2013-02-01
Ireland,Fitch,BBB+,Stable,2013-03-01
Ireland,Fitch,BBB+,Stable,2013-05-01
Ireland,Fitch,BBB+,Stable,2013-06-01
Ireland,Fitch,BBB+,Stable,2013-09-01
Ireland,Fitch,BBB+,Stable,2013-10-01
Ireland,Fitch,BBB+,Stable,2014-01-01
Ireland,Fitch,BBB+,Stable,2014-02-01
Ireland,Fitch,BBB+,Stable,2014-05-01
Ireland,Fitch,BBB+,Stable,2014-06-01
Ireland,Fitch,A-,Stable,2014-08-01
Ireland,Fitch,A-,Stable,2014-09-01
Ireland,Fitch,A,Stable,2016-02-01
Ireland,Fitch,A,Stable,2016-07-01
Ireland,Fitch,A,Stable,2017-01-01
Ireland,Fitch,A,Stable,2017-07-01
Ireland,Fitch,A+,Stable,2017-12-01
Ireland,Fitch,A+,Stable,2018-06-01
Ireland,Fitch,A+,Stable,2019-05-01
Ireland,Fitch,A+,Stable,2019-11-01
Ireland,Fitch,A+,Stable,2020-02-01
Ireland,Fitch,A+,Stable,2021-02-01
Ireland,Fitch,A+,Stable,2021-07-01
Ireland,Fitch,AA-,Stable,2022-01-01
Ireland,Fitch,AA-,Stable,2022-07-01
Ireland,Fitch,AA-,Stable,2023-01-01
Ireland,Fitch,AA-,Positive,2023-07-01
Ireland,Fitch,AA-,Positive,2023-12-01
Ireland,Fitch,AA,Stable,2024-06-01
Ireland,Fitch,AA,Stable,2024-11-01
Ireland,Fitch,AA,Stable,2025-05-01
Ireland,Fitch,AA,Stable,2025-11-01
Ireland,Fitch,AA,Stable,2026-05-01
Ireland,Moody's,Aa3,Stable,1987-07-01
Ireland,Moody's,Aa3,Positive watch,1994-06-01
Ireland,Moody's,Aa2,Stable,1994-08-01
Ireland,Moody's,Aa2,Positive watch,1997-01-01
Ireland,Moody's,Aa1,Stable,1997-02-01
Ireland,Moody's,Aa1,Positive watch,1998-03-01
Ireland,Moody's,Aaa,Stable,1998-05-01
Ireland,Moody's,Aaa,Stable,2003-11-01
Ireland,Moody's,Aaa,Negative watch,2009-04-01
Ireland,Moody's,Aa1,Negative,2009-07-01
Ireland,Moody's,Aa2,Stable,2010-07-01
Ireland,Moody's,Aa2,Negative watch,2010-10-01
Ireland,Moody's,Baa1,Negative,2010-12-01
Ireland,Moody's,Baa3,Negative,2011-04-01
Ireland,Moody's,Ba1,Negative,2011-07-01
Ireland,Moody's,Ba1,Negative,2013-03-01
Ireland,Moody's,Ba1,Stable,2013-09-01
Ireland,Moody's,Baa3,Positive,2014-01-01
Ireland,Moody's,Baa1,Stable,2014-05-01
Ireland,Moody's,Baa1,Positive,2015-09-01
Ireland,Moody's,A3,Positive,2016-05-01
Ireland,Moody's,A2,Stable,2017-09-01
Ireland,Moody's,A2,Stable,2020-02-01
Ireland,Moody's,A2,Stable,2020-02-01
Ireland,Moody's,A2,Positive,2021-08-01
Ireland,Moody's,A1,Positive,2022-05-01
Ireland,Moody's,Aa3,Stable,2023-04-01
Ireland,Moody's,Aa3,Positive,2024-08-01
Ireland,Moody's,Aa3,Positive,2025-08-01
Ireland,S&P,A+,Positive,1989-06-01
Ireland,S&P,AA-,Stable,1989-10-01
Ireland,S&P,AA-,Stable,1993-01-01
Ireland,S&P,AA-,Positive,1994-05-01
Ireland,S&P,AA,Stable,1995-05-01
Ireland,S&P,AA+,Stable,1998-05-01
Ireland,S&P,AA+,Positive,2000-10-01
Ireland,S&P,AAA,Stable,2001-10-01
Ireland,S&P,AAA,Stable,2005-11-01
Ireland,S&P,AAA,Negative,2009-01-01
Ireland,S&P,AA+,Negative,2009-03-01
Ireland,S&P,AA,Negative,2009-06-01
Ireland,S&P,AA-,Negative,2010-08-01
Ireland,S&P,A,Negative watch,2010-11-01
Ireland,S&P,A-,Negative watch,2011-02-01
Ireland,S&P,BBB+,Stable,2011-04-01
Ireland,S&P,BBB+,Negative watch,2011-12-01
Ireland,S&P,BBB+,Negative,2012-01-01
Ireland,S&P,BBB+,Stable,2013-02-01
Ireland,S&P,BBB+,Positive,2013-07-01
Ireland,S&P,A-,Positive,2014-06-01
Ireland,S&P,A,Stable,2014-12-01
Ireland,S&P,A+,Stable,2015-06-01
Ireland,S&P,AA-,Stable,2019-11-01
Ireland,S&P,AA,Stable,2023-05-01
Ireland,S&P,AA+,Stable,2026-03-01
