Country,Agency,Rating,Outlook,Date
Italy,Fitch,AA-,Stable,2000-09-01
Italy,Fitch,AA,Stable,2002-06-01
Italy,Fitch,AA,Negative,2005-06-01
Italy,Fitch,AA,Negative,2006-05-01
Italy,Fitch,AA-,Stable,2006-10-01
Italy,Fitch,A+,Negative,2011-10-01
Italy,Fitch,A+,Negative,2011-11-01
Italy,Fitch,A+,Negative,2011-12-01
Italy,Fitch,A-,Negative,2012-01-01
Italy,Fitch,A-,Negative,2012-02-01
Italy,Fitch,A-,Negative,2012-04-01
Italy,Fitch,A-,Negative,2012-05-01
Italy,Fitch,A-,Negative,2012-07-01
Italy,Fitch,A-,Negative,2012-08-01
Italy,Fitch,BBB+,Negative,2013-03-01
Italy,Fitch,BBB+,Negative,2013-05-01
Italy,Fitch,BBB+,Negative,2013-06-01
Italy,Fitch,BBB+,Negative,2013-07-01
Italy,Fitch,BBB+,Negative,2013-09-01
Italy,Fitch,BBB+,Negative,2013-10-01
Italy,Fitch,BBB+,Negative,2013-11-01
Italy,Fitch,BBB+,Negative,2013-12-01
Italy,Fitch,BBB+,Negative,2014-01-01
Italy,Fitch,BBB+,Negative,2014-02-01
Italy,Fitch,BBB+,Negative,2014-03-01
Italy,Fitch,BBB+,Stable,2014-04-01
Italy,Fitch,BBB+,Stable,2014-05-01
Italy,Fitch,BBB+,Stable,2014-06-01
Italy,Fitch,BBB+,Stable,2014-07-01
Italy,Fitch,BBB+,Stable,2014-08-01
Italy,Fitch,BBB+,Stable,2014-09-01
Italy,Fitch,BBB+,Stable,2014-10-01
Italy,Fitch,BBB+,Stable,2015-10-01
Italy,Fitch,BBB+,Stable,2016-04-01
Italy,Fitch,BBB+,Stable,2016-07-01
Italy,Fitch,BBB+,Negative,2016-10-01
Italy,Fitch,BBB,Stable,2017-04-01
Italy,Fitch,BBB,Stable,2017-10-01
Italy,Fitch,BBB,Stable,2018-03-01
Italy,Fitch,BBB,Negative,2018-08-01
Italy,Fitch,BBB,Negative,2019-02-01
Italy,Fitch,BBB,Negative,2019-08-01
Italy,Fitch,BBB,Negative,2020-02-01
Italy,Fitch,BBB,Negative,2020-02-01
Italy,Fitch,BBB-,Stable,2020-04-01
Italy,Fitch,BBB-,Stable,2020-07-01
Italy,Fitch,BBB-,Stable,2020-12-01
Italy,Fitch,BBB-,Stable,2021-06-01
Italy,Fitch,BBB,Stable,2021-12-01
Italy,Fitch,BBB,Stable,2022-06-01
Italy,Fitch,BBB,Stable,2023-05-01
Italy,Fitch,BBB,Stable,2023-11-01
Italy,Fitch,BBB,Stable,2024-05-01
Italy,Fitch,BBB,Positive,2024-10-01
Italy,Fitch,BBB,Positive,2025-04-01
Italy,Fitch,BBB+,Stable,2025-09-01
Italy,Fitch,BBB+,Stable,2026-03-01
Italy,Moody's,Aaa,Stable,1986-10-01
Italy,Moody's,Aa1,Stable,1991-07-01
Italy,Moody's,Aa3,Stable,1992-08-01
Italy,Moody's,Aa3,Negative watch,1993-02-01
Italy,Moody's,A1,Positive watch,1996-05-01
Italy,Moody's,Aa3,Stable,1996-07-01
Italy,Moody's,Aa2,Stable,2002-05-01
Italy,Moody's,Aa2,Negative watch,2011-06-01
Italy,Moody's,A2,Negative,2011-10-01
Italy,Moody's,A3,Negative,2012-02-01
Italy,Moody's,Baa2,Negative,2012-07-01
Italy,Moody's,Baa2,Negative,2013-04-01
Italy,Moody's,Baa2,Stable,2014-02-01
Italy,Moody's,Baa2,Negative,2016-12-01
Italy,Moody's,Baa2,Negative,2017-10-01
Italy,Moody's,Baa3,Stable,2018-10-01
Italy,Moody's,Baa3,Stable,2020-11-01
Italy,Moody's,Baa3,Negative,2022-08-01
Italy,Moody's,Baa3,Stable,2023-11-01
Italy,Moody's,Baa3,Positive,2025-05-01
Italy,Moody's,Baa2,Stable,2025-11-01
Italy,S&P,AA+,Positive,1989-06-01
Italy,S&P,AA+,Stable,1991-05-01
Italy,S&P,AA+,Negative,1992-05-01
Italy,S&P,AA,Stable,1993-03-01
Italy,S&P,AA+,Stable,1993-03-01
Italy,S&P,AA,Negative,1995-02-01
Italy,S&P,AA,Negative,1996-05-01
Italy,S&P,AA,Stable,1998-05-01
Italy,S&P,AA,Negative,2003-01-01
Italy,S&P,AA-,Stable,2004-07-01
Italy,S&P,AA-,Negative,2005-08-01
Italy,S&P,AA-,Negative,2005-11-01
Italy,S&P,A+,Stable,2006-10-01
Italy,S&P,A+,Negative,2011-05-01
Italy,S&P,A,Negative,2011-09-01
Italy,S&P,A,Negative watch,2011-12-01
Italy,S&P,BBB+,Negative,2012-01-01
Italy,S&P,BBB,Negative,2013-07-01
Italy,S&P,BBB-,Stable,2014-12-01
Italy,S&P,BBB,Stable,2017-10-01
Italy,S&P,BBB,Negative,2018-10-01
Italy,S&P,BBB,Stable,2020-10-01
Italy,S&P,BBB+,Stable,2025-04-01
Italy,S&P,BBB+,Positive,2026-02-01
