Country,Agency,Rating,Outlook,Date
Ivory Coast,Fitch,B+,Stable,2015-12-01
Ivory Coast,Fitch,B+,Stable,2016-06-01
Ivory Coast,Fitch,B+,Stable,2016-07-01
Ivory Coast,Fitch,B+,Stable,2016-12-01
Ivory Coast,Fitch,B+,Stable,2017-08-01
Ivory Coast,Fitch,B+,Stable,2018-02-01
Ivory Coast,Fitch,B+,Stable,2019-05-01
Ivory Coast,Fitch,B+,Positive,2019-11-01
Ivory Coast,Fitch,B+,Positive,2020-06-01
Ivory Coast,Fitch,B+,Positive,2020-12-01
Ivory Coast,Fitch,BB-,Stable,2021-07-01
Ivory Coast,Fitch,BB-,Stable,2023-02-01
Ivory Coast,Fitch,BB-,Stable,2023-08-01
Ivory Coast,Fitch,BB-,Stable,2024-02-01
Ivory Coast,Fitch,BB-,Stable,2024-08-01
Ivory Coast,Fitch,BB-,Positive,2025-01-01
Ivory Coast,Fitch,BB-,Stable,2025-06-01
Ivory Coast,Fitch,BB,Stable,2025-12-01
Ivory Coast,Moody's,B1,Positive,2014-07-01
Ivory Coast,Moody's,Ba3,Stable,2015-11-01
Ivory Coast,Moody's,Ba3,Stable,2018-03-01
Ivory Coast,Moody's,Ba3,Under Review,2020-06-01
Ivory Coast,Moody's,Ba3,Stable,2020-08-01
Ivory Coast,Moody's,Ba3,Positive,2022-06-01
Ivory Coast,Moody's,Ba2,Stable,2024-03-01
Ivory Coast,Moody's,Ba2,Stable,2026-03-01
Ivory Coast,S&P,BB,Stable,2024-10-01
Ivory Coast,S&P,BB,NR,2025-03-01
Ivory Coast,S&P,BB,NR,2026-02-01
