Country,Agency,Rating,Outlook,Date
Jamaica,Fitch,B+,Stable,2006-08-01
Jamaica,Fitch,B,Negative,2008-11-01
Jamaica,Fitch,CCC,Negative,2009-11-01
Jamaica,Fitch,CCC,Negative,2010-01-01
Jamaica,Fitch,B-,Stable,2010-02-01
Jamaica,Fitch,B-,Stable,2011-02-01
Jamaica,Fitch,B-,Stable,2012-02-01
Jamaica,Fitch,B-,Stable,2014-02-01
Jamaica,Fitch,B-,Stable,2014-07-01
Jamaica,Fitch,B,Stable,2016-02-01
Jamaica,Fitch,B,Stable,2016-07-01
Jamaica,Fitch,B,Stable,2017-02-01
Jamaica,Fitch,B,Positive,2018-01-01
Jamaica,Fitch,B+,Stable,2019-01-01
Jamaica,Fitch,B+,Positive,2020-01-01
Jamaica,Fitch,B+,Positive,2020-01-01
Jamaica,Fitch,B+,Positive,2020-02-01
Jamaica,Fitch,B+,Positive,2020-02-01
Jamaica,Fitch,B+,Stable,2020-04-01
Jamaica,Fitch,B+,Stable,2020-04-01
Jamaica,Fitch,B+,Stable,2021-03-01
Jamaica,Fitch,B+,Stable,2022-03-01
Jamaica,Fitch,B+,Positive,2023-03-01
Jamaica,Fitch,BB-,Positive,2024-03-01
Jamaica,Fitch,BB-,Positive,2025-02-01
Jamaica,Fitch,BB-,Stable,2025-11-01
Jamaica,Fitch,BB-,Stable,2026-02-01
Jamaica,Moody's,Ba3,Stable,2001-05-01
Jamaica,Moody's,B1,Stable,2003-11-01
Jamaica,Moody's,B1,Under Review,2008-11-01
Jamaica,Moody's,B2,Stable,2009-03-01
Jamaica,Moody's,Caa1,Negative,2009-11-01
Jamaica,Moody's,Caa1,Stable,2010-01-01
Jamaica,Moody's,B3,Under Review,2013-02-01
Jamaica,Moody's,Caa3,Stable,2013-03-01
Jamaica,Moody's,Caa3,Positive,2014-02-01
Jamaica,Moody's,Caa2,Positive,2015-05-01
Jamaica,Moody's,B3,Stable,2016-11-01
Jamaica,Moody's,B3,Positive,2018-07-01
Jamaica,Moody's,B2,Stable,2019-12-01
Jamaica,Moody's,B2,Stable,2021-11-01
Jamaica,Moody's,B1,Positive,2023-10-01
Jamaica,Moody's,Ba3,Stable,2025-12-01
Jamaica,S&P,B,Stable,1999-11-01
Jamaica,S&P,B,Positive,2000-12-01
Jamaica,S&P,B+,Stable,2001-05-01
Jamaica,S&P,B+,Negative,2002-12-01
Jamaica,S&P,B,Stable,2003-07-01
Jamaica,S&P,B,Negative,2004-02-01
Jamaica,S&P,B,Stable,2004-12-01
Jamaica,S&P,B,Stable,2005-11-01
Jamaica,S&P,B,Stable,2006-04-01
Jamaica,S&P,B,Negative,2008-10-01
Jamaica,S&P,B-,Negative,2009-03-01
Jamaica,S&P,CCC+,Negative,2009-08-01
Jamaica,S&P,CCC,Negative,2009-11-01
Jamaica,S&P,B-,Stable,2010-02-01
Jamaica,S&P,B-,Negative,2011-10-01
Jamaica,S&P,B-,Negative,2012-08-01
Jamaica,S&P,CCC+,Stable,2013-03-01
Jamaica,S&P,B-,Stable,2013-09-01
Jamaica,S&P,B-,Positive,2014-09-01
Jamaica,S&P,B,Stable,2015-06-01
Jamaica,S&P,B,Positive,2018-09-01
Jamaica,S&P,NR,NR,2019-06-01
Jamaica,S&P,B+,Developing,2019-09-01
Jamaica,S&P,B+,Stable,2020-04-01
Jamaica,S&P,BB,Positive,2025-09-01
Jamaica,S&P,BB,Stable,2025-12-01
