Country,Agency,Rating,Outlook,Date
Japan,Fitch,AA+,Stable,2000-09-01
Japan,Fitch,AA+,Negative,2001-03-01
Japan,Fitch,AA,Negative,2001-11-01
Japan,Fitch,AA,Negative,2002-11-01
Japan,Fitch,AA,Stable,2005-05-01
Japan,Fitch,AA,Negative,2011-05-01
Japan,Fitch,AA,Negative,2011-10-01
Japan,Fitch,AA,Negative,2011-11-01
Japan,Fitch,AA,Negative,2011-12-01
Japan,Fitch,AA,Negative,2012-01-01
Japan,Fitch,AA,Negative,2012-02-01
Japan,Fitch,AA,Negative,2012-04-01
Japan,Fitch,A+,Negative,2012-05-01
Japan,Fitch,A+,Negative,2012-07-01
Japan,Fitch,A+,Negative,2012-08-01
Japan,Fitch,A+,Negative,2013-03-01
Japan,Fitch,A+,Negative,2013-05-01
Japan,Fitch,A+,Negative,2013-06-01
Japan,Fitch,A+,Negative,2013-07-01
Japan,Fitch,A+,Negative,2013-09-01
Japan,Fitch,A+,Negative,2013-10-01
Japan,Fitch,A+,Negative,2013-11-01
Japan,Fitch,A+,Negative,2013-12-01
Japan,Fitch,A+,Negative,2014-01-01
Japan,Fitch,A+,Negative,2014-02-01
Japan,Fitch,A+,Negative,2014-03-01
Japan,Fitch,A+,Negative,2014-04-01
Japan,Fitch,A+,Negative,2014-05-01
Japan,Fitch,A+,Negative,2014-06-01
Japan,Fitch,A+,Negative,2014-07-01
Japan,Fitch,A+,Negative,2014-08-01
Japan,Fitch,A+,Negative,2014-09-01
Japan,Fitch,A,Stable,2015-04-01
Japan,Fitch,A,Stable,2016-04-01
Japan,Fitch,A,Negative,2016-06-01
Japan,Fitch,A,Negative,2016-07-01
Japan,Fitch,A,Stable,2017-04-01
Japan,Fitch,A,Stable,2018-04-01
Japan,Fitch,A,Stable,2019-01-01
Japan,Fitch,A,Stable,2019-07-01
Japan,Fitch,A,Stable,2020-02-01
Japan,Fitch,A,Stable,2020-02-01
Japan,Fitch,A,Negative,2020-07-01
Japan,Fitch,A,Negative,2021-02-01
Japan,Fitch,A,Negative,2021-02-01
Japan,Fitch,A,Negative,2021-08-01
Japan,Fitch,A,Stable,2022-03-01
Japan,Fitch,A,Stable,2022-10-01
Japan,Fitch,A,Stable,2023-03-01
Japan,Fitch,A,Stable,2023-10-01
Japan,Fitch,A,Stable,2024-04-01
Japan,Fitch,A,Stable,2025-01-01
Japan,Fitch,A,Stable,2026-01-01
Japan,Moody's,Aa1,Stable,2002-10-01
Japan,Moody's,Aaa,Positive,2006-06-01
Japan,Moody's,Aaa,Under Review,2007-07-01
Japan,Moody's,Aaa,Stable,2007-10-01
Japan,Moody's,Aa2,Negative,2011-02-01
Japan,Moody's,Aa2,Under Review,2011-05-01
Japan,Moody's,Aa3,Stable,2011-08-01
Japan,Moody's,A1,Stable,2014-12-01
Japan,Moody's,A1,Stable,2016-08-01
Japan,Moody's,A1,Stable,2017-12-01
Japan,Moody's,A1,Stable,2019-10-01
Japan,Moody's,A1,Stable,2021-11-01
Japan,Moody's,A1,Stable,2023-11-01
Japan,Moody's,A1,Stable,2025-10-01
Japan,S&P,AAA,Stable,1989-06-01
Japan,S&P,AAA,Stable,1991-12-01
Japan,S&P,AAA,Stable,1992-07-01
Japan,S&P,AA+,Stable,2001-02-01
Japan,S&P,AA+,Negative,2001-09-01
Japan,S&P,AA,Negative,2001-11-01
Japan,S&P,AA-,Negative,2002-04-01
Japan,S&P,AA-,Stable,2004-03-01
Japan,S&P,AA-,Stable,2005-11-01
Japan,S&P,AA-,Positive,2006-05-01
Japan,S&P,AA,Stable,2007-04-01
Japan,S&P,AA,Negative,2010-01-01
Japan,S&P,AA-,Stable,2011-01-01
Japan,S&P,AA-,Negative,2011-04-01
Japan,S&P,A+,Stable,2015-09-01
Japan,S&P,A+,Positive,2018-04-01
Japan,S&P,A+,Stable,2020-06-01
