Country,Agency,Rating,Outlook,Date
Jordan,Fitch,BB-,Stable,2019-06-01
Jordan,Fitch,BB-,Negative,2020-05-01
Jordan,Fitch,BB-,Negative,2020-11-01
Jordan,Fitch,BB-,Negative,2021-06-01
Jordan,Fitch,BB-,Stable,2021-12-01
Jordan,Fitch,BB-,Stable,2022-08-01
Jordan,Fitch,BB-,Stable,2023-05-01
Jordan,Fitch,BB-,Stable,2023-11-01
Jordan,Fitch,BB-,Stable,2024-05-01
Jordan,Fitch,BB-,Stable,2025-05-01
Jordan,Moody's,Ba2,Stable,2003-11-01
Jordan,Moody's,Ba2,Negative,2006-01-01
Jordan,Moody's,Ba2,Stable,2007-01-01
Jordan,Moody's,Ba2,Negative,2011-02-01
Jordan,Moody's,B1,Stable,2013-06-01
Jordan,Moody's,B1,Stable,2016-11-01
Jordan,Moody's,B1,Stable,2018-11-01
Jordan,Moody's,B1,Stable,2019-01-01
Jordan,Moody's,B1,Stable,2020-11-01
Jordan,Moody's,B1,Positive,2022-11-01
Jordan,Moody's,Ba3,Stable,2024-05-01
Jordan,Moody's,Ba3,Stable,2026-04-01
Jordan,S&P,B+,Positive,1995-10-01
Jordan,S&P,BB-,Stable,1996-09-01
Jordan,S&P,BB-,Negative,1999-02-01
Jordan,S&P,BB-,Stable,1999-10-01
Jordan,S&P,BB-,Positive,2001-04-01
Jordan,S&P,BB-,Stable,2002-04-01
Jordan,S&P,BB,Stable,2003-07-01
Jordan,S&P,BB,Stable,2005-11-01
Jordan,S&P,BB,Stable,2006-04-01
Jordan,S&P,BB,Stable,2008-12-01
Jordan,S&P,BB,Stable,2010-03-01
Jordan,S&P,BB,Negative,2011-02-01
Jordan,S&P,BB,Negative,2011-11-01
Jordan,S&P,BB-,Negative,2013-05-01
Jordan,S&P,BB-,Stable,2014-10-01
Jordan,S&P,BB-,Negative,2016-04-01
Jordan,S&P,BB-,NR,2025-11-01
