Country,Agency,Rating,Outlook,Date
Kazakhstan,Fitch,BB-,Stable,2000-09-01
Kazakhstan,Fitch,BB,Stable,2001-07-01
Kazakhstan,Fitch,BB+,Stable,2002-10-01
Kazakhstan,Fitch,BB+,Positive,2003-11-01
Kazakhstan,Fitch,BBB-,Stable,2004-10-01
Kazakhstan,Fitch,BBB,Stable,2005-12-01
Kazakhstan,Fitch,BBB,Positive,2006-12-01
Kazakhstan,Fitch,BBB,Stable,2007-10-01
Kazakhstan,Fitch,BBB,Negative,2007-12-01
Kazakhstan,Fitch,BBB-,Negative,2008-11-01
Kazakhstan,Fitch,BBB-,Negative,2009-02-01
Kazakhstan,Fitch,BBB-,Negative,2009-06-01
Kazakhstan,Fitch,BBB-,Stable,2009-12-01
Kazakhstan,Fitch,BBB-,Positive,2010-12-01
Kazakhstan,Fitch,BBB+,Stable,2012-11-01
Kazakhstan,Fitch,BBB+,Stable,2013-11-01
Kazakhstan,Fitch,BBB+,Stable,2014-05-01
Kazakhstan,Fitch,BBB+,Stable,2014-10-01
Kazakhstan,Fitch,BBB+,Stable,2014-11-01
Kazakhstan,Fitch,BBB+,Stable,2015-10-01
Kazakhstan,Fitch,BBB,Stable,2016-04-01
Kazakhstan,Fitch,BBB,Stable,2016-07-01
Kazakhstan,Fitch,BBB,Stable,2016-10-01
Kazakhstan,Fitch,BBB,Stable,2017-04-01
Kazakhstan,Fitch,BBB,Stable,2017-10-01
Kazakhstan,Fitch,BBB,Stable,2017-10-01
Kazakhstan,Fitch,BBB,Stable,2018-04-01
Kazakhstan,Fitch,BBB,Stable,2019-03-01
Kazakhstan,Fitch,BBB,Stable,2019-09-01
Kazakhstan,Fitch,BBB,Stable,2020-02-01
Kazakhstan,Fitch,BBB,Positive,2020-02-01
Kazakhstan,Fitch,BBB,Stable,2020-02-01
Kazakhstan,Fitch,BBB,Positive,2020-02-01
Kazakhstan,Fitch,BBB,Stable,2020-08-01
Kazakhstan,Fitch,BBB,Stable,2021-02-01
Kazakhstan,Fitch,BBB,Stable,2021-08-01
Kazakhstan,Fitch,BBB,Stable,2022-02-01
Kazakhstan,Fitch,BBB,Stable,2022-06-01
Kazakhstan,Fitch,BBB,Stable,2023-05-01
Kazakhstan,Fitch,BBB,Stable,2023-11-01
Kazakhstan,Fitch,BBB,Stable,2024-05-01
Kazakhstan,Fitch,BBB,Stable,2024-11-01
Kazakhstan,Fitch,BBB,Stable,2025-07-01
Kazakhstan,Moody's,Baa3,Stable,2003-04-01
Kazakhstan,Moody's,Baa3,Positive,2004-07-01
Kazakhstan,Moody's,Baa3,Stable,2006-05-01
Kazakhstan,Moody's,Baa2,Negative,2009-05-01
Kazakhstan,Moody's,Baa2,Stable,2010-04-01
Kazakhstan,Moody's,Baa2,Positive,2013-08-01
Kazakhstan,Moody's,Baa2,Stable,2015-03-01
Kazakhstan,Moody's,Baa2,Under Review,2016-03-01
Kazakhstan,Moody's,Baa3,Negative,2016-04-01
Kazakhstan,Moody's,Baa3,Stable,2017-07-01
Kazakhstan,Moody's,Baa3,Stable,2019-01-01
Kazakhstan,Moody's,Baa3,Positive,2019-08-01
Kazakhstan,Moody's,Baa3,Positive,2019-09-01
Kazakhstan,Moody's,Baa2,Stable,2021-08-01
Kazakhstan,Moody's,Baa2,Stable,2023-10-01
Kazakhstan,Moody's,Baa1,Stable,2024-09-01
Kazakhstan,S&P,BB-,Stable,1996-11-01
Kazakhstan,S&P,B+,Negative,1998-09-01
Kazakhstan,S&P,B+,Stable,1999-12-01
Kazakhstan,S&P,BB-,Stable,2000-07-01
Kazakhstan,S&P,BB,Stable,2001-05-01
Kazakhstan,S&P,BB,Positive,2002-06-01
Kazakhstan,S&P,BB+,Stable,2003-05-01
Kazakhstan,S&P,BBB-,Stable,2004-05-01
Kazakhstan,S&P,BBB-,Stable,2005-11-01
Kazakhstan,S&P,BBB-,Stable,2005-11-01
Kazakhstan,S&P,BBB-,Positive,2006-06-01
Kazakhstan,S&P,BBB,Stable,2006-11-01
Kazakhstan,S&P,BBB,Negative watch,2007-10-01
Kazakhstan,S&P,BBB-,Stable,2007-10-01
Kazakhstan,S&P,BBB-,Negative,2008-04-01
Kazakhstan,S&P,BBB-,Stable,2009-05-01
Kazakhstan,S&P,BBB,Stable,2010-12-01
Kazakhstan,S&P,BBB+,Stable,2011-11-01
Kazakhstan,S&P,BBB+,Negative,2014-06-01
Kazakhstan,S&P,BBB,Negative,2015-02-01
Kazakhstan,S&P,BBB-,Negative,2016-02-01
Kazakhstan,S&P,BBB-,Stable,2017-09-01
Kazakhstan,S&P,BBB-,Developing,2019-10-01
Kazakhstan,S&P,BBB-,NR,2025-07-01
Kazakhstan,S&P,BBB-,Positive,2025-08-01
Kazakhstan,S&P,BBB-,NR,2025-10-01
