Country,Agency,Rating,Outlook,Date
Kenya,Fitch,B+,Stable,2007-12-01
Kenya,Fitch,B+,Negative,2008-01-01
Kenya,Fitch,B+,Stable,2009-01-01
Kenya,Fitch,B+,Stable,2011-08-01
Kenya,Fitch,B+,Stable,2012-08-01
Kenya,Fitch,B+,Stable,2013-08-01
Kenya,Fitch,B+,Stable,2014-01-01
Kenya,Fitch,B+,Stable,2014-06-01
Kenya,Fitch,B+,Stable,2014-07-01
Kenya,Fitch,B+,Negative,2015-07-01
Kenya,Fitch,B+,Negative,2016-07-01
Kenya,Fitch,B+,Negative,2016-12-01
Kenya,Fitch,B+,Negative,2017-07-01
Kenya,Fitch,B+,Stable,2018-02-01
Kenya,Fitch,B+,Stable,2019-04-01
Kenya,Fitch,B+,Developing,2019-05-01
Kenya,Fitch,B+,Stable,2019-05-01
Kenya,Fitch,B+,Stable,2019-12-01
Kenya,Fitch,B+,Negative,2020-06-01
Kenya,Fitch,B+,Negative,2021-03-01
Kenya,Fitch,B+,Negative,2022-03-01
Kenya,Fitch,B,Negative,2023-07-01
Kenya,Fitch,B,Negative,2024-02-01
Kenya,Fitch,B-,Stable,2024-08-01
Kenya,Fitch,B-,Stable,2025-01-01
Kenya,Fitch,B-,Stable,2025-07-01
Kenya,Fitch,B-,Stable,2026-01-01
Kenya,Moody's,B1,Stable,2012-11-01
Kenya,Moody's,B1,Stable,2016-02-01
Kenya,Moody's,B1,Negative watch,2017-10-01
Kenya,Moody's,B2,Stable,2018-02-01
Kenya,Moody's,B2,Negative,2021-05-01
Kenya,Moody's,B3,Negative watch,2023-05-01
Kenya,Moody's,B3,Negative,2023-07-01
Kenya,Moody's,Caa1,Negative,2024-07-01
Kenya,Moody's,Caa1,Positive,2025-01-01
Kenya,Moody's,Caa1,Stable,2026-01-01
Kenya,Moody's,B3,Stable,2026-01-01
Kenya,S&P,B+,Stable,2006-09-01
Kenya,S&P,B+,Negative watch,2008-01-01
Kenya,S&P,B,Negative,2008-02-01
Kenya,S&P,B,Stable,2008-03-01
Kenya,S&P,B,Positive,2008-08-01
Kenya,S&P,B+,Stable,2010-11-01
Kenya,S&P,B+,Negative,2015-10-01
Kenya,S&P,B+,Stable,2016-10-01
Kenya,S&P,B+,Developing,2019-05-01
Kenya,S&P,NR,NR,2019-06-01
Kenya,S&P,B+,Negative,2020-07-01
Kenya,S&P,B,Stable,2021-03-01
Kenya,S&P,B,Negative,2023-02-01
Kenya,S&P,B-,NR,2025-02-01
Kenya,S&P,B-,NR,2025-04-01
Kenya,S&P,B,Stable,2025-08-01
Kenya,S&P,B,NR,2025-10-01
Kenya,S&P,B,NR,2026-02-01
