Country,Agency,Rating,Outlook,Date
Kuwait,Fitch,A,Positive,2000-09-01
Kuwait,Fitch,A+,Positive,2001-06-01
Kuwait,Fitch,A+,Positive,2001-08-01
Kuwait,Fitch,AA-,Stable,2002-06-01
Kuwait,Fitch,AA,Stable,2008-09-01
Kuwait,Fitch,AA,Stable,2011-07-01
Kuwait,Fitch,AA,Stable,2012-07-01
Kuwait,Fitch,AA,Stable,2013-07-01
Kuwait,Fitch,AA,Stable,2013-12-01
Kuwait,Fitch,AA,Stable,2014-06-01
Kuwait,Fitch,AA,Stable,2015-12-01
Kuwait,Fitch,AA,Stable,2016-07-01
Kuwait,Fitch,AA,Stable,2016-11-01
Kuwait,Fitch,AA,Stable,2017-10-01
Kuwait,Fitch,AA,Stable,2018-05-01
Kuwait,Fitch,AA,Stable,2019-04-01
Kuwait,Fitch,AA,Negative,2021-02-01
Kuwait,Fitch,AA-,Stable,2022-01-01
Kuwait,Fitch,AA-,Stable,2023-09-01
Kuwait,Fitch,AA-,Stable,2024-03-01
Kuwait,Fitch,AA-,Stable,2024-09-01
Kuwait,Fitch,AA-,Stable,2025-03-01
Kuwait,Fitch,AA-,Stable,2025-09-01
Kuwait,Moody's,Baa1,Positive,1999-11-01
Kuwait,Moody's,A2,Stable,2003-11-01
Kuwait,Moody's,A2,Positive,2006-02-01
Kuwait,Moody's,A2,Under Review,2006-09-01
Kuwait,Moody's,Aa3,Stable,2006-10-01
Kuwait,Moody's,Aa2,Under Review,2009-03-01
Kuwait,Moody's,Aa2,Negative,2009-06-01
Kuwait,Moody's,Aa2,Stable,2010-08-01
Kuwait,Moody's,Aa2,Stable,2014-03-01
Kuwait,Moody's,Aa2,Under Review,2016-03-01
Kuwait,Moody's,Aa2,Negative,2016-05-01
Kuwait,Moody's,Aa2,Stable,2017-05-01
Kuwait,Moody's,Aa2,Stable,2019-01-01
Kuwait,Moody's,Aa2,Stable,2019-05-01
Kuwait,Moody's,Aa2,Under Review,2020-03-01
Kuwait,Moody's,Aa2,Under Review,2020-03-01
Kuwait,Moody's,A1,Stable,2020-09-01
Kuwait,Moody's,A1,Stable,2022-05-01
Kuwait,Moody's,A1,Stable,2024-05-01
Kuwait,S&P,A,Stable,1997-10-01
Kuwait,S&P,A+,Stable,2002-04-01
Kuwait,S&P,A+,Stable,2005-11-01
Kuwait,S&P,A+,Stable,2006-04-01
Kuwait,S&P,AA-,Stable,2007-07-01
Kuwait,S&P,AA,Stable,2011-07-01
Kuwait,S&P,AA-,Stable,2020-03-01
Kuwait,S&P,AA-,Stable,2020-03-01
Kuwait,S&P,AA-,Negative,2020-07-01
Kuwait,S&P,A+,NR,2025-10-01
Kuwait,S&P,AA-,Stable,2025-11-01
