Country,Agency,Rating,Outlook,Date
Kyrgyzstan,Fitch,B,Stable,2025-04-01
Kyrgyzstan,Fitch,B,Stable,2025-05-01
Kyrgyzstan,Fitch,B,Stable,2026-01-01
Kyrgyzstan,Moody's,B2,Stable,2015-12-01
Kyrgyzstan,Moody's,B2,Stable,2017-11-01
Kyrgyzstan,Moody's,B2,Stable,2019-01-01
Kyrgyzstan,Moody's,B2,Stable,2019-03-01
Kyrgyzstan,Moody's,B2,Negative,2020-11-01
Kyrgyzstan,Moody's,B3,Stable,2022-01-01
Kyrgyzstan,Moody's,B3,Under Review,2022-03-01
Kyrgyzstan,Moody's,B3,Negative,2022-11-01
Kyrgyzstan,Moody's,B3,Stable,2024-05-01
Kyrgyzstan,Moody's,B3,Positive,2025-07-01
Kyrgyzstan,S&P,B,Stable,2015-12-01
Kyrgyzstan,S&P,NR,NR,2016-09-01
Kyrgyzstan,S&P,B+,Stable,2025-03-01
Kyrgyzstan,S&P,B+,NR,2025-05-01
