Country,Agency,Rating,Outlook,Date
Latvia,Fitch,BBB,Stable,2000-09-01
Latvia,Fitch,BBB,Positive,2001-07-01
Latvia,Fitch,BBB+,Stable,2003-07-01
Latvia,Fitch,BBB+,Positive,2003-11-01
Latvia,Fitch,A-,Positive,2004-07-01
Latvia,Fitch,A-,Stable,2005-08-01
Latvia,Fitch,A-,Negative,2007-04-01
Latvia,Fitch,BBB+,Stable,2007-08-01
Latvia,Fitch,BBB+,Negative,2008-01-01
Latvia,Fitch,BBB,Negative,2008-10-01
Latvia,Fitch,BBB-,Negative,2008-11-01
Latvia,Fitch,BBB-,Negative,2008-12-01
Latvia,Fitch,BB+,Negative,2009-04-01
Latvia,Fitch,BB+,Stable,2010-09-01
Latvia,Fitch,BBB-,Positive,2011-03-01
Latvia,Fitch,BBB-,Stable,2011-12-01
Latvia,Fitch,BBB-,Stable,2012-01-01
Latvia,Fitch,BBB-,Stable,2012-02-01
Latvia,Fitch,BBB-,Stable,2012-05-01
Latvia,Fitch,BBB-,Stable,2012-06-01
Latvia,Fitch,BBB-,Stable,2012-08-01
Latvia,Fitch,BBB+,Stable,2013-07-01
Latvia,Fitch,BBB+,Stable,2013-08-01
Latvia,Fitch,BBB+,Stable,2013-10-01
Latvia,Fitch,BBB+,Stable,2013-11-01
Latvia,Fitch,BBB+,Stable,2014-01-01
Latvia,Fitch,BBB+,Stable,2014-02-01
Latvia,Fitch,BBB+,Stable,2014-03-01
Latvia,Fitch,BBB+,Stable,2014-04-01
Latvia,Fitch,A-,Stable,2014-06-01
Latvia,Fitch,A-,Stable,2014-07-01
Latvia,Fitch,A-,Stable,2014-09-01
Latvia,Fitch,A-,Stable,2015-11-01
Latvia,Fitch,A-,Stable,2016-05-01
Latvia,Fitch,A-,Stable,2016-07-01
Latvia,Fitch,A-,Stable,2016-11-01
Latvia,Fitch,A-,Stable,2017-04-01
Latvia,Fitch,A-,Stable,2017-10-01
Latvia,Fitch,A-,Stable,2018-04-01
Latvia,Fitch,A-,Stable,2019-04-01
Latvia,Fitch,A-,Stable,2019-10-01
Latvia,Fitch,A-,Negative,2020-04-01
Latvia,Fitch,A-,Negative,2020-04-01
Latvia,Fitch,A-,Stable,2020-10-01
Latvia,Fitch,A-,Stable,2021-03-01
Latvia,Fitch,A-,Stable,2021-03-01
Latvia,Fitch,A-,Stable,2021-09-01
Latvia,Fitch,A-,Stable,2022-02-01
Latvia,Fitch,A-,Stable,2023-02-01
Latvia,Fitch,A-,Positive,2023-07-01
Latvia,Fitch,A-,Positive,2024-01-01
Latvia,Fitch,A-,Positive,2024-07-01
Latvia,Fitch,A-,Stable,2024-11-01
Latvia,Fitch,A-,Stable,2025-05-01
Latvia,Fitch,A-,Stable,2025-11-01
Latvia,Fitch,A-,Stable,2026-04-01
Latvia,Moody's,Baa2,Stable,1997-12-01
Latvia,Moody's,A2,Stable,2002-11-01
Latvia,Moody's,A2,Stable,2003-11-01
Latvia,Moody's,A2,Positive,2006-03-01
Latvia,Moody's,A2,Stable,2007-09-01
Latvia,Moody's,A2,Negative,2008-09-01
Latvia,Moody's,A3,Negative,2008-11-01
Latvia,Moody's,Baa1,Negative,2009-01-01
Latvia,Moody's,Baa3,Negative,2009-04-01
Latvia,Moody's,Baa3,Stable,2010-03-01
Latvia,Moody's,Baa3,Positive,2011-06-01
Latvia,Moody's,Baa2,Positive,2013-03-01
Latvia,Moody's,Baa1,Stable,2014-06-01
Latvia,Moody's,A3,Stable,2015-02-01
Latvia,Moody's,A3,Stable,2017-07-01
Latvia,Moody's,A3,Stable,2019-05-01
Latvia,Moody's,A3,Stable,2021-05-01
Latvia,Moody's,A3,Stable,2022-04-01
Latvia,Moody's,A3,Stable,2024-01-01
Latvia,Moody's,A3,Stable,2026-01-01
Latvia,S&P,BBB,Stable,1997-01-01
Latvia,S&P,BBB,Positive,2001-08-01
Latvia,S&P,BBB+,Stable,2002-08-01
Latvia,S&P,BBB+,Positive,2003-07-01
Latvia,S&P,A-,Stable,2004-07-01
Latvia,S&P,A-,Stable,2005-11-01
Latvia,S&P,A-,Negative,2007-02-01
Latvia,S&P,BBB+,Negative,2007-05-01
Latvia,S&P,BBB,Negative,2008-10-01
Latvia,S&P,BBB-,Negative watch,2008-11-01
Latvia,S&P,BB+,Negative,2009-02-01
Latvia,S&P,BB+,Negative watch,2009-06-01
Latvia,S&P,BB,Negative,2009-08-01
Latvia,S&P,BB,Stable,2010-02-01
Latvia,S&P,BB+,Stable,2010-12-01
Latvia,S&P,BB+,Positive,2011-03-01
Latvia,S&P,BBB-,Stable,2012-05-01
Latvia,S&P,BBB,Positive,2012-11-01
Latvia,S&P,BBB+,Stable,2013-06-01
Latvia,S&P,BBB+,Stable,2013-07-01
Latvia,S&P,BBB+,Positive,2013-12-01
Latvia,S&P,A-,Stable,2014-05-01
Latvia,S&P,A-,Positive,2017-09-01
Latvia,S&P,NR,NR,2020-01-01
Latvia,S&P,NR,NR,2020-01-01
Latvia,S&P,A-,Stable,2022-08-01
Latvia,S&P,A,NR,2026-07-01
