Country,Agency,Rating,Outlook,Date
Lithuania,Fitch,BB+,Stable,2000-09-01
Lithuania,Fitch,BBB-,Stable,2001-05-01
Lithuania,Fitch,BBB-,Positive,2002-02-01
Lithuania,Fitch,BBB,Stable,2002-12-01
Lithuania,Fitch,BBB,Positive,2003-11-01
Lithuania,Fitch,BBB+,Positive,2004-01-01
Lithuania,Fitch,A-,Positive,2004-07-01
Lithuania,Fitch,A,Stable,2006-10-01
Lithuania,Fitch,A,Negative,2007-12-01
Lithuania,Fitch,A-,Negative,2008-10-01
Lithuania,Fitch,BBB+,Negative,2008-12-01
Lithuania,Fitch,BBB,Negative,2009-04-01
Lithuania,Fitch,BBB,Stable,2010-03-01
Lithuania,Fitch,BBB,Positive,2011-05-01
Lithuania,Fitch,BBB,Stable,2011-12-01
Lithuania,Fitch,BBB,Stable,2012-01-01
Lithuania,Fitch,BBB,Stable,2012-02-01
Lithuania,Fitch,BBB,Stable,2012-05-01
Lithuania,Fitch,BBB,Stable,2012-06-01
Lithuania,Fitch,BBB,Stable,2013-02-01
Lithuania,Fitch,BBB+,Stable,2013-04-01
Lithuania,Fitch,BBB+,Stable,2013-07-01
Lithuania,Fitch,BBB+,Stable,2013-10-01
Lithuania,Fitch,BBB+,Stable,2013-12-01
Lithuania,Fitch,BBB+,Stable,2014-01-01
Lithuania,Fitch,BBB+,Stable,2014-03-01
Lithuania,Fitch,A-,Stable,2014-06-01
Lithuania,Fitch,A-,Stable,2014-10-01
Lithuania,Fitch,A-,Stable,2015-09-01
Lithuania,Fitch,A-,Stable,2016-03-01
Lithuania,Fitch,A-,Stable,2016-07-01
Lithuania,Fitch,A-,Stable,2016-09-01
Lithuania,Fitch,A-,Stable,2017-03-01
Lithuania,Fitch,A-,Stable,2017-08-01
Lithuania,Fitch,A-,Stable,2018-02-01
Lithuania,Fitch,A-,Positive,2018-08-01
Lithuania,Fitch,A-,Positive,2019-02-01
Lithuania,Fitch,A-,Positive,2019-08-01
Lithuania,Fitch,A,Stable,2020-02-01
Lithuania,Fitch,A,Stable,2020-02-01
Lithuania,Fitch,A,Stable,2020-07-01
Lithuania,Fitch,A,Stable,2021-01-01
Lithuania,Fitch,A,Stable,2021-07-01
Lithuania,Fitch,A,Stable,2021-12-01
Lithuania,Fitch,A,Stable,2022-06-01
Lithuania,Fitch,A,Stable,2023-05-01
Lithuania,Fitch,A,Stable,2023-11-01
Lithuania,Fitch,A,Stable,2024-05-01
Lithuania,Fitch,A,Stable,2024-11-01
Lithuania,Fitch,A,Stable,2025-05-01
Lithuania,Fitch,A,Stable,2025-10-01
Lithuania,Moody's,Ba2,Stable,1996-09-01
Lithuania,Moody's,Ba1,Stable,1997-12-01
Lithuania,Moody's,Ba1,Positive,2002-04-01
Lithuania,Moody's,Baa1,Stable,2002-11-01
Lithuania,Moody's,Baa1,Positive watch,2003-08-01
Lithuania,Moody's,A3,Positive,2003-12-01
Lithuania,Moody's,A3,Positive watch,2006-03-01
Lithuania,Moody's,A2,Stable,2006-09-01
Lithuania,Moody's,A2,Negative,2008-11-01
Lithuania,Moody's,A2,Negative watch,2009-02-01
Lithuania,Moody's,A3,Negative,2009-04-01
Lithuania,Moody's,Baa1,Negative,2009-09-01
Lithuania,Moody's,Baa1,Stable,2010-03-01
Lithuania,Moody's,Baa1,Positive,2014-09-01
Lithuania,Moody's,A3,Stable,2015-05-01
Lithuania,Moody's,A3,Stable,2017-09-01
Lithuania,Moody's,A3,Positive,2019-08-01
Lithuania,Moody's,A2,Stable,2021-02-01
Lithuania,Moody's,A2,Stable,2021-02-01
Lithuania,Moody's,A2,Stable,2022-04-01
Lithuania,Moody's,A2,Stable,2024-04-01
Lithuania,S&P,BBB-,Stable,1997-06-01
Lithuania,S&P,BBB,Stable,2002-04-01
Lithuania,S&P,BBB+,Stable,2003-02-01
Lithuania,S&P,BBB+,Positive,2003-07-01
Lithuania,S&P,A-,Stable,2004-02-01
Lithuania,S&P,A-,Positive,2005-02-01
Lithuania,S&P,A-,Positive,2005-11-01
Lithuania,S&P,A,Positive,2005-12-01
Lithuania,S&P,A,Stable,2006-05-01
Lithuania,S&P,A,Negative,2007-05-01
Lithuania,S&P,A,Negative watch,2008-01-01
Lithuania,S&P,A-,Negative,2008-01-01
Lithuania,S&P,BBB+,Negative,2008-10-01
Lithuania,S&P,BBB+,Negative watch,2009-02-01
Lithuania,S&P,BBB,Negative,2009-03-01
Lithuania,S&P,BBB,Negative watch,2009-08-01
Lithuania,S&P,BBB,Negative,2009-08-01
Lithuania,S&P,BBB,Stable,2010-02-01
Lithuania,S&P,BBB,Stable,2012-08-01
Lithuania,S&P,BBB,Positive,2013-10-01
Lithuania,S&P,A-,Stable,2014-04-01
Lithuania,S&P,A-,Stable,2014-10-01
Lithuania,S&P,A-,Positive,2017-09-01
Lithuania,S&P,A,Stable,2018-03-01
Lithuania,S&P,NR,NR,2020-02-01
Lithuania,S&P,NR,NR,2020-02-01
Lithuania,S&P,A+,Stable,2025-09-01
