Country,Agency,Rating,Outlook,Date
Luxembourg,Fitch,AAA,Stable,2000-09-01
Luxembourg,Fitch,AAA,Stable,2011-09-01
Luxembourg,Fitch,AAA,Stable,2012-09-01
Luxembourg,Fitch,AAA,Stable,2013-07-01
Luxembourg,Fitch,AAA,Stable,2013-08-01
Luxembourg,Fitch,AAA,Stable,2014-01-01
Luxembourg,Fitch,AAA,Stable,2014-07-01
Luxembourg,Fitch,AAA,Stable,2016-01-01
Luxembourg,Fitch,AAA,Stable,2016-04-01
Luxembourg,Fitch,AAA,Stable,2016-07-01
Luxembourg,Fitch,AAA,Stable,2016-10-01
Luxembourg,Fitch,AAA,Stable,2017-04-01
Luxembourg,Fitch,AAA,Stable,2017-10-01
Luxembourg,Fitch,AAA,Stable,2018-04-01
Luxembourg,Fitch,AAA,Stable,2019-03-01
Luxembourg,Fitch,AAA,Stable,2019-09-01
Luxembourg,Fitch,AAA,Stable,2020-03-01
Luxembourg,Fitch,AAA,Stable,2020-09-01
Luxembourg,Fitch,AAA,Stable,2021-08-01
Luxembourg,Fitch,AAA,Stable,2021-12-01
Luxembourg,Fitch,AAA,Stable,2022-02-01
Luxembourg,Fitch,AAA,Stable,2022-07-01
Luxembourg,Fitch,AAA,Stable,2023-01-01
Luxembourg,Fitch,AAA,Stable,2023-06-01
Luxembourg,Fitch,AAA,Stable,2023-12-01
Luxembourg,Fitch,AAA,Stable,2024-05-01
Luxembourg,Fitch,AAA,Stable,2024-11-01
Luxembourg,Fitch,AAA,Stable,2025-10-01
Luxembourg,Moody's,Aaa,Stable,1989-09-01
Luxembourg,Moody's,Aaa,Stable,2003-11-01
Luxembourg,Moody's,Aaa,Negative,2012-07-01
Luxembourg,Moody's,Aaa,Stable,2014-02-01
Luxembourg,Moody's,Aaa,Stable,2017-03-01
Luxembourg,Moody's,Aaa,Stable,2019-08-01
Luxembourg,Moody's,AAA,Stable,2023-03-01
Luxembourg,Moody's,Aaa,Stable,2025-02-01
Luxembourg,S&P,AAA,Stable,1994-04-01
Luxembourg,S&P,AAA,Stable,2005-11-01
Luxembourg,S&P,AAA,Negative watch,2011-12-01
Luxembourg,S&P,AAA,Negative,2012-01-01
Luxembourg,S&P,AAA,Stable,2013-01-01
