Country,Agency,Rating,Outlook,Date
Malaysia,Fitch,BBB-,Positive,1999-09-01
Malaysia,Fitch,BBB,Positive,2000-09-01
Malaysia,Fitch,BBB,Stable,2001-09-01
Malaysia,Fitch,BBB,Positive,2002-04-01
Malaysia,Fitch,BBB+,Stable,2002-08-01
Malaysia,Fitch,BBB+,Positive,2004-04-01
Malaysia,Fitch,A-,Stable,2004-11-01
Malaysia,Fitch,A-,Positive,2008-01-01
Malaysia,Fitch,A-,Stable,2008-11-01
Malaysia,Fitch,A-,Stable,2009-02-01
Malaysia,Fitch,A-,Stable,2009-06-01
Malaysia,Fitch,A-,Stable,2011-08-01
Malaysia,Fitch,A-,Stable,2011-10-01
Malaysia,Fitch,A-,Stable,2011-12-01
Malaysia,Fitch,A-,Stable,2012-01-01
Malaysia,Fitch,A-,Stable,2012-02-01
Malaysia,Fitch,A-,Stable,2012-04-01
Malaysia,Fitch,A-,Stable,2012-05-01
Malaysia,Fitch,A-,Stable,2012-07-01
Malaysia,Fitch,A-,Stable,2012-08-01
Malaysia,Fitch,A-,Stable,2013-03-01
Malaysia,Fitch,A-,Stable,2013-05-01
Malaysia,Fitch,A-,Stable,2013-06-01
Malaysia,Fitch,A-,Negative,2013-07-01
Malaysia,Fitch,A-,Negative,2013-08-01
Malaysia,Fitch,A-,Negative,2013-10-01
Malaysia,Fitch,A-,Negative,2013-11-01
Malaysia,Fitch,A-,Negative,2013-12-01
Malaysia,Fitch,A-,Negative,2014-01-01
Malaysia,Fitch,A-,Negative,2014-02-01
Malaysia,Fitch,A-,Negative,2014-03-01
Malaysia,Fitch,A-,Negative,2014-04-01
Malaysia,Fitch,A-,Negative,2014-05-01
Malaysia,Fitch,A-,Negative,2014-06-01
Malaysia,Fitch,A-,Negative,2014-07-01
Malaysia,Fitch,A-,Negative,2014-08-01
Malaysia,Fitch,A-,Negative,2014-09-01
Malaysia,Fitch,A-,Stable,2016-02-01
Malaysia,Fitch,A-,Stable,2016-07-01
Malaysia,Fitch,A-,Stable,2016-08-01
Malaysia,Fitch,A-,Stable,2017-08-01
Malaysia,Fitch,A-,Stable,2018-03-01
Malaysia,Fitch,A-,Stable,2018-08-01
Malaysia,Fitch,A-,Stable,2019-02-01
Malaysia,Fitch,A-,Stable,2019-07-01
Malaysia,Fitch,A-,Negative,2020-04-01
Malaysia,Fitch,A-,Negative,2020-04-01
Malaysia,Fitch,BBB+,Stable,2020-12-01
Malaysia,Fitch,BBB+,Stable,2021-07-01
Malaysia,Fitch,BBB+,Stable,2022-02-01
Malaysia,Fitch,BBB+,Stable,2023-02-01
Malaysia,Fitch,BBB+,Stable,2023-12-01
Malaysia,Fitch,BBB+,Stable,2024-07-01
Malaysia,Fitch,BBB+,Stable,2024-12-01
Malaysia,Fitch,BBB+,Stable,2025-12-01
Malaysia,Moody's,Baa3,Negative,1998-12-01
Malaysia,Moody's,Baa3,Stable,1999-04-01
Malaysia,Moody's,Baa2,Positive,2002-04-01
Malaysia,Moody's,Baa1,Stable,2003-11-01
Malaysia,Moody's,Baa1,Positive,2004-02-01
Malaysia,Moody's,Baa1,Under Review,2004-09-01
Malaysia,Moody's,A3,Stable,2004-12-01
Malaysia,Moody's,A3,Positive,2013-11-01
Malaysia,Moody's,A3,Positive,2015-01-01
Malaysia,Moody's,A3,Stable,2016-01-01
Malaysia,Moody's,A3,Stable,2017-12-01
Malaysia,Moody's,A3,Stable,2018-12-01
Malaysia,Moody's,A3,Stable,2021-01-01
Malaysia,Moody's,A3,Stable,2023-04-01
Malaysia,Moody's,A3,Stable,2026-07-01
Malaysia,S&P,A-,Positive,1989-06-01
Malaysia,S&P,A,Stable,1991-07-01
Malaysia,S&P,A,Positive,1993-01-01
Malaysia,S&P,A,Positive,1993-06-01
Malaysia,S&P,A+,Stable,1994-12-01
Malaysia,S&P,A+,Positive,1996-03-01
Malaysia,S&P,A+,Stable,1997-08-01
Malaysia,S&P,A+,Negative,1997-09-01
Malaysia,S&P,A,Negative,1997-12-01
Malaysia,S&P,A-,Stable,1998-04-01
Malaysia,S&P,BBB+,Negative,1998-07-01
Malaysia,S&P,BBB-,Negative,1998-09-01
Malaysia,S&P,BBB-,Stable,1999-03-01
Malaysia,S&P,BBB,Stable,1999-11-01
Malaysia,S&P,BBB,Positive,2000-08-01
Malaysia,S&P,BBB,Stable,2001-04-01
Malaysia,S&P,BBB,Positive,2002-03-01
Malaysia,S&P,BBB+,Stable,2002-08-01
Malaysia,S&P,A-,Stable,2003-10-01
Malaysia,S&P,A-,Stable,2005-11-01
Malaysia,S&P,A-,Stable,2005-11-01
Malaysia,S&P,A-,Positive,2007-07-01
Malaysia,S&P,A-,Stable,2008-05-01
Malaysia,S&P,A-,Stable,2011-07-01
Malaysia,S&P,A-,Negative,2020-06-01
