Country,Agency,Rating,Outlook,Date
Malta,Fitch,A,Stable,2000-09-01
Malta,Fitch,A,Positive,2003-11-01
Malta,Fitch,A+,Stable,2007-07-01
Malta,Fitch,A+,Stable,2011-04-01
Malta,Fitch,A+,Stable,2011-11-01
Malta,Fitch,A+,Stable,2011-12-01
Malta,Fitch,A+,Stable,2012-01-01
Malta,Fitch,A+,Stable,2012-02-01
Malta,Fitch,A+,Stable,2012-05-01
Malta,Fitch,A+,Stable,2012-07-01
Malta,Fitch,A+,Stable,2012-08-01
Malta,Fitch,A+,Stable,2012-09-01
Malta,Fitch,A+,Stable,2013-03-01
Malta,Fitch,A+,Stable,2013-06-01
Malta,Fitch,A+,Stable,2013-07-01
Malta,Fitch,A,Stable,2013-09-01
Malta,Fitch,A,Stable,2013-10-01
Malta,Fitch,A,Stable,2013-11-01
Malta,Fitch,A,Stable,2013-12-01
Malta,Fitch,A,Stable,2014-01-01
Malta,Fitch,A,Stable,2014-03-01
Malta,Fitch,A,Stable,2014-04-01
Malta,Fitch,A,Stable,2014-05-01
Malta,Fitch,A,Stable,2014-06-01
Malta,Fitch,A,Stable,2014-07-01
Malta,Fitch,A,Stable,2014-08-01
Malta,Fitch,A,Stable,2014-09-01
Malta,Fitch,A,Stable,2014-10-01
Malta,Fitch,A,Stable,2016-02-01
Malta,Fitch,A,Stable,2016-07-01
Malta,Fitch,A,Positive,2016-08-01
Malta,Fitch,A,Positive,2017-02-01
Malta,Fitch,A+,Stable,2017-08-01
Malta,Fitch,A+,Stable,2018-02-01
Malta,Fitch,A+,Stable,2018-08-01
Malta,Fitch,A+,Stable,2019-02-01
Malta,Fitch,A+,Positive,2019-07-01
Malta,Fitch,A+,Positive,2020-01-01
Malta,Fitch,A+,Positive,2020-01-01
Malta,Fitch,A+,Stable,2020-04-01
Malta,Fitch,A+,Stable,2020-07-01
Malta,Fitch,A+,Stable,2020-12-01
Malta,Fitch,A+,Stable,2021-06-01
Malta,Fitch,A+,Stable,2021-11-01
Malta,Fitch,A+,Stable,2022-05-01
Malta,Fitch,A+,Stable,2022-11-01
Malta,Fitch,A+,Stable,2023-03-01
Malta,Fitch,A+,Stable,2024-03-01
Malta,Fitch,A+,Stable,2024-09-01
Malta,Fitch,A+,Stable,2025-03-01
Malta,Fitch,A+,Stable,2025-09-01
Malta,Moody's,A2,Stable,1994-03-01
Malta,Moody's,A2,Negative watch,1998-01-01
Malta,Moody's,A3,Stable,1998-03-01
Malta,Moody's,A3,Stable,2003-11-01
Malta,Moody's,A3,Positive,2006-03-01
Malta,Moody's,A3,Positive watch,2007-05-01
Malta,Moody's,A2,Positive,2007-07-01
Malta,Moody's,A1,Stable,2008-01-01
Malta,Moody's,A2,Negative,2011-09-01
Malta,Moody's,A3,Negative,2012-02-01
Malta,Moody's,A3,Stable,2013-10-01
Malta,Moody's,A3,Stable,2016-09-01
Malta,Moody's,A3,Positive,2018-02-01
Malta,Moody's,A2,Stable,2019-07-01
Malta,Moody's,A2,Negative,2021-08-01
Malta,Moody's,A2,Stable,2022-11-01
Malta,Moody's,A2,Stable,2024-11-01
Malta,S&P,A,Stable,1994-03-01
Malta,S&P,A+,Stable,1996-05-01
Malta,S&P,A+,Negative,1998-06-01
Malta,S&P,A,Negative,1999-03-01
Malta,S&P,A,Stable,2000-05-01
Malta,S&P,A,Stable,2003-08-01
Malta,S&P,A,Stable,2005-05-01
Malta,S&P,A,Stable,2005-11-01
Malta,S&P,A,Stable,2007-07-01
Malta,S&P,A,Negative watch,2011-12-01
Malta,S&P,A-,Negative,2012-01-01
Malta,S&P,BBB+,Stable,2013-01-01
Malta,S&P,BBB+,Positive,2015-07-01
Malta,S&P,A-,Stable,2016-10-01
Malta,S&P,A-,Positive,2017-09-01
Malta,S&P,A-,Stable,2020-03-01
