Country,Agency,Rating,Outlook,Date
Mexico,Fitch,BB,Positive,2000-04-01
Mexico,Fitch,BB+,Positive,2000-09-01
Mexico,Fitch,BBB-,Stable,2002-01-01
Mexico,Fitch,BBB,Stable,2005-12-01
Mexico,Fitch,BBB,Positive,2007-03-01
Mexico,Fitch,BBB+,Stable,2007-09-01
Mexico,Fitch,BBB+,Negative,2008-11-01
Mexico,Fitch,BBB,Stable,2009-11-01
Mexico,Fitch,BBB,Stable,2011-02-01
Mexico,Fitch,BBB,Stable,2011-10-01
Mexico,Fitch,BBB,Stable,2012-01-01
Mexico,Fitch,BBB,Stable,2012-02-01
Mexico,Fitch,BBB,Stable,2012-05-01
Mexico,Fitch,BBB,Stable,2012-07-01
Mexico,Fitch,BBB+,Stable,2013-05-01
Mexico,Fitch,BBB+,Stable,2013-06-01
Mexico,Fitch,BBB+,Stable,2013-07-01
Mexico,Fitch,BBB+,Stable,2013-09-01
Mexico,Fitch,BBB+,Stable,2013-10-01
Mexico,Fitch,BBB+,Stable,2013-11-01
Mexico,Fitch,BBB+,Stable,2013-12-01
Mexico,Fitch,BBB+,Stable,2014-01-01
Mexico,Fitch,BBB+,Stable,2014-02-01
Mexico,Fitch,BBB+,Stable,2014-03-01
Mexico,Fitch,BBB+,Stable,2014-04-01
Mexico,Fitch,BBB+,Stable,2014-05-01
Mexico,Fitch,BBB+,Stable,2014-06-01
Mexico,Fitch,BBB+,Stable,2014-07-01
Mexico,Fitch,BBB+,Stable,2014-08-01
Mexico,Fitch,BBB+,Stable,2014-09-01
Mexico,Fitch,BBB+,Stable,2014-10-01
Mexico,Fitch,BBB+,Stable,2016-02-01
Mexico,Fitch,BBB+,Stable,2016-07-01
Mexico,Fitch,BBB+,Negative,2016-12-01
Mexico,Fitch,BBB+,Stable,2017-08-01
Mexico,Fitch,BBB+,Stable,2018-03-01
Mexico,Fitch,BBB,Stable,2019-06-01
Mexico,Fitch,BBB,Stable,2019-12-01
Mexico,Fitch,BBB,Developing,2020-01-01
Mexico,Fitch,BBB,Developing,2020-01-01
Mexico,Fitch,BBB,Developing,2020-01-01
Mexico,Fitch,BBB-,Stable,2020-04-01
Mexico,Fitch,BBB-,Stable,2020-04-01
Mexico,Fitch,BBB-,Stable,2020-11-01
Mexico,Fitch,BBB-,Stable,2021-05-01
Mexico,Fitch,BBB-,Stable,2021-11-01
Mexico,Fitch,BBB-,Stable,2022-05-01
Mexico,Fitch,BBB-,Stable,2023-06-01
Mexico,Fitch,BBB-,Stable,2023-12-01
Mexico,Fitch,BBB-,Stable,2024-07-01
Mexico,Fitch,BBB-,Stable,2025-04-01
Mexico,Fitch,BBB-,Stable,2026-01-01
Mexico,Fitch,BBB-,Stable,2026-04-01
Mexico,Moody's,Ba2,Negative,1999-02-01
Mexico,Moody's,Baa3,Stable,2000-03-01
Mexico,Moody's,Baa3,Positive,2001-09-01
Mexico,Moody's,Baa2,Stable,2002-02-01
Mexico,Moody's,Baa2,Positive,2003-03-01
Mexico,Moody's,Baa3,Positive,2003-11-01
Mexico,Moody's,Baa1,Stable,2005-01-01
Mexico,Moody's,A3,Stable,2014-02-01
Mexico,Moody's,A3,Negative,2016-03-01
Mexico,Moody's,A3,Negative,2017-04-01
Mexico,Moody's,A3,Stable,2018-04-01
Mexico,Moody's,A3,Negative,2019-06-01
Mexico,Moody's,Baa1,Negative,2020-04-01
Mexico,Moody's,Baa1,Negative,2021-04-01
Mexico,Moody's,Baa2,Stable,2022-07-01
Mexico,Moody's,Baa2,Negative,2024-11-01
Mexico,S&P,BB+,Stable,1992-07-01
Mexico,S&P,BB+,Stable,1992-11-01
Mexico,S&P,BB+,Positive,1993-11-01
Mexico,S&P,BB+,Negative watch,1994-12-01
Mexico,S&P,BB,Stable,1995-02-01
Mexico,S&P,BB,Negative,1995-03-01
Mexico,S&P,BB,Stable,1996-09-01
Mexico,S&P,BB,Positive,1997-09-01
Mexico,S&P,BB,Stable,1998-10-01
Mexico,S&P,BB,Positive,1999-09-01
Mexico,S&P,BB+,Positive,2000-03-01
Mexico,S&P,BBB-,Stable,2002-02-01
Mexico,S&P,BBB,Stable,2005-01-01
Mexico,S&P,BBB,Stable,2005-11-01
Mexico,S&P,BBB,Stable,2005-11-01
Mexico,S&P,BBB,Positive,2007-07-01
Mexico,S&P,BBB+,Stable,2007-10-01
Mexico,S&P,BBB+,Negative,2009-05-01
Mexico,S&P,BBB,Stable,2009-12-01
Mexico,S&P,BBB,Stable,2011-07-01
Mexico,S&P,BBB,Stable,2012-07-01
Mexico,S&P,BBB,Positive,2013-03-01
Mexico,S&P,BBB+,Stable,2013-12-01
Mexico,S&P,BBB+,Negative,2016-08-01
Mexico,S&P,BBB+,Stable,2017-07-01
Mexico,S&P,BBB+,Negative,2019-03-01
Mexico,S&P,BBB+,NR,2019-04-01
Mexico,S&P,NR,NR,2019-06-01
Mexico,S&P,BBB+,Developing,2019-07-01
Mexico,S&P,NR,NR,2019-08-01
Mexico,S&P,NR,NR,2019-11-01
Mexico,S&P,NR,NR,2019-12-01
Mexico,S&P,BBB+,Developing,2020-01-01
Mexico,S&P,NR,NR,2020-02-01
Mexico,S&P,NR,NR,2020-02-01
Mexico,S&P,BBB+,Negative,2020-03-01
Mexico,S&P,BBB+,Negative,2020-03-01
Mexico,S&P,BBB,Stable,2022-07-01
Mexico,S&P,BBB,NR,2025-06-01
Mexico,S&P,BBB,NR,2025-09-01
Mexico,S&P,BBB,NR,2026-01-01
Mexico,S&P,BBB,NR,2026-01-01
Mexico,S&P,BBB,Negative,2026-05-01
