Country,Agency,Rating,Outlook,Date
Mongolia,Fitch,B+,Stable,2005-07-01
Mongolia,Fitch,B+,Positive,2007-09-01
Mongolia,Fitch,B+,Stable,2008-06-01
Mongolia,Fitch,B+,Negative,2008-12-01
Mongolia,Fitch,B,Negative,2009-01-01
Mongolia,Fitch,B,Stable,2009-10-01
Mongolia,Fitch,B+,Stable,2010-11-01
Mongolia,Fitch,B+,Stable,2011-11-01
Mongolia,Fitch,B+,Stable,2012-12-01
Mongolia,Fitch,B+,Negative,2013-12-01
Mongolia,Fitch,B,Stable,2015-11-01
Mongolia,Fitch,B,Stable,2016-07-01
Mongolia,Fitch,B-,Stable,2016-11-01
Mongolia,Fitch,B-,Stable,2017-02-01
Mongolia,Fitch,B-,Positive,2017-11-01
Mongolia,Fitch,B-,Stable,2018-07-01
Mongolia,Fitch,B,Stable,2019-07-01
Mongolia,Fitch,B,Stable,2020-05-01
Mongolia,Fitch,B,Stable,2021-05-01
Mongolia,Fitch,B,Stable,2022-05-01
Mongolia,Fitch,B,Stable,2023-05-01
Mongolia,Fitch,B,Stable,2024-02-01
Mongolia,Fitch,B+,Stable,2024-09-01
Mongolia,Fitch,B+,Stable,2025-02-01
Mongolia,Fitch,B+,Stable,2025-09-01
Mongolia,Fitch,B+,Stable,2026-01-01
Mongolia,Moody's,B1,Under Review,2009-02-01
Mongolia,Moody's,B1,Negative,2009-06-01
Mongolia,Moody's,B1,Stable,2009-10-01
Mongolia,Moody's,B1,Negative,2014-05-01
Mongolia,Moody's,B2,Negative,2014-07-01
Mongolia,Moody's,B2,Negative,2016-01-01
Mongolia,Moody's,B3,Under Review,2016-08-01
Mongolia,Moody's,Caa1,Stable,2016-11-01
Mongolia,Moody's,Caa1,Under Review,2017-02-01
Mongolia,Moody's,Caa1,Stable,2017-03-01
Mongolia,Moody's,B3,Stable,2018-01-01
Mongolia,Moody's,B3,Stable,2020-01-01
Mongolia,Moody's,B3,Stable,2020-01-01
Mongolia,Moody's,B3,Negative,2020-05-01
Mongolia,Moody's,B3,Negative,2021-03-01
Mongolia,Moody's,B3,Stable,2023-02-01
Mongolia,Moody's,B2,Stable,2024-11-01
Mongolia,Moody's,B1,Stable,2025-10-01
Mongolia,Moody's,B1,Stable,2026-02-01
Mongolia,S&P,B,Stable,1999-12-01
Mongolia,S&P,B,Positive,2001-06-01
Mongolia,S&P,B,Stable,2002-09-01
Mongolia,S&P,B,Stable,2005-11-01
Mongolia,S&P,B,Stable,2005-11-01
Mongolia,S&P,B,Positive,2005-12-01
Mongolia,S&P,B+,Positive,2006-12-01
Mongolia,S&P,BB-,Stable,2007-12-01
Mongolia,S&P,BB-,Negative,2008-12-01
Mongolia,S&P,BB-,Stable,2009-11-01
Mongolia,S&P,BB-,Positive,2011-12-01
Mongolia,S&P,BB-,Stable,2012-10-01
Mongolia,S&P,BB-,Negative,2013-04-01
Mongolia,S&P,B+,Stable,2014-04-01
Mongolia,S&P,B+,Negative,2015-04-01
Mongolia,S&P,B,Stable,2015-11-01
Mongolia,S&P,B-,Stable,2016-08-01
Mongolia,S&P,B+,Positive,2024-10-01
Mongolia,S&P,BB-,Stable,2025-10-01
Mongolia,S&P,BB-,NR,2026-02-01
