Country,Agency,Rating,Outlook,Date
Morocco,Fitch,BBB-,Stable,2007-04-01
Morocco,Fitch,BBB-,Stable,2011-10-01
Morocco,Fitch,BBB-,Stable,2012-01-01
Morocco,Fitch,BBB-,Stable,2012-02-01
Morocco,Fitch,BBB-,Stable,2012-07-01
Morocco,Fitch,BBB-,Stable,2012-12-01
Morocco,Fitch,BBB-,Stable,2013-11-01
Morocco,Fitch,BBB-,Stable,2014-04-01
Morocco,Fitch,BBB-,Stable,2014-06-01
Morocco,Fitch,BBB-,Stable,2014-10-01
Morocco,Fitch,BBB-,Stable,2015-10-01
Morocco,Fitch,BBB-,Stable,2016-04-01
Morocco,Fitch,BBB-,Stable,2016-07-01
Morocco,Fitch,BBB-,Stable,2016-10-01
Morocco,Fitch,BBB-,Stable,2017-04-01
Morocco,Fitch,BBB-,Stable,2017-10-01
Morocco,Fitch,BBB-,Stable,2018-03-01
Morocco,Fitch,BBB-,Stable,2019-04-01
Morocco,Fitch,BBB-,Stable,2019-11-01
Morocco,Fitch,BBB-,Stable,2019-12-01
Morocco,Fitch,BBB-,Negative,2020-04-01
Morocco,Fitch,BBB-,Negative,2020-09-01
Morocco,Fitch,BBB-,Negative,2020-09-01
Morocco,Fitch,BB+,Stable,2020-10-01
Morocco,Fitch,BB+,Stable,2021-05-01
Morocco,Fitch,BB+,Stable,2021-12-01
Morocco,Fitch,BB+,Stable,2022-05-01
Morocco,Fitch,BB+,Stable,2022-11-01
Morocco,Fitch,BB+,Stable,2023-04-01
Morocco,Fitch,BB+,Stable,2023-05-01
Morocco,Fitch,BB+,Stable,2023-10-01
Morocco,Fitch,BB+,Stable,2024-10-01
Morocco,Fitch,BB+,Stable,2025-09-01
Morocco,Moody's,Ba1,Stable,1999-07-01
Morocco,Moody's,Ba1,Stable,2003-11-01
Morocco,Moody's,Ba1,Negative,2013-02-01
Morocco,Moody's,Ba1,Stable,2014-09-01
Morocco,Moody's,Ba1,Positive,2017-02-01
Morocco,Moody's,Ba1,Stable,2018-11-01
Morocco,Moody's,Ba1,Stable,2019-01-01
Morocco,Moody's,Ba1,Stable,2019-11-01
Morocco,Moody's,Ba1,Negative,2021-02-01
Morocco,Moody's,Ba1,Stable,2023-04-01
Morocco,Moody's,Ba1,Stable,2024-09-01
Morocco,Moody's,Ba1,Positive,2026-03-01
Morocco,S&P,BB,Stable,1998-03-01
Morocco,S&P,BB,Negative,2001-11-01
Morocco,S&P,BB,Stable,2003-02-01
Morocco,S&P,BB,Positive,2004-03-01
Morocco,S&P,BB+,Stable,2005-08-01
Morocco,S&P,BB+,Stable,2005-11-01
Morocco,S&P,BB+,Stable,2006-04-01
Morocco,S&P,BB+,Positive,2007-03-01
Morocco,S&P,BB+,Stable,2008-04-01
Morocco,S&P,BBB-,Stable,2010-03-01
Morocco,S&P,BBB-,Stable,2011-07-01
Morocco,S&P,BBB-,Negative,2012-10-01
Morocco,S&P,BBB-,Negative,2013-11-01
Morocco,S&P,BBB-,Stable,2014-05-01
Morocco,S&P,BBB-,Negative,2018-10-01
Morocco,S&P,BBB-,Stable,2019-10-01
Morocco,S&P,BBB-,Developing,2019-11-01
Morocco,S&P,BBB-,Negative,2020-10-01
Morocco,S&P,BB+,Stable,2021-04-01
Morocco,S&P,BB+,Positive,2024-03-01
Morocco,S&P,BB+,NR,2025-03-01
Morocco,S&P,BB+,NR,2025-04-01
Morocco,S&P,BBB-,Stable,2025-09-01
Morocco,S&P,BBB-,NR,2026-05-01
