Country,Agency,Rating,Outlook,Date
Netherlands,Fitch,AAA,Stable,2000-09-01
Netherlands,Fitch,AAA,Stable,2011-09-01
Netherlands,Fitch,AAA,Stable,2011-10-01
Netherlands,Fitch,AAA,Stable,2012-01-01
Netherlands,Fitch,AAA,Stable,2012-02-01
Netherlands,Fitch,AAA,Stable,2012-05-01
Netherlands,Fitch,AAA,Stable,2012-07-01
Netherlands,Fitch,AAA,Stable,2012-08-01
Netherlands,Fitch,AAA,Negative,2013-03-01
Netherlands,Fitch,AAA,Negative,2013-05-01
Netherlands,Fitch,AAA,Negative,2013-06-01
Netherlands,Fitch,AAA,Negative,2013-07-01
Netherlands,Fitch,AAA,Negative,2013-08-01
Netherlands,Fitch,AAA,Negative,2013-11-01
Netherlands,Fitch,AAA,Negative,2014-01-01
Netherlands,Fitch,AAA,Negative,2014-02-01
Netherlands,Fitch,AAA,Stable,2014-07-01
Netherlands,Fitch,AAA,Stable,2015-11-01
Netherlands,Fitch,AAA,Stable,2016-05-01
Netherlands,Fitch,AAA,Stable,2016-07-01
Netherlands,Fitch,AAA,Stable,2016-11-01
Netherlands,Fitch,AAA,Stable,2017-04-01
Netherlands,Fitch,AAA,Stable,2017-10-01
Netherlands,Fitch,AAA,Stable,2018-04-01
Netherlands,Fitch,AAA,Stable,2019-04-01
Netherlands,Fitch,AAA,Stable,2019-10-01
Netherlands,Fitch,AAA,Stable,2020-04-01
Netherlands,Fitch,AAA,Stable,2020-10-01
Netherlands,Fitch,AAA,Stable,2021-04-01
Netherlands,Fitch,AAA,Stable,2022-03-01
Netherlands,Fitch,AAA,Stable,2022-09-01
Netherlands,Fitch,AAA,Stable,2023-02-01
Netherlands,Fitch,AAA,Stable,2023-08-01
Netherlands,Fitch,AAA,Stable,2024-02-01
Netherlands,Fitch,AAA,Stable,2024-08-01
Netherlands,Fitch,AAA,Stable,2025-01-01
Netherlands,Fitch,AAA,Stable,2026-01-01
Netherlands,Fitch,AAA,Stable,2026-07-01
Netherlands,Moody's,Aaa,Stable,1986-01-01
Netherlands,Moody's,Aaa,Stable,2003-11-01
Netherlands,Moody's,Aaa,Negative,2012-07-01
Netherlands,Moody's,Aaa,Stable,2014-03-01
Netherlands,Moody's,Aaa,Stable,2017-03-01
Netherlands,Moody's,Aaa,Stable,2019-02-01
Netherlands,Moody's,Aaa,Stable,2021-06-01
Netherlands,Moody's,Aaa,Stable,2023-02-01
Netherlands,Moody's,Aaa,Stable,2025-02-01
Netherlands,S&P,AAA,Stable,1989-06-01
Netherlands,S&P,AAA,Stable,1992-07-01
Netherlands,S&P,AAA,Stable,2005-11-01
Netherlands,S&P,AAA,Negative watch,2011-12-01
Netherlands,S&P,AAA,Negative,2012-01-01
Netherlands,S&P,AA+,Stable,2013-11-01
Netherlands,S&P,AA+,Positive,2015-05-01
Netherlands,S&P,AAA,Stable,2015-11-01
